witvliet_name,cengen_class,rule_used
ADAL,,
ADAR,,
ADEL,,
ADER,,
ADFL,,
ADFR,,
ADLL,ADL,strip_lr
ADLR,ADL,strip_lr
AFDL,AFD,strip_lr
AFDR,AFD,strip_lr
AIAL,,
AIAR,,
AIBL,,
AIBR,,
AIML,,
AIMR,,
AINL,AIN,strip_lr
AINR,AIN,strip_lr
AIYL,AIY,strip_lr
AIYR,AIY,strip_lr
AIZL,,
AIZR,,
ALA,,
ALML,,
ALMR,,
ALNL,,
ALNR,,
AQR,,
ASEL,ASEL,exact
ASER,ASER,exact
ASGL,ASG,strip_lr
ASGR,ASG,strip_lr
ASHL,,
ASHR,,
ASIL,ASI,strip_lr
ASIR,ASI,strip_lr
ASJL,,
ASJR,,
ASKL,ASK,strip_lr
ASKR,ASK,strip_lr
AUAL,,
AUAR,,
AVAL,AVA,strip_lr
AVAR,AVA,strip_lr
AVBL,,
AVBR,,
AVDL,,
AVDR,,
AVEL,AVE,strip_lr
AVER,AVE,strip_lr
AVFL,,
AVFR,,
AVHL,AVH,strip_lr
AVHR,AVH,strip_lr
AVJL,,
AVJR,,
AVKL,AVK,strip_lr
AVKR,AVK,strip_lr
AVL,,
AVM,AVM,exact
AWAL,AWA,strip_lr
AWAR,AWA,strip_lr
AWBL,AWB,strip_lr
AWBR,AWB,strip_lr
AWCL,AWC,strip_lr
AWCR,AWC,strip_lr
BAGL,BAG,strip_lr
BAGR,BAG,strip_lr
BDUL,,
BDUR,,
BWM-DL01,,
BWM-DL02,,
BWM-DL03,,
BWM-DL04,,
BWM-DL05,,
BWM-DL06,,
BWM-DL07,,
BWM-DL08,,
BWM-DR01,,
BWM-DR02,,
BWM-DR03,,
BWM-DR04,,
BWM-DR05,,
BWM-DR06,,
BWM-DR07,,
BWM-DR08,,
BWM-VL01,,
BWM-VL02,,
BWM-VL03,,
BWM-VL04,,
BWM-VL05,,
BWM-VL06,,
BWM-VL07,,
BWM-VL08,,
BWM-VR01,,
BWM-VR02,,
BWM-VR03,,
BWM-VR04,,
BWM-VR05,,
BWM-VR06,,
BWM-VR07,,
BWM-VR08,,
CANR,CAN,strip_lr
CEPDL,,
CEPDR,,
CEPVL,,
CEPVR,,
CEPshDL,,
CEPshDR,,
CEPshVL,,
CEPshVR,,
DVA,,
DVC,,
FLPL,,
FLPR,,
GLRDL,,
GLRDR,,
GLRL,,
GLRR,,
GLRVR,,
HSNL,,
HSNR,,
IL1DL,IL1,strip_positional
IL1DR,IL1,strip_positional
IL1L,IL1,strip_lr
IL1R,IL1,strip_lr
IL1VL,IL1,strip_positional
IL1VR,IL1,strip_positional
IL2DL,IL2,strip_positional
IL2DR,IL2,strip_positional
IL2L,IL2,strip_lr
IL2R,IL2,strip_lr
IL2VL,IL2,strip_positional
IL2VR,IL2,strip_positional
OLLL,OLL,strip_lr
OLLR,OLL,strip_lr
OLQDL,OLQ,strip_positional
OLQDR,OLQ,strip_positional
OLQVL,OLQ,strip_positional
OLQVR,OLQ,strip_positional
PLNL,,
PLNR,,
PVCL,PVC,strip_lr
PVCR,PVC,strip_lr
PVNL,,
PVNR,,
PVPL,,
PVPR,,
PVQL,,
PVQR,,
PVR,,
PVT,,
RIAL,RIA,strip_lr
RIAR,RIA,strip_lr
RIBL,,
RIBR,,
RICL,RIC,strip_lr
RICR,RIC,strip_lr
RID,,
RIFL,,
RIFR,,
RIGL,,
RIGR,,
RIH,,
RIML,RIM,strip_lr
RIMR,RIM,strip_lr
RIPL,,
RIPR,,
RIR,,
RIS,RIS,exact
RIVL,,
RIVR,,
RMDDL,RMD,strip_positional
RMDDR,RMD,strip_positional
RMDL,RMD,strip_lr
RMDR,RMD,strip_lr
RMDVL,RMD,strip_positional
RMDVR,RMD,strip_positional
RMED,,
RMEL,,
RMER,,
RMEV,,
RMFL,,
RMFR,,
RMGL,,
RMGR,,
RMHL,,
RMHR,,
SAADL,,
SAADR,,
SAAVL,,
SAAVR,,
SDQL,,
SDQR,,
SIADL,,
SIADR,,
SIAVL,,
SIAVR,,
SIBDL,,
SIBDR,,
SIBVL,,
SIBVR,,
SMBDL,,
SMBDR,,
SMBVL,,
SMBVR,,
SMDDL,SMD,strip_positional
SMDDR,SMD,strip_positional
SMDVL,SMD,strip_positional
SMDVR,SMD,strip_positional
URADL,,
URADR,,
URAVL,,
URAVR,,
URBL,,
URBR,,
URXL,,
URXR,,
URYDL,,
URYDR,,
URYVL,,
URYVR,,
