wbgene,symbol,sequence
WBGene00010957,nduo-6,nduo-6
WBGene00010958,ndfl-4,ndfl-4
WBGene00014454,MTCE.7,MTCE.7
WBGene00010959,nduo-1,nduo-1
WBGene00010960,atp-6,atp-6
WBGene00010961,nduo-2,nduo-2
WBGene00000829,ctb-1,ctb-1
WBGene00010962,ctc-3,ctc-3
WBGene00010963,nduo-4,nduo-4
WBGene00010964,ctc-1,ctc-1
WBGene00010965,ctc-2,ctc-2
WBGene00014472,MTCE.33,MTCE.33
WBGene00010966,nduo-3,nduo-3
WBGene00010967,nduo-5,nduo-5
WBGene00014473,MTCE.36,MTCE.36
WBGene00017928,tut-1,tut-1
WBGene00017929,grld-1,grld-1
WBGene00017926,cox-6C,cox-6C
WBGene00000897,daf-1,daf-1
WBGene00021395,pnc-1,pnc-1
WBGene00021402,Y38C1AA.12,Y38C1AA.12
WBGene00000815,csn-3,csn-3
WBGene00195063,coa-1,coa-1
WBGene00021394,Y38C1AA.1,Y38C1AA.1
WBGene00021401,prdx-6,prdx-6
WBGene00019821,gtf-2H1,gtf-2H1
WBGene00019822,ints-13,ints-13
WBGene00019823,fnta-1,fnta-1
WBGene00019820,cogc-8,cogc-8
WBGene00020647,pqbp-1.1,pqbp-1.1
WBGene00004493,rps-24,rps-24
WBGene00044789,T07A9.14,T07A9.14
WBGene00020300,ssna-1,ssna-1
WBGene00001338,ears-2,ears-2
WBGene00020298,T07A9.10,T07A9.10
WBGene00045249,T07A9.15,T07A9.15
WBGene00020297,nog-1,nog-1
WBGene00020296,rrp-8,rrp-8
WBGene00002187,kgb-1,kgb-1
WBGene00020299,T07A9.12,T07A9.12
WBGene00001579,gex-2,gex-2
WBGene00019658,K11H12.1,K11H12.1
WBGene00004427,rpl-15,rpl-15
WBGene00019664,K11H12.8,K11H12.8
WBGene00019663,K11H12.7,K11H12.7
WBGene00001788,gst-40,gst-40
WBGene00018935,skr-18,skr-18
WBGene00021935,mrpl-46,mrpl-46
WBGene00185088,Y55F3BL.4,Y55F3BL.4
WBGene00021936,zipt-15,zipt-15
WBGene00220183,Y55F3BR.19,Y55F3BR.19
WBGene00021938,Y55F3BR.1,Y55F3BR.1
WBGene00019069,lgc-30,lgc-30
WBGene00004047,plx-1,plx-1
WBGene00021923,Y55F3AM.5,Y55F3AM.5
WBGene00021925,immp-2,immp-2
WBGene00021926,Y55F3AM.9,Y55F3AM.9
WBGene00021922,atg-3,atg-3
WBGene00021921,rbm-39,rbm-39
WBGene00021929,dcap-1,dcap-1
WBGene00021931,Y55F3AM.14,Y55F3AM.14
WBGene00000816,csn-4,csn-4
WBGene00021932,cox-18,cox-18
WBGene00003893,ost-1,ost-1
WBGene00016639,C44B12.6,C44B12.6
WBGene00022426,Y104H12D.2,Y104H12D.2
WBGene00022428,Y104H12D.4,Y104H12D.4
WBGene00007020,mdt-20,mdt-20
WBGene00022427,spl-3,spl-3
WBGene00021123,W09G12.9,W09G12.9
WBGene00009521,F38A1.8,F38A1.8
WBGene00007476,C09E9.1,C09E9.1
WBGene00018776,F53H1.1,F53H1.1
WBGene00018778,F53H1.4,F53H1.4
WBGene00018777,F53H1.3,F53H1.3
WBGene00004338,rfc-2,rfc-2
WBGene00022309,rpc-11,rpc-11
WBGene00022310,Y77E11A.7,Y77E11A.7
WBGene00002180,jtr-1,jtr-1
WBGene00003806,npp-20,npp-20
WBGene00022306,hxk-3,hxk-3
WBGene00000681,col-107,col-107
WBGene00003794,npp-8,npp-8
WBGene00021515,set-23,set-23
WBGene00045255,nhr-146,nhr-146
WBGene00004497,rps-28,rps-28
WBGene00021512,Y41D4B.4,Y41D4B.4
WBGene00003947,pbs-1,pbs-1
WBGene00019537,K08D12.3,K08D12.3
WBGene00019540,K08D12.6,K08D12.6
WBGene00021507,Y41D4A.5,Y41D4A.5
WBGene00021506,Y41D4A.4,Y41D4A.4
WBGene00021509,Y41D4A.7,Y41D4A.7
WBGene00000553,cmk-1,cmk-1
WBGene00001173,egl-4,egl-4
WBGene00001253,elt-6,elt-6
WBGene00138717,F52C12.6,F52C12.6
WBGene00006738,ulp-3,ulp-3
