witvliet_name,cengen_class,rule_used
ADAL,ADA,strip_lr
ADAR,ADA,strip_lr
ADEL,ADE,strip_lr
ADER,ADE,strip_lr
ADFL,ADF,strip_lr
ADFR,ADF,strip_lr
ADLL,ADL,strip_lr
ADLR,ADL,strip_lr
AFDL,AFD,strip_lr
AFDR,AFD,strip_lr
AIAL,AIA,strip_lr
AIAR,AIA,strip_lr
AIBL,AIB,strip_lr
AIBR,AIB,strip_lr
AIML,AIM,strip_lr
AIMR,AIM,strip_lr
AINL,AIN,strip_lr
AINR,AIN,strip_lr
AIYL,AIY,strip_lr
AIYR,AIY,strip_lr
AIZL,AIZ,strip_lr
AIZR,AIZ,strip_lr
ALA,ALA,exact
ALML,ALM,strip_lr
ALMR,ALM,strip_lr
ALNL,ALN,strip_lr
ALNR,ALN,strip_lr
AQR,AQR,exact
ASEL,ASEL,exact
ASER,ASER,exact
ASGL,ASG,strip_lr
ASGR,ASG,strip_lr
ASHL,ASH,strip_lr
ASHR,ASH,strip_lr
ASIL,ASI,strip_lr
ASIR,ASI,strip_lr
ASJL,ASJ,strip_lr
ASJR,ASJ,strip_lr
ASKL,ASK,strip_lr
ASKR,ASK,strip_lr
AUAL,AUA,strip_lr
AUAR,AUA,strip_lr
AVAL,AVA,strip_lr
AVAR,AVA,strip_lr
AVBL,AVB,strip_lr
AVBR,AVB,strip_lr
AVDL,AVD,strip_lr
AVDR,AVD,strip_lr
AVEL,AVE,strip_lr
AVER,AVE,strip_lr
AVFL,AVF,strip_lr
AVFR,AVF,strip_lr
AVHL,AVH,strip_lr
AVHR,AVH,strip_lr
AVJL,AVJ,strip_lr
AVJR,AVJ,strip_lr
AVKL,AVK,strip_lr
AVKR,AVK,strip_lr
AVL,AVL,exact
AVM,AVM,exact
AWAL,AWA,strip_lr
AWAR,AWA,strip_lr
AWBL,AWB,strip_lr
AWBR,AWB,strip_lr
AWCL,,
AWCR,,
BAGL,BAG,strip_lr
BAGR,BAG,strip_lr
BDUL,BDU,strip_lr
BDUR,BDU,strip_lr
BWM-DL01,,
BWM-DL02,,
BWM-DL03,,
BWM-DL04,,
BWM-DL05,,
BWM-DL06,,
BWM-DL07,,
BWM-DL08,,
BWM-DR01,,
BWM-DR02,,
BWM-DR03,,
BWM-DR04,,
BWM-DR05,,
BWM-DR06,,
BWM-DR07,,
BWM-DR08,,
BWM-VL01,,
BWM-VL02,,
BWM-VL03,,
BWM-VL04,,
BWM-VL05,,
BWM-VL06,,
BWM-VL07,,
BWM-VL08,,
BWM-VR01,,
