wbgene,symbol,motif,rho,p,q_global,q_per_motif
WBGene00022534,syx-16,two_in_resid,0.5178725802261503,1.1373042139065347e-13,6.873639208008314e-09,9.81948458286902e-10
WBGene00009949,F53A2.1,total_deg,0.4672800989771525,4.275893550644238e-11,9.232277545657205e-07,3.5645098545889695e-07
WBGene00008582,F08G5.3,two_in_resid,0.46663696260399684,4.58268517107972e-11,9.232277545657205e-07,1.9783451883551152e-07
WBGene00001993,hpd-1,total_deg,0.4611176276898823,8.256914187141463e-11,1.2475784491061394e-06,3.5645098545889695e-07
WBGene00012037,T26E3.4,two_in_resid,0.4584378735581791,1.0947806679156798e-10,1.323327080149757e-06,3.1507787622613266e-07
WBGene00019249,H28G03.1,total_deg,0.45571396072252607,1.454691885334013e-10,1.3564869461184175e-06,4.18660324599129e-07
WBGene00009799,lgc-47,two_in_resid,0.45497208561955393,1.571099080517046e-10,1.3564869461184175e-06,3.3912173652960437e-07
WBGene00000235,baf-1,two_in_resid,0.45060014903586065,2.4637788055678013e-10,1.8613232931363346e-06,4.254453241454479e-07
WBGene00010283,ccz-1,two_in_resid,0.44309397574867626,5.256446448856282e-10,3.5298790052886217e-06,7.564026439904189e-07
WBGene00015560,C07A12.2,two_in_resid,0.43877005047087503,8.066027783372683e-10,4.874945871714782e-06,9.948869125948534e-07
WBGene00021315,Y32H12A.7,two_in_resid,0.4334341391792154,1.3570053344359497e-09,7.455880763876357e-06,1.4645480071899987e-06
WBGene00012513,Y26E6A.2,total_deg,0.424935474516475,3.0508132920729164e-09,1.4888365324200887e-05,6.58518049093939e-06
WBGene00022460,use-1,two_in_resid,0.423796037364793,3.395085474021559e-09,1.4888365324200887e-05,2.977673064840177e-06
WBGene00018599,F48C1.6,two_in_resid,0.42362847039453366,3.448775845309448e-09,1.4888365324200887e-05,2.977673064840177e-06
WBGene00022766,cblc-1,total_deg,0.42012827010462794,4.776998773776731e-09,1.9247483459301202e-05,8.248921482557659e-06
WBGene00007609,C15C8.7,two_in_resid,0.41917387426016667,5.217414569144708e-09,1.970813135812299e-05,4.095196126363219e-06
WBGene00021846,ztf-23,two_in_resid,0.41687145615158877,6.447062630517581e-09,2.29204453684248e-05,4.6386615626573995e-06
WBGene00022014,Y61A9LA.1,two_in_resid,0.41123180897676115,1.075419984928504e-08,3.610901836061607e-05,7.142443192209772e-06
WBGene00002001,hars-1,two_in_resid,0.40945890532626644,1.2606388560018763e-08,4.010025851528495e-05,7.774539916228714e-06
WBGene00004190,pars-2,two_in_resid,0.407982664706994,1.4379695449429128e-08,4.345400167862988e-05,8.276952700691406e-06
WBGene00019656,slc-25A10,total_deg,0.40627317417451964,1.6733800271398695e-08,4.674340442673678e-05,2.4079938590542725e-05
WBGene00006306,sue-1,two_out_resid,0.40608466191879905,1.701503850869005e-08,4.674340442673678e-05,0.0001441902184377558
WBGene00008429,etc-1,two_in_resid,0.4044969589286347,1.957125475576925e-08,5.142815195344269e-05,1.0561138347581981e-05
WBGene00002991,lin-2,total_deg,0.40189931976470844,2.4569014746698845e-08,6.187092138587436e-05,3.030412476042826e-05
WBGene00012950,eif-2Bbeta,two_in_resid,0.40107009858254966,2.640823439705555e-08,6.384243481956973e-05,1.3412276222598684e-05
WBGene00022780,ZK622.1,clust_resid,0.3985160666707847,3.29432601038208e-08,7.451385933984994e-05,0.00012418976556641658
WBGene00009128,mrpl-54,two_in_resid,0.39809356307472393,3.416442414055828e-08,7.451385933984994e-05,1.638753544608779e-05
WBGene00219950,F46A8.13,two_out_resid,0.3979375476125707,3.4626268027292256e-08,7.451385933984994e-05,0.0001441902184377558
WBGene00302964,Y62E10A.23,total_deg,0.3973863994499243,3.630634955747172e-08,7.451385933984994e-05,3.564718234261444e-05
WBGene00018701,pccb-1,total_deg,0.39711622744830144,3.715828597214848e-08,7.451385933984994e-05,3.564718234261444e-05
WBGene00001021,dnj-3,two_in_resid,0.39640886982086165,3.9480825269350675e-08,7.451385933984994e-05,1.7794190555267525e-05
WBGene00006890,vem-1,clust_resid,0.3963768846666698,3.958907708255086e-08,7.451385933984994e-05,0.00012418976556641658
WBGene00019521,dmd-7,two_in_resid,-0.39590522836654424,4.121888013728868e-08,7.451385933984994e-05,1.7794190555267525e-05
WBGene00010879,taap-1,total_deg,0.3955495726919796,4.2490301814209334e-08,7.451385933984994e-05,3.668612658638834e-05
WBGene00000613,col-36,clust_resid,0.3953686626145227,4.315141263600298e-08,7.451385933984994e-05,0.00012418976556641658
WBGene00021329,Y34D9A.3,two_in_resid,0.3948942420312796,4.4932415255891305e-08,7.543403647876552e-05,1.8473641586636453e-05
WBGene00018115,F36H9.7,two_out_resid,-0.3936133619207267,5.010084031888665e-08,8.183769154575329e-05,0.0001441902184377558
WBGene00022402,lmtr-2,two_in_resid,0.3897662430630613,6.928918505080382e-08,0.00011020262542369688,2.5969533451601443e-05
WBGene00013210,Y54G9A.7,two_in_resid,0.38852015060977857,7.689418794357983e-08,0.00011603408563481496,2.5969533451601443e-05
WBGene00010587,sol-2,total_deg,0.3882053179540496,7.893889733407279e-08,0.00011603408563481496,6.195985814385313e-05
WBGene00007974,dhfr-1,two_in_resid,0.3872506649343078,8.546306835237195e-08,0.00011603408563481496,2.5969533451601443e-05
WBGene00010947,M176.11,two_in_resid,0.38707857107647925,8.669296155555198e-08,0.00011603408563481496,2.5969533451601443e-05
WBGene00004768,sel-11,two_in_resid,0.3869398897994662,8.769641164443447e-08,0.00011603408563481496,2.5969533451601443e-05
WBGene00022517,ZC123.1,two_in_resid,0.38684279355633444,8.840559214675847e-08,0.00011603408563481496,2.5969533451601443e-05
WBGene00008258,mans-2,two_in_resid,0.3868264378034856,8.852559327104227e-08,0.00011603408563481496,2.5969533451601443e-05
WBGene00006407,lim-9,two_in_resid,0.386707040029991,8.940635615904597e-08,0.00011603408563481496,2.5969533451601443e-05
WBGene00001615,glr-4,two_in_resid,0.3865957801920747,9.023465410563392e-08,0.00011603408563481496,2.5969533451601443e-05
WBGene00019686,K12H6.6,two_in_resid,0.38585665262679814,9.592719320883337e-08,0.00012014761543007734,2.6717270521453784e-05
WBGene00011581,T07D10.1,clust_resid,0.38567110354871564,9.740946351755171e-08,0.00012014761543007734,0.00021025832700263537
WBGene00002977,lev-10,total_deg,0.384671596304835,1.0577988259187951e-07,0.00012786249088176028,7.61086255248573e-05
WBGene00007044,cpna-5,two_in_resid,0.38347583810005886,1.1670199626844803e-07,0.0001361001057740499,3.0637253247838076e-05
WBGene00020082,gcp-2.1,two_in_resid,0.38343446717830293,1.1709860518631647e-07,0.0001361001057740499,3.0637253247838076e-05
WBGene00001368,exc-7,cycle3_resid,-0.38289545985864487,1.22385523936623e-07,0.00013950064492948197,0.001056676613668803
WBGene00009484,F36G3.3,two_in_resid,0.3826723080464117,1.2464070330242607e-07,0.00013950064492948197,3.165140683273961e-05
WBGene00012228,W03H9.2,clust_resid,0.38151993109727095,1.3693563005864315e-07,0.00015047482926335045,0.00023646044598526496
WBGene00304792,Y71F9AL.25,total_deg,-0.38061408000813385,1.4740848446314433e-07,0.00015909060685684851,9.790191191190678e-05
WBGene00022646,acl-9,two_in_resid,0.3802788911607989,1.5147502060244077e-07,0.00015961414597007108,3.673658915184176e-05
WBGene00004392,rnr-2,two_in_resid,0.3801412794107907,1.5317549333637982e-07,0.00015961414597007108,3.673658915184176e-05
WBGene00019458,K06H7.7,two_in_resid,0.37966900789172003,1.5915165745132713e-07,0.0001630306419159883,3.713825433607455e-05
WBGene00022165,Y71H2AL.2,two_in_resid,0.37928703938575326,1.6414799668830245e-07,0.00016534627706412704,3.729615272123167e-05
WBGene00013678,Y105E8A.20,two_in_resid,0.37877969734829714,1.710172047131482e-07,0.00016944160358120083,3.7860578089572346e-05
WBGene00012125,T28D6.5,two_in_resid,0.37830870677463874,1.776402187644727e-07,0.0001731648313175355,3.834364122031143e-05
WBGene00019211,H18N23.2,total_deg,0.3778449938058167,1.844006385015247e-07,0.00017690167920246272,0.00011372250805872602
WBGene00007213,C01A2.1,two_in_resid,0.3769482491301813,1.9818009231324865e-07,0.00018524010175052175,4.173382724469729e-05
WBGene00000937,dbr-1,recip_resid,-0.37688286678005706,1.992224529895747e-07,0.00018524010175052175,0.001720086659111988
WBGene00001393,fat-1,clust_resid,-0.37582906005167366,2.1676517997695002e-07,0.00019849778708252888,0.0003119250939868311
WBGene00006986,zip-1,two_in_resid,0.37559331416727704,2.208874354897998e-07,0.00019925365412138088,4.540814566711741e-05
WBGene00194642,C25H3.17,two_in_resid,0.37465601716494873,2.380321889328158e-07,0.00021156160933414003,4.779464928478911e-05
WBGene00022426,Y104H12D.2,total_deg,0.37145857425960616,3.0663227578191034e-07,0.0002685832099087985,0.0001764975379400676
WBGene00007018,mdt-18,two_in_resid,0.3708603499377306,3.214133406880307e-07,0.0002775082783500457,6.307006326137402e-05
WBGene00000108,alh-2,total_deg,-0.3696906633662815,3.523079582806502e-07,0.0002998984279234639,0.00019011418198719586
WBGene00010737,K10C8.4,total_deg,0.36820592158547755,3.956316615725665e-07,0.0003320998105850385,0.00020093433917750233
WBGene00022773,ZK616.3,two_in_resid,0.3679125821534758,4.047739067834876e-07,0.00033511952572849897,7.766262024819183e-05
WBGene00006615,trp-2,two_in_resid,0.3675181609891154,4.1738547545121e-07,0.0003408911265583815,7.834143902273364e-05
