,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
ADAL,22,16,38,39,26,9,307,201,0.1846590909090909,-19.150410152074066,-12.836544476976442,0.4191814127838498,-6.999862250218257,-22.928021648875898,-0.08226808151683387
ADAR,14,23,37,92,26,10,213,311,0.36645962732919257,1.6209709405704587,-14.133180490568655,1.394771670664067,18.089936057726845,-15.955362426922534,-0.2030500959798911
ADEL,8,27,35,97,21,6,77,430,0.5462962962962963,-11.473855730931973,-18.046710365722788,-2.2780257451250883,-28.253052265714956,44.48554525355951,-0.2324904578764786
ADER,7,33,40,185,24,6,82,562,0.9047619047619048,47.583353118690326,-23.650473121085923,-3.697667515172867,-9.759445554179251,86.89033327383373,0.015746814304155365
ADFL,7,22,29,87,25,6,89,368,0.7272727272727273,3.0577631980153797,-4.531738332733688,-0.6571804761268467,0.22958836709517527,57.55076999718392,-0.006335398956655913
ADFR,10,14,24,40,24,5,117,240,0.45714285714285713,-5.7269634229652056,3.8079728530355084,-0.16233429238898545,-14.96853533230697,48.64509982422476,-0.08705931862102606
ADLL,10,20,30,53,24,7,85,216,0.385,-21.89482346623342,-6.074973395156626,0.17921823176773,-48.59891747118391,-65.16968384305716,-0.24396961079753754
ADLR,3,14,17,25,3,2,38,157,0.6666666666666666,-19.151481172731643,-8.237742697161547,-1.4906943518204443,11.899386620581879,-32.81789836288246,-0.055761817856458396
AFDL,9,5,14,11,12,4,73,59,0.5111111111111111,9.249895534827623,7.911575718152694,1.5641426271714467,-41.39897327357886,2.5868470127036858,0.06859918664638914
AFDR,7,3,10,3,8,3,70,28,0.5238095238095238,11.42265333503138,9.76425811987472,1.594569864043553,-13.607534859794484,1.9642516102432097,0.058631608520046175
AIAL,19,14,33,37,43,12,190,174,0.3007518796992481,-10.752583458979792,11.295321417574577,4.688414355451461,-78.08443498602122,-19.331045363780248,-0.014302184802752693
AIAR,21,16,37,43,56,13,196,235,0.29464285714285715,-14.925341259183547,18.44263901585255,4.657987118579356,-102.87587339980558,11.291550038680214,0.002254783465612087
