cengen_class,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
ADA,18.0,19.5,37.5,65.5,26.0,9.5,260.0,256.0,0.2755593591191417,-8.764719605751802,-13.484862483772549,0.9069765417239584,5.545036903754294,-19.441692037899216,-0.14265908874836244
ADE,7.5,30.0,37.5,141.0,22.5,6.0,79.5,496.0,0.7255291005291005,18.054748693879176,-20.848591743404356,-2.9878466301489777,-19.006248909947104,65.68793926369662,-0.10837182178616164
ADF,8.5,18.0,26.5,63.5,24.5,5.5,103.0,304.0,0.5922077922077922,-1.3346001124749127,-0.3618827398490898,-0.4097573842579161,-7.369473482605898,53.09793491070434,-0.04669735878884095
ADL,6.5,17.0,23.5,39.0,13.5,4.5,61.5,186.5,0.5258333333333334,-20.52315231948253,-7.156358046159086,-0.6557380600263572,-18.349765425301015,-48.99379110296981,-0.1498657143269979
AFD,8.0,4.0,12.0,7.0,10.0,3.5,71.5,43.5,0.5174603174603174,10.336274434929503,8.837916919013708,1.5793562456074999,-27.503254066686672,2.2755493114734477,0.0636153975832176
AIA,20.0,15.0,35.0,40.0,49.5,12.5,193.0,204.5,0.2976973684210526,-12.83896235908167,14.868980216713563,4.673200737015408,-90.4801541929134,-4.019747662550017,-0.0060237006685703
AIB,31.0,19.5,50.5,82.5,47.5,8.0,393.0,271.5,0.20866539550602844,5.309384786671562,-8.614247890549446,-3.697497633617619,-58.066818151610704,-6.796123976128669,0.12143866390568761
AIM,6.0,20.0,26.0,55.5,12.0,4.5,48.5,246.5,0.6035353535353536,-18.494547894671356,-12.958239423840658,-1.3655589450502459,-24.60296206953315,-33.79139709283271,-0.12727786226746504
AIN,3.5,14.0,17.5,39.5,4.0,2.5,34.0,221.5,0.8730769230769231,-4.7640156191768845,-7.877334443576045,-1.1100972047181972,0.33739219537554277,31.57231579333947,0.16337888917945814
AIY,11.5,10.0,21.5,23.0,19.5,5.5,128.0,158.0,0.3746794871794872,-3.6193267334554946,3.9778284459201068,1.0850887994799452,-25.567597182008043,26.19226473774517,-0.07481971335164606
AIZ,17.5,19.5,37.0,65.0,39.5,7.0,217.5,296.5,0.3107686980609418,-9.152185159306555,0.654729262641947,-1.47362060537829,-29.39296867103937,21.16809380587884,-0.1201802004322225
ALA,1.0,5.0,6.0,3.0,2.0,0.0,8.0,66.0,1.0,3.0504466779517045,8.14504366078463,-0.5254117264645064,14.592937529722697,11.34342051315258,0.353800865524716
ALM,8.0,10.5,18.5,16.5,10.0,5.0,79.0,130.5,0.3242424242424242,-11.762240611944392,-1.868608183194434,1.2827048134439418,-21.769501383803366,-8.023799661415268,-0.22143388358780103
ALN,3.0,7.5,10.5,9.5,1.0,1.5,47.5,90.5,0.4722222222222222,-3.0529661258577363,0.46878240504659097,-0.19404291965688644,23.165633937698583,-2.0185493899937637,-0.15837487434777725
AQR,15.0,22.0,37.0,102.0,46.0,10.0,206.0,373.0,0.4484848484848485,16.257212054891312,6.234793724634372,1.4323738775091073,-3.762322436206375,60.79419649673503,-0.0814360677339725
ASEL,8.0,11.0,19.0,27.0,18.0,4.0,89.0,155.0,0.5113636363636364,-3.6928956155500794,5.307812962789555,0.1445008571236679,-11.9053665620431,8.99163503297791,-0.0413766243860601
ASER,12.0,16.0,28.0,58.0,31.0,7.0,122.0,222.0,0.4635416666666667,2.10027877683104,4.955290451313481,0.8072384707389082,-40.75997374609133,0.2676952266852197,-0.0579945182724607
ASG,6.5,4.0,10.5,5.5,7.0,3.5,71.5,62.0,0.47857142857142854,9.173877774265268,7.756692158257194,1.9375648043007585,-4.817270791067622,21.104906842807615,-0.0134648431826516
ASH,11.0,21.0,32.0,87.0,32.5,6.5,130.0,295.5,0.5373956071896575,7.018797633664704,-0.5013145960176355,-0.8359953866683227,-18.99463667807609,-0.8583861418268839,-0.08024100819550206
ASI,3.0,8.0,11.0,13.0,4.0,2.0,33.0,103.0,0.7037037037037037,-1.983621129463419,2.64520355103058,0.1677531240228398,8.529768759458836,2.996885304399413,0.06604265421423294
ASJ,5.0,6.0,11.0,12.5,7.0,3.5,47.0,66.5,0.75,6.788861099178295,6.3811519814366395,1.7429575377129232,-7.174748228407568,-4.00399684828551,0.1915165646910546
ASK,7.5,9.5,17.0,25.5,13.5,3.0,70.0,147.0,0.5526582792207793,2.211603841712229,3.9181412712520824,-0.32148442101775737,-22.93577660211752,23.55511679357644,0.00837942660383615
AUA,10.0,8.0,18.0,14.5,7.0,2.5,141.0,111.5,0.2712041045374378,-2.0591033796969924,-3.3090808987723648,-1.0038868165457016,10.661846806569983,9.95988349150663,-0.1882306361927909
AVA,32.0,6.0,38.0,9.0,19.0,6.0,480.0,84.0,0.14467253176930595,-2.78799900886548,-16.15680232494615,-2.2047965187657366,17.477552810449737,7.567567587699472,0.2736334302460077
AVB,42.5,5.0,47.5,5.5,17.0,5.0,558.5,68.5,0.10497416020671829,-3.7899123770044696,-29.941071291618545,-5.435848516978,-62.55259976240404,4.731195479573948,0.5154024276612252
AVD,21.0,4.5,25.5,7.5,13.0,4.5,247.0,61.0,0.2184210526315789,5.479723823747186,-5.615047341779203,-0.6633218860543502,-48.75097430029143,9.436552067637166,0.08850389610217135
