pre_class,post_class,edge_count,has_edge,contact_sum,contact_pairs,has_contact,n_pre_ligands,n_post_receptors,compat_score,compat_pairs
ADA,ADE,1,1,3536.0,4,1,1,3,0,
ADA,ADF,0,0,2768.0,2,1,1,4,0,
ADA,ADL,0,0,8153.0,2,1,1,4,0,
ADA,AFD,0,0,0.0,0,0,1,1,0,
ADA,AIA,2,1,1282.0,2,1,1,4,0,
ADA,AIB,6,1,4991.0,4,1,1,2,0,
ADA,AIM,0,0,107.0,1,1,1,2,0,
ADA,AIN,0,0,0.0,0,0,1,0,0,
ADA,AIY,0,0,25.0,1,1,1,5,0,
ADA,AIZ,0,0,651.0,2,1,1,3,0,
ADA,ALA,0,0,0.0,0,0,1,0,0,
ADA,ALM,0,0,1020.0,1,1,1,4,1,PDF-1->PDFR-1
ADA,ALN,0,0,44.0,1,1,1,3,0,
ADA,AQR,0,0,1482.0,1,1,1,1,0,
ADA,ASEL,0,0,3.0,1,1,1,5,0,
ADA,ASER,0,0,275.0,1,1,1,5,0,
ADA,ASG,0,0,2.0,1,1,1,4,0,
ADA,ASH,0,0,17862.0,2,1,1,8,0,
ADA,ASI,0,0,14.0,1,1,1,5,0,
ADA,ASJ,0,0,0.0,0,0,1,1,0,
ADA,ASK,0,0,7.0,1,1,1,3,0,
ADA,AUA,0,0,0.0,0,0,1,5,0,
ADA,AVA,3,1,15165.0,4,1,1,1,0,
ADA,AVB,28,1,12218.0,4,1,1,1,0,
ADA,AVD,1,1,6620.0,4,1,1,1,1,PDF-1->PDFR-1
ADA,AVE,4,1,898.0,3,1,1,1,0,
ADA,AVF,0,0,700.0,3,1,1,2,1,PDF-1->PDFR-1
ADA,AVH,0,0,614.0,2,1,1,1,0,
ADA,AVJ,10,1,1992.0,2,1,1,1,0,
ADA,AVK,0,0,277.0,1,1,1,0,0,
ADA,AVL,0,0,0.0,0,0,1,1,0,
ADA,AVM,0,0,0.0,0,0,1,3,1,PDF-1->PDFR-1
ADA,AWA,0,0,594.0,1,1,1,1,0,
ADA,AWB,0,0,943.0,2,1,1,3,0,
ADA,BAG,0,0,0.0,0,0,1,2,0,
ADA,BDU,0,0,581.0,2,1,1,3,0,
ADA,CEP,0,0,235.0,3,1,1,3,0,
ADA,DVA,3,1,5860.0,2,1,1,4,0,
ADA,DVC,0,0,0.0,0,0,1,2,0,
ADA,FLP,0,0,3106.0,4,1,1,3,1,PDF-1->PDFR-1
ADA,HSN,0,0,229.0,3,1,1,3,0,
ADA,IL1,0,0,192.0,1,1,1,1,0,
ADA,IL2_DV,0,0,1348.0,4,1,1,2,0,
ADA,IL2_LR,0,0,0.0,0,0,1,3,0,
ADA,OLL,0,0,0.0,0,0,1,2,1,PDF-1->PDFR-1
ADA,OLQ,0,0,276.0,3,1,1,4,1,PDF-1->PDFR-1
ADA,PLN,0,0,3.0,1,1,1,1,0,
