i,j,arrived,out_deg_i,in_deg_j,shared_out,shared_in,triangle_closure,reverse_2step,transition
0,1,0,9,4,3,1,1,0,L1_consensus->L2
0,2,0,9,1,1,0,0,0,L1_consensus->L2
0,3,0,9,0,1,0,0,0,L1_consensus->L2
0,4,0,9,3,0,0,0,0,L1_consensus->L2
0,5,0,9,3,0,0,0,0,L1_consensus->L2
0,6,0,9,1,0,0,0,0,L1_consensus->L2
0,7,0,9,1,2,0,0,0,L1_consensus->L2
0,8,0,9,1,0,0,0,0,L1_consensus->L2
0,9,0,9,1,0,0,0,0,L1_consensus->L2
0,10,0,9,10,0,1,0,0,L1_consensus->L2
0,11,0,9,10,1,0,0,0,L1_consensus->L2
0,12,0,9,13,1,1,0,0,L1_consensus->L2
0,14,0,9,1,0,0,0,0,L1_consensus->L2
0,15,0,9,1,0,0,0,0,L1_consensus->L2
0,16,0,9,0,0,0,0,0,L1_consensus->L2
0,17,0,9,0,0,0,0,0,L1_consensus->L2
0,18,0,9,6,0,0,0,0,L1_consensus->L2
0,19,0,9,6,0,0,0,0,L1_consensus->L2
0,20,0,9,8,2,0,0,0,L1_consensus->L2
0,21,0,9,8,0,0,0,0,L1_consensus->L2
0,22,0,9,0,0,0,0,0,L1_consensus->L2
0,23,0,9,0,0,0,0,0,L1_consensus->L2
0,24,0,9,0,0,0,0,0,L1_consensus->L2
0,25,0,9,2,1,0,0,0,L1_consensus->L2
0,26,0,9,3,1,0,0,0,L1_consensus->L2
0,27,0,9,1,0,0,0,0,L1_consensus->L2
0,28,0,9,1,0,0,0,0,L1_consensus->L2
0,29,1,9,1,2,0,0,0,L1_consensus->L2
0,30,0,9,2,3,0,0,0,L1_consensus->L2
0,31,0,9,0,0,0,0,0,L1_consensus->L2
0,32,0,9,0,0,0,0,0,L1_consensus->L2
0,33,0,9,2,0,0,0,0,L1_consensus->L2
0,34,0,9,0,0,0,0,0,L1_consensus->L2
0,35,0,9,5,0,1,0,0,L1_consensus->L2
0,36,0,9,5,0,0,0,0,L1_consensus->L2
0,37,0,9,4,1,0,0,0,L1_consensus->L2
0,38,0,9,3,1,0,0,0,L1_consensus->L2
0,43,0,9,2,0,1,0,0,L1_consensus->L2
0,45,1,9,15,0,0,0,0,L1_consensus->L2
0,46,0,9,16,0,0,0,0,L1_consensus->L2
0,47,0,9,0,0,0,0,0,L1_consensus->L2
0,48,0,9,2,0,0,0,0,L1_consensus->L2
0,49,0,9,3,1,0,0,0,L1_consensus->L2
0,51,0,9,2,1,0,0,0,L1_consensus->L2
0,52,0,9,3,2,0,0,0,L1_consensus->L2
0,53,0,9,0,0,0,0,0,L1_consensus->L2
0,54,0,9,0,0,0,0,0,L1_consensus->L2
0,55,0,9,2,0,0,0,0,L1_consensus->L2
0,56,0,9,1,0,0,0,0,L1_consensus->L2
0,57,0,9,6,1,0,0,0,L1_consensus->L2
0,58,0,9,6,1,0,0,0,L1_consensus->L2
0,59,0,9,4,0,0,0,0,L1_consensus->L2
0,60,0,9,3,0,0,0,0,L1_consensus->L2
0,61,0,9,1,0,0,0,0,L1_consensus->L2
0,62,0,9,1,0,0,0,0,L1_consensus->L2
0,63,0,9,6,0,0,0,0,L1_consensus->L2
0,64,0,9,7,0,0,0,0,L1_consensus->L2
0,65,0,9,4,0,0,0,0,L1_consensus->L2
0,66,0,9,4,0,0,0,0,L1_consensus->L2
0,67,0,9,6,0,0,0,0,L1_consensus->L2
0,68,0,9,6,0,0,0,0,L1_consensus->L2
0,69,0,9,4,0,0,0,0,L1_consensus->L2
0,70,0,9,3,0,0,1,0,L1_consensus->L2
0,71,0,9,1,0,0,0,0,L1_consensus->L2
0,72,0,9,6,0,0,0,0,L1_consensus->L2
0,73,0,9,7,0,0,0,0,L1_consensus->L2
0,74,0,9,4,0,0,0,0,L1_consensus->L2
0,75,0,9,4,0,0,0,0,L1_consensus->L2
0,76,0,9,6,0,0,0,0,L1_consensus->L2
0,77,0,9,7,0,0,0,0,L1_consensus->L2
0,78,0,9,4,0,0,0,0,L1_consensus->L2
0,79,0,9,3,0,0,1,0,L1_consensus->L2
0,80,0,9,4,1,0,0,1,L1_consensus->L2
0,81,0,9,4,1,0,0,1,L1_consensus->L2
0,82,0,9,2,1,0,0,1,L1_consensus->L2
0,83,0,9,1,1,0,0,1,L1_consensus->L2
0,84,0,9,0,0,0,0,0,L1_consensus->L2
0,85,0,9,0,0,0,0,0,L1_consensus->L2
0,86,0,9,1,0,0,0,0,L1_consensus->L2
0,87,0,9,1,0,0,0,0,L1_consensus->L2
0,88,0,9,1,0,0,0,0,L1_consensus->L2
0,89,0,9,0,3,0,0,0,L1_consensus->L2
0,90,0,9,0,1,0,0,0,L1_consensus->L2
0,91,0,9,1,1,0,0,0,L1_consensus->L2
0,92,0,9,0,0,0,0,0,L1_consensus->L2
0,93,0,9,0,0,0,0,0,L1_consensus->L2
0,94,0,9,1,0,0,0,0,L1_consensus->L2
0,95,0,9,1,0,0,0,0,L1_consensus->L2
0,96,0,9,0,0,0,0,0,L1_consensus->L2
0,97,0,9,2,0,0,0,0,L1_consensus->L2
0,98,0,9,2,0,0,0,0,L1_consensus->L2
0,99,0,9,0,0,0,0,0,L1_consensus->L2
0,100,0,9,0,0,0,0,0,L1_consensus->L2
0,101,1,9,0,0,0,0,0,L1_consensus->L2
0,102,0,9,0,0,0,0,0,L1_consensus->L2
0,103,0,9,3,0,0,0,0,L1_consensus->L2
0,104,0,9,4,0,0,0,0,L1_consensus->L2
0,105,0,9,0,0,0,0,0,L1_consensus->L2
0,106,0,9,0,0,0,0,0,L1_consensus->L2
0,107,0,9,3,0,0,0,0,L1_consensus->L2
0,108,0,9,3,0,0,0,0,L1_consensus->L2
0,109,0,9,3,1,0,0,1,L1_consensus->L2
0,110,0,9,3,1,0,0,1,L1_consensus->L2
0,111,1,9,4,0,0,0,0,L1_consensus->L2
0,112,0,9,4,1,0,0,1,L1_consensus->L2
0,113,0,9,0,2,0,0,0,L1_consensus->L2
0,114,0,9,0,2,0,0,0,L1_consensus->L2
0,115,0,9,0,1,0,0,0,L1_consensus->L2
0,116,0,9,0,2,0,0,0,L1_consensus->L2
0,117,0,9,1,0,0,0,0,L1_consensus->L2
0,118,0,9,1,0,0,0,0,L1_consensus->L2
0,119,0,9,0,3,0,0,0,L1_consensus->L2
0,120,0,9,0,0,0,0,0,L1_consensus->L2
0,121,1,9,17,0,0,0,0,L1_consensus->L2
0,122,0,9,19,0,0,0,0,L1_consensus->L2
0,123,0,9,14,3,0,2,0,L1_consensus->L2
0,124,0,9,12,1,0,0,0,L1_consensus->L2
0,125,0,9,8,2,0,0,0,L1_consensus->L2
0,127,0,9,1,0,0,0,0,L1_consensus->L2
0,128,0,9,1,3,0,0,1,L1_consensus->L2
0,129,0,9,1,1,0,0,0,L1_consensus->L2
0,130,0,9,4,0,0,0,0,L1_consensus->L2
0,131,0,9,5,0,0,0,0,L1_consensus->L2
0,132,0,9,2,0,0,0,0,L1_consensus->L2
0,134,0,9,10,1,0,0,0,L1_consensus->L2
0,135,1,9,8,0,0,0,0,L1_consensus->L2
0,136,0,9,8,0,0,0,0,L1_consensus->L2
0,137,0,9,4,0,0,0,0,L1_consensus->L2
0,138,0,9,3,1,0,1,0,L1_consensus->L2
0,139,0,9,0,0,0,0,0,L1_consensus->L2
0,140,0,9,0,0,0,0,0,L1_consensus->L2
0,141,0,9,12,0,0,0,0,L1_consensus->L2
0,142,0,9,12,0,0,0,0,L1_consensus->L2
0,143,0,9,7,0,0,0,0,L1_consensus->L2
0,144,0,9,7,0,0,1,0,L1_consensus->L2
0,145,0,9,12,0,0,0,0,L1_consensus->L2
0,146,0,9,14,0,0,0,0,L1_consensus->L2
0,147,0,9,6,0,0,0,0,L1_consensus->L2
0,148,0,9,7,0,0,0,0,L1_consensus->L2
0,149,0,9,9,0,0,0,0,L1_consensus->L2
0,150,0,9,7,0,0,0,0,L1_consensus->L2
0,151,0,9,2,0,0,0,0,L1_consensus->L2
0,152,0,9,1,0,0,0,0,L1_consensus->L2
0,153,0,9,2,2,0,0,0,L1_consensus->L2
0,154,0,9,4,2,0,1,0,L1_consensus->L2
0,155,0,9,2,2,0,0,0,L1_consensus->L2
0,156,0,9,3,2,0,1,0,L1_consensus->L2
0,157,0,9,1,0,0,0,0,L1_consensus->L2
0,158,0,9,1,0,0,0,0,L1_consensus->L2
0,159,0,9,2,0,0,0,0,L1_consensus->L2
0,160,0,9,1,0,0,0,0,L1_consensus->L2
0,161,0,9,1,0,0,0,0,L1_consensus->L2
0,162,0,9,1,0,0,0,0,L1_consensus->L2
0,163,1,9,1,0,0,0,0,L1_consensus->L2
0,164,0,9,1,0,0,0,0,L1_consensus->L2
0,165,0,9,1,0,0,0,0,L1_consensus->L2
0,166,0,9,1,0,0,0,0,L1_consensus->L2
0,167,0,9,2,0,0,0,0,L1_consensus->L2
0,168,0,9,1,0,0,0,0,L1_consensus->L2
0,169,0,9,13,0,1,3,0,L1_consensus->L2
0,170,0,9,13,0,1,2,0,L1_consensus->L2
0,171,0,9,12,0,0,2,0,L1_consensus->L2
0,172,0,9,12,0,0,1,0,L1_consensus->L2
0,173,0,9,1,0,0,0,0,L1_consensus->L2
0,174,0,9,1,0,0,0,0,L1_consensus->L2
0,175,0,9,0,0,0,0,0,L1_consensus->L2
0,176,0,9,1,0,0,0,0,L1_consensus->L2
0,177,0,9,1,0,0,0,0,L1_consensus->L2
0,178,0,9,1,1,0,0,1,L1_consensus->L2
0,179,0,9,3,0,0,0,0,L1_consensus->L2
0,180,0,9,3,1,0,0,1,L1_consensus->L2
0,181,0,9,1,0,0,0,0,L1_consensus->L2
0,182,0,9,0,0,0,0,0,L1_consensus->L2
0,183,0,9,1,0,0,0,0,L1_consensus->L2
0,184,0,9,1,0,0,0,0,L1_consensus->L2
1,0,0,6,2,3,1,0,1,L1_consensus->L2
1,2,0,6,1,0,0,0,0,L1_consensus->L2
1,3,0,6,0,1,0,0,0,L1_consensus->L2
1,4,0,6,3,0,0,0,0,L1_consensus->L2
1,5,0,6,3,0,0,0,0,L1_consensus->L2
1,6,0,6,1,0,0,0,0,L1_consensus->L2
1,7,0,6,1,0,0,0,0,L1_consensus->L2
1,8,0,6,1,0,0,0,0,L1_consensus->L2
1,9,0,6,1,0,0,0,0,L1_consensus->L2
1,10,0,6,10,0,0,0,0,L1_consensus->L2
1,11,1,6,10,0,2,0,1,L1_consensus->L2
1,12,1,6,13,2,0,1,0,L1_consensus->L2
1,13,1,6,13,1,2,0,0,L1_consensus->L2
1,14,0,6,1,0,0,0,0,L1_consensus->L2
1,15,0,6,1,0,0,0,0,L1_consensus->L2
1,16,0,6,0,0,0,0,0,L1_consensus->L2
1,17,0,6,0,0,0,0,0,L1_consensus->L2
1,18,0,6,6,0,0,0,0,L1_consensus->L2
1,19,0,6,6,0,0,0,0,L1_consensus->L2
1,20,0,6,8,0,0,0,0,L1_consensus->L2
1,21,0,6,8,1,0,0,0,L1_consensus->L2
1,22,0,6,0,0,0,0,0,L1_consensus->L2
1,23,0,6,0,0,0,0,0,L1_consensus->L2
1,24,0,6,0,0,0,0,0,L1_consensus->L2
1,25,0,6,2,0,0,0,0,L1_consensus->L2
1,26,0,6,3,0,0,0,0,L1_consensus->L2
1,27,0,6,1,0,0,0,0,L1_consensus->L2
1,28,0,6,1,0,0,0,0,L1_consensus->L2
1,29,0,6,1,2,0,0,0,L1_consensus->L2
1,30,1,6,2,1,0,0,0,L1_consensus->L2
1,31,0,6,0,0,0,0,0,L1_consensus->L2
1,32,0,6,0,0,0,0,0,L1_consensus->L2
1,33,0,6,2,0,0,0,0,L1_consensus->L2
1,34,0,6,0,0,0,0,0,L1_consensus->L2
1,35,0,6,5,0,0,0,0,L1_consensus->L2
1,36,0,6,5,0,1,0,0,L1_consensus->L2
1,37,0,6,4,1,0,0,0,L1_consensus->L2
1,38,0,6,3,0,0,0,0,L1_consensus->L2
1,40,0,6,9,0,2,1,0,L1_consensus->L2
1,43,0,6,2,0,0,0,0,L1_consensus->L2
1,44,0,6,3,0,1,0,0,L1_consensus->L2
1,45,0,6,15,0,0,0,0,L1_consensus->L2
1,46,1,6,16,0,0,0,0,L1_consensus->L2
1,47,0,6,0,0,0,0,0,L1_consensus->L2
1,48,0,6,2,0,0,0,0,L1_consensus->L2
1,50,0,6,4,0,1,0,0,L1_consensus->L2
1,51,0,6,2,1,0,0,0,L1_consensus->L2
1,52,0,6,3,1,0,0,0,L1_consensus->L2
1,53,0,6,0,0,0,0,0,L1_consensus->L2
1,54,0,6,0,0,0,0,1,L1_consensus->L2
1,55,0,6,2,0,0,0,0,L1_consensus->L2
1,56,0,6,1,0,0,0,0,L1_consensus->L2
1,57,0,6,6,0,0,0,0,L1_consensus->L2
1,58,0,6,6,0,1,0,0,L1_consensus->L2
1,59,0,6,4,0,0,0,0,L1_consensus->L2
1,60,0,6,3,0,0,0,0,L1_consensus->L2
1,61,0,6,1,0,0,0,0,L1_consensus->L2
1,62,0,6,1,0,0,0,0,L1_consensus->L2
1,63,0,6,6,0,0,0,0,L1_consensus->L2
1,64,0,6,7,0,0,0,0,L1_consensus->L2
1,65,0,6,4,0,0,0,0,L1_consensus->L2
