cengen_class,conservation_count,conservation_fraction
CAN,138,0.69
CEP,131,0.655
AVL,130,0.65
AVD,130,0.65
RIG,130,0.65
AVF,128,0.64
PVC,128,0.64
URX,127,0.635
RIH,126,0.63
ADE,124,0.62
AIZ,124,0.62
RID,123,0.615
SIA,123,0.615
SIB,123,0.615
ADA,122,0.61
URA,122,0.61
SMB,121,0.605
RME_DV,121,0.605
RIP,121,0.605
RMG,120,0.6
AVB,119,0.595
HSN,119,0.595
AUA,119,0.595
SDQ,118,0.59
PVP,118,0.59
PLN,118,0.59
RMD_DV,118,0.59
AVK,117,0.585
PVT,117,0.585
RIB,117,0.585
DVC,117,0.585
AIB,116,0.58
AVJ,116,0.58
IL2_LR,116,0.58
SMD,115,0.575
URB,114,0.57
RME_LR,114,0.57
IL2_DV,113,0.565
RMD_LR,113,0.565
DVA,113,0.565
SAA,112,0.56
PVQ,111,0.555
RIR,111,0.555
RMH,111,0.555
RIS,111,0.555
AVA,110,0.55
PVN,110,0.55
OLL,109,0.545
AVE,109,0.545
URY,108,0.54
IL1,108,0.54
ASG,108,0.54
RIA,108,0.54
AVM,107,0.535
ALA,107,0.535
FLP,106,0.53
AIA,106,0.53
AIN,105,0.525
RIV,105,0.525
RMF,105,0.525
AQR,105,0.525
RIF,104,0.52
OLQ,103,0.515
AIM,102,0.51
RIC,102,0.51
AIY,102,0.51
ALM,101,0.505
AVH,101,0.505
PVR,101,0.505
BDU,98,0.49
RIM,94,0.47
ASH,93,0.465
ALN,93,0.465
ASEL,92,0.46
AWA,91,0.455
ADL,88,0.44
ASER,88,0.44
BAG,85,0.425
ASJ,84,0.42
ASI,82,0.41
AWB,81,0.405
AFD,80,0.4
ASK,78,0.39
ADF,77,0.385
