neuron,chem_in,chem_out,gap_deg,pep_in,pep_out,chem_in_z,chem_out_z,gap_deg_z,pep_in_z,pep_out_z,archetype,NT,is_command,is_monoamine,is_sensory,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,cluster,cluster_label
ADAL,19,13,3,0,31,1.284932022531041,0.38952621245740543,0.17853789014440422,-0.8328423850782745,0.4055687785022503,Wired_receiver,Glu,0,0,0,2,4,5,3,5,chem_in+/chem_out+
ADAR,10,19,5,0,31,0.01838333924686735,1.1360714138865624,1.0042756320622737,-0.8328423850782745,0.4055687785022503,Multiplex_integrator,Glu,0,0,0,4,4,5,1,5,chem_in+/chem_out+
ADEL,6,27,3,9,68,-0.5445271866572098,2.131465015792105,0.17853789014440422,-0.4614095535188119,1.7924721700998707,Multiplex_integrator,DA,0,1,0,3,2,3,6,3,chem_out+/pep_out+
ADER,6,34,2,9,68,-0.5445271866572098,3.0024344174594546,-0.2343309808145305,-0.4614095535188119,1.7924721700998707,Multiplex_integrator,DA,0,1,0,3,2,3,6,3,chem_out+/pep_out+
ADFL,5,20,2,27,95,-0.6852548181332291,1.2604956141247552,-0.2343309808145305,0.2814561096001133,2.804536807211648,Multiplex_integrator,ACh,0,0,1,3,2,3,6,3,chem_out+/pep_out+
ADFR,7,11,3,27,95,-0.4037995551811905,0.14067781198101978,0.17853789014440422,0.2814561096001133,2.804536807211648,Wireless_modulator,ACh,0,0,1,3,2,3,6,3,chem_out+/pep_out+
ADLL,8,19,2,19,29,-0.26307192370517124,1.1360714138865624,-0.2343309808145305,-0.04870640734163123,0.33060102760508164,Wired_broadcaster,Glu,0,0,1,4,5,1,0,1,Diffuse
ADLR,2,15,1,19,29,-1.1074377125612869,0.638374612933791,-0.6471998517734652,-0.04870640734163123,0.33060102760508164,Intermediate,Glu,0,0,1,4,5,1,4,1,Diffuse
AFDL,7,3,2,2,52,-0.4037995551811905,-0.8547157899245228,-0.2343309808145305,-0.7503017558428384,1.1927301629225213,Wireless_modulator,Glu,0,0,1,1,1,4,4,4,Baseline
AFDR,6,2,1,2,52,-0.5445271866572098,-0.9791399901627156,-0.6471998517734652,-0.7503017558428384,1.1927301629225213,Wireless_modulator,Glu,0,0,1,1,1,4,4,4,Baseline
AIAL,18,10,7,44,38,1.1442043910550217,0.01625361174282696,1.830013373980143,0.9830514581013204,0.6679559066423406,Multiplex_integrator,ACh,0,0,0,2,0,0,1,0,chem_in+/gap+
AIAR,17,10,8,44,38,1.0034767595790024,0.01625361174282696,2.2428822449390777,0.9830514581013204,0.6679559066423406,Multiplex_integrator,ACh,0,0,0,2,0,0,1,0,chem_in+/gap+
AIBL,30,15,1,6,0,2.832935968767253,0.638374612933791,-0.6471998517734652,-0.5852204973719661,-0.756431360403864,Wired_receiver,Glu,0,0,0,2,4,5,3,5,chem_in+/chem_out+
AIBR,33,21,5,6,0,3.255118863195311,1.384919814362948,1.0042756320622737,-0.5852204973719661,-0.756431360403864,Multiplex_integrator,Glu,0,0,0,2,0,5,3,5,chem_in+/chem_out+
AIML,2,23,2,2,104,-1.1074377125612869,1.6337682148393335,-0.2343309808145305,-0.7503017558428384,3.141891686248907,Multiplex_integrator,5HT,0,1,0,3,2,3,6,3,chem_out+/pep_out+
AIMR,7,18,2,2,104,-0.4037995551811905,1.0116472136483696,-0.2343309808145305,-0.7503017558428384,3.141891686248907,Multiplex_integrator,5HT,0,1,0,3,2,3,6,3,chem_out+/pep_out+
AINL,2,15,2,0,0,-1.1074377125612869,0.638374612933791,-0.2343309808145305,-0.8328423850782745,-0.756431360403864,Intermediate,ACh,0,0,0,4,5,1,0,1,Diffuse
AINR,1,14,2,0,0,-1.2481653440373062,0.5139504126955983,-0.2343309808145305,-0.8328423850782745,-0.756431360403864,Intermediate,ACh,0,0,0,4,5,1,0,1,Diffuse
AIYL,13,5,4,40,54,0.4405662336749252,-0.6058673894481371,0.5914067611033389,0.8179701996304481,1.26769791381969,Wireless_modulator,ACh,0,0,0,0,3,2,7,2,pep_in+
AIYR,10,12,2,40,54,0.01838333924686735,0.2651020122192126,-0.2343309808145305,0.8179701996304481,1.26769791381969,Wireless_modulator,ACh,0,0,0,3,3,2,4,2,pep_in+
AIZL,12,15,5,8,54,0.2998386021989059,0.638374612933791,1.0042756320622737,-0.50267986813653,1.26769791381969,Multiplex_integrator,Glu,0,0,0,3,2,3,6,3,chem_out+/pep_out+
AIZR,16,16,6,8,54,0.8627491281029831,0.7627988131719838,1.4171445030212084,-0.50267986813653,1.26769791381969,Multiplex_integrator,Glu,0,0,0,2,2,3,1,3,chem_out+/pep_out+
ALA,1,7,0,0,29,-1.2481653440373062,-0.3570189889717515,-1.0600687227324,-0.8328423850782745,0.33060102760508164,Quiet,Other,0,0,0,1,1,4,4,4,Baseline
ALML,4,9,2,44,0,-0.8259824496092484,-0.10817058849536586,-0.2343309808145305,0.9830514581013204,-0.756431360403864,Intermediate,Glu,0,0,1,0,5,1,0,1,Diffuse
ALMR,7,9,3,44,0,-0.4037995551811905,-0.10817058849536586,0.17853789014440422,0.9830514581013204,-0.756431360403864,Intermediate,Glu,0,0,1,0,3,2,0,2,pep_in+
ALNL,3,6,0,14,0,-0.9667100810852677,-0.48144318920994433,-1.0600687227324,-0.25505798043022154,-0.756431360403864,Quiet,ACh,0,0,0,1,1,4,2,4,Baseline
ALNR,3,10,0,14,0,-0.9667100810852677,0.01625361174282696,-1.0600687227324,-0.25505798043022154,-0.756431360403864,Quiet,ACh,0,0,0,4,5,1,0,1,Diffuse
AQR,11,17,5,61,0,0.15911097072288663,0.8872230134101767,1.0042756320622737,1.6846468066025275,-0.756431360403864,Multiplex_integrator,Glu,0,0,0,0,3,2,7,2,pep_in+
ASEL,9,12,0,67,36,-0.12234429222915194,0.2651020122192126,-1.0600687227324,1.932268694308836,0.5929881557451719,Wireless_target,Glu,0,0,1,0,3,2,7,2,pep_in+
ASER,13,17,1,67,36,0.4405662336749252,0.8872230134101767,-0.6471998517734652,1.932268694308836,0.5929881557451719,Wireless_target,Glu,0,0,1,0,3,2,7,2,pep_in+
ASGL,5,3,1,62,53,-0.6852548181332291,-0.8547157899245228,-0.6471998517734652,1.7259171212202458,1.2302140383711058,Wireless_integrator,Glu,0,0,1,0,3,2,7,2,pep_in+
ASGR,5,4,2,62,53,-0.6852548181332291,-0.73029158968633,-0.2343309808145305,1.7259171212202458,1.2302140383711058,Wireless_integrator,Glu,0,0,1,0,3,2,7,2,pep_in+
ASHL,6,20,3,67,36,-0.5445271866572098,1.2604956141247552,0.17853789014440422,1.932268694308836,0.5929881557451719,Multiplex_integrator,Glu,0,0,1,0,3,2,7,2,pep_in+
ASHR,10,17,3,67,36,0.01838333924686735,0.8872230134101767,0.17853789014440422,1.932268694308836,0.5929881557451719,Wireless_target,Glu,0,0,1,0,3,2,7,2,pep_in+
ASIL,2,12,2,32,58,-1.1074377125612869,0.2651020122192126,-0.2343309808145305,0.48780768268870367,1.4176334156140273,Wireless_modulator,Other,0,0,1,3,5,1,4,1,Diffuse
ASIR,2,9,2,32,58,-1.1074377125612869,-0.10817058849536586,-0.2343309808145305,0.48780768268870367,1.4176334156140273,Wireless_modulator,Other,0,0,1,3,5,1,4,1,Diffuse
ASJL,5,6,2,16,37,-0.6852548181332291,-0.48144318920994433,-0.2343309808145305,-0.17251735119478542,0.6304720311937563,Intermediate,ACh,0,0,1,1,5,1,4,1,Diffuse
ASJR,1,4,2,16,37,-1.2481653440373062,-0.73029158968633,-0.2343309808145305,-0.17251735119478542,0.6304720311937563,Intermediate,ACh,0,0,1,1,5,1,4,1,Diffuse
ASKL,9,8,0,22,54,-0.12234429222915194,-0.23259478873355868,-1.0600687227324,0.07510453651152298,1.26769791381969,Wireless_modulator,Glu,0,0,1,3,5,1,4,1,Diffuse
ASKR,7,11,0,22,54,-0.4037995551811905,0.14067781198101978,-1.0600687227324,0.07510453651152298,1.26769791381969,Wireless_modulator,Glu,0,0,1,3,5,1,4,1,Diffuse
AUAL,7,7,3,64,52,-0.4037995551811905,-0.3570189889717515,0.17853789014440422,1.8084577504556818,1.1927301629225213,Wireless_integrator,Glu,0,0,0,0,3,2,7,2,pep_in+
AUAR,11,6,1,64,52,0.15911097072288663,-0.48144318920994433,-0.6471998517734652,1.8084577504556818,1.1927301629225213,Wireless_integrator,Glu,0,0,0,0,3,2,7,2,pep_in+
AVAL,26,0,6,23,54,2.270025442863176,-1.2279883906391011,1.4171445030212084,0.11637485112924104,1.26769791381969,Multiplex_integrator,ACh,1,0,0,2,0,6,5,6,chem_in+/gap+
AVAR,27,0,6,23,54,2.4107530743391954,-1.2279883906391011,1.4171445030212084,0.11637485112924104,1.26769791381969,Multiplex_integrator,ACh,1,0,0,2,0,6,5,6,chem_in+/gap+
AVBL,40,0,4,2,31,4.240212283527446,-1.2279883906391011,0.5914067611033389,-0.7503017558428384,0.4055687785022503,Wired_receiver,ACh,1,0,0,2,0,6,5,6,chem_in+/gap+
AVBR,38,0,6,2,31,3.9587570205754075,-1.2279883906391011,1.4171445030212084,-0.7503017558428384,0.4055687785022503,Multiplex_integrator,ACh,1,0,0,2,0,6,5,6,chem_in+/gap+
AVDL,17,0,4,37,30,1.0034767595790024,-1.2279883906391011,0.5914067611033389,0.694159255777294,0.368084903053666,Wired_receiver,ACh,1,0,0,0,3,2,7,2,pep_in+
AVDR,19,0,5,37,30,1.284932022531041,-1.2279883906391011,1.0042756320622737,0.694159255777294,0.368084903053666,Multiplex_integrator,ACh,1,0,0,2,0,2,7,2,pep_in+
AVEL,32,0,11,0,12,3.1143912317192917,-1.2279883906391011,3.4814888578158816,-0.8328423850782745,-0.306624855020852,Multiplex_integrator,ACh,1,0,0,2,0,6,5,6,chem_in+/gap+
AVER,35,0,8,0,12,3.5365741261473493,-1.2279883906391011,2.2428822449390777,-0.8328423850782745,-0.306624855020852,Multiplex_integrator,ACh,1,0,0,2,0,6,5,6,chem_in+/gap+
AVFL,7,11,0,38,0,-0.4037995551811905,0.14067781198101978,-1.0600687227324,0.735429570395012,-0.756431360403864,Intermediate,Other,0,0,0,4,5,1,0,1,Diffuse
AVFR,9,15,1,38,0,-0.12234429222915194,0.638374612933791,-0.6471998517734652,0.735429570395012,-0.756431360403864,Intermediate,Other,0,0,0,4,5,1,0,1,Diffuse
AVHL,6,17,0,8,0,-0.5445271866572098,0.8872230134101767,-1.0600687227324,-0.50267986813653,-0.756431360403864,Intermediate,Other,0,0,0,4,5,1,0,1,Diffuse
AVHR,7,23,0,8,0,-0.4037995551811905,1.6337682148393335,-1.0600687227324,-0.50267986813653,-0.756431360403864,Wired_broadcaster,Other,0,0,0,4,5,1,0,1,Diffuse
AVJL,19,6,0,6,0,1.284932022531041,-0.48144318920994433,-1.0600687227324,-0.5852204973719661,-0.756431360403864,Wired_receiver,Other,0,0,0,1,4,5,3,5,chem_in+/chem_out+
AVJR,13,7,1,6,0,0.4405662336749252,-0.3570189889717515,-0.6471998517734652,-0.5852204973719661,-0.756431360403864,Quiet,Other,0,0,0,1,1,4,2,4,Baseline
AVKL,10,17,8,0,37,0.01838333924686735,0.8872230134101767,2.2428822449390777,-0.8328423850782745,0.6304720311937563,Electrical_synchronizer,Other,0,0,0,2,0,0,1,0,chem_in+/gap+
AVKR,8,18,9,0,37,-0.26307192370517124,1.0116472136483696,2.6557511158980125,-0.8328423850782745,0.6304720311937563,Multiplex_integrator,Other,0,0,0,2,0,0,1,0,chem_in+/gap+
AVL,5,3,0,6,29,-0.6852548181332291,-0.8547157899245228,-1.0600687227324,-0.5852204973719661,0.33060102760508164,Quiet,GABA,0,0,0,1,1,4,4,4,Baseline
AVM,7,10,4,44,0,-0.4037995551811905,0.01625361174282696,0.5914067611033389,0.9830514581013204,-0.756431360403864,Intermediate,Glu,0,0,1,0,3,2,0,2,pep_in+
AWAL,6,13,2,16,0,-0.5445271866572098,0.38952621245740543,-0.2343309808145305,-0.17251735119478542,-0.756431360403864,Quiet,Other,0,0,1,4,5,1,0,1,Diffuse
AWAR,6,12,2,16,0,-0.5445271866572098,0.2651020122192126,-0.2343309808145305,-0.17251735119478542,-0.756431360403864,Quiet,Other,0,0,1,4,5,1,0,1,Diffuse
AWBL,10,9,4,24,8,0.01838333924686735,-0.10817058849536586,0.5914067611033389,0.1576451657469591,-0.45656035681518936,Intermediate,ACh,0,0,1,4,5,1,0,1,Diffuse
AWBR,5,10,3,24,8,-0.6852548181332291,0.01625361174282696,0.17853789014440422,0.1576451657469591,-0.45656035681518936,Quiet,ACh,0,0,1,4,5,1,0,1,Diffuse
AWCL,11,9,1,2,4,0.15911097072288663,-0.10817058849536586,-0.6471998517734652,-0.7503017558428384,-0.6064958586095267,Quiet,Glu,0,0,1,4,1,4,2,4,Baseline
AWCR,6,16,1,2,4,-0.5445271866572098,0.7627988131719838,-0.6471998517734652,-0.7503017558428384,-0.6064958586095267,Intermediate,Glu,0,0,1,4,5,1,0,1,Diffuse
BAGL,11,7,2,23,61,0.15911097072288663,-0.3570189889717515,-0.2343309808145305,0.11637485112924104,1.5300850419597805,Wireless_modulator,Glu,0,0,1,3,2,3,4,3,chem_out+/pep_out+
BAGR,14,13,4,23,61,0.5812938651509445,0.38952621245740543,0.5914067611033389,0.11637485112924104,1.5300850419597805,Wireless_modulator,Glu,0,0,1,3,2,3,6,3,chem_out+/pep_out+
BDUL,8,13,1,39,35,-0.26307192370517124,0.38952621245740543,-0.6471998517734652,0.7766998850127301,0.5555042802965876,Intermediate,Other,0,0,0,4,5,1,4,1,Diffuse
BDUR,5,10,2,39,35,-0.6852548181332291,0.01625361174282696,-0.2343309808145305,0.7766998850127301,0.5555042802965876,Intermediate,Other,0,0,0,0,5,1,4,1,Diffuse
BWM-DL01,8,0,1,0,0,-0.26307192370517124,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DL02,9,0,1,0,0,-0.12234429222915194,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-DL03,10,0,1,0,0,0.01838333924686735,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
