archetype,NT,in_archetype,total_archetype,total_NT,odds_ratio,p
Multiplex_integrator,DA,6,49,6,inf,9.003884722017694e-05
Wireless_integrator,Glu,4,4,54,inf,0.003210931978055266
Multiplex_integrator,TA,2,49,2,inf,0.047939342056989125
Multiplex_integrator,5HT,2,49,2,inf,0.047939342056989125
Wireless_target,ACh,10,17,85,2.4761904761904763,0.061950059503728144
Wireless_target,GABA,2,17,6,6.7,0.06909328089704875
Wired_receiver,ACh,6,9,85,3.392405063291139,0.07717131615061659
Wired_broadcaster,Glu,5,11,54,2.7551020408163267,0.09856315620640446
Wireless_modulator,Glu,6,15,54,2.2083333333333335,0.12610809123883757
Wireless_modulator,OA,1,15,2,14.714285714285714,0.1308548367371897
Electrical_synchronizer,ACh,3,4,85,4.975609756097561,0.15794460999940452
Wired_integrator,Glu,2,4,54,3.1923076923076925,0.249333953282382
Wired_broadcaster,GABA,1,11,6,4.12,0.26545117954541325
Multiplex_integrator,ACh,21,49,85,1.27734375,0.279844924477013
Multiplex_integrator,OA,1,49,2,3.5833333333333335,0.39350209938445235
Multiplex_integrator,GABA,2,49,6,1.797872340425532,0.39602357001928085
Wireless_target,Glu,5,17,54,1.3265306122448979,0.39921848647245245
Wired_integrator,ACh,2,4,85,1.6265060240963856,0.49561804356324907
Multiplex_integrator,Glu,12,49,54,1.0115830115830116,0.5556069604808751
Wired_broadcaster,ACh,4,11,85,0.9171075837742504,0.6667004429137324
Wired_receiver,Glu,2,9,54,0.8846153846153846,0.6885499603625633
Wireless_modulator,ACh,5,15,85,0.79375,0.7489314002695933
Wireless_modulator,GABA,0,15,6,0.0,1.0
Wired_receiver,5HT,0,9,2,0.0,1.0
Wireless_modulator,TA,0,15,2,0.0,1.0
Wireless_modulator,5HT,0,15,2,0.0,1.0
Wireless_modulator,DA,0,15,6,0.0,1.0
Wired_broadcaster,DA,0,11,6,0.0,1.0
Wired_receiver,DA,0,9,6,0.0,1.0
Wired_receiver,TA,0,9,2,0.0,1.0
Wired_receiver,OA,0,9,2,0.0,1.0
Wired_receiver,GABA,0,9,6,0.0,1.0
Wireless_target,DA,0,17,6,0.0,1.0
Wired_broadcaster,5HT,0,11,2,0.0,1.0
Wired_broadcaster,OA,0,11,2,0.0,1.0
Wired_broadcaster,TA,0,11,2,0.0,1.0
Wireless_integrator,ACh,0,4,85,0.0,1.0
Wireless_integrator,GABA,0,4,6,0.0,1.0
Wireless_target,TA,0,17,2,0.0,1.0
Wireless_target,5HT,0,17,2,0.0,1.0
Wireless_integrator,5HT,0,4,2,0.0,1.0
Wireless_integrator,OA,0,4,2,0.0,1.0
Wireless_integrator,TA,0,4,2,0.0,1.0
Electrical_synchronizer,GABA,0,4,6,0.0,1.0
Electrical_synchronizer,Glu,0,4,54,0.0,1.0
Electrical_synchronizer,DA,0,4,6,0.0,1.0
Wireless_integrator,DA,0,4,6,0.0,1.0
Wireless_target,OA,0,17,2,0.0,1.0
Electrical_synchronizer,OA,0,4,2,0.0,1.0
Electrical_synchronizer,5HT,0,4,2,0.0,1.0
Electrical_synchronizer,TA,0,4,2,0.0,1.0
Wired_integrator,GABA,0,4,6,0.0,1.0
Wired_integrator,DA,0,4,6,0.0,1.0
Wired_integrator,5HT,0,4,2,0.0,1.0
Wired_integrator,OA,0,4,2,0.0,1.0
Wired_integrator,TA,0,4,2,0.0,1.0
