neuron_class,neuron,nt1,nt2,location,notes
ADA,ADAL,Glutamate (Glu),,Head,
ADA,ADAR,Glutamate (Glu),,Head,
ADE,ADEL,Dopamine (DA),,Head,  Neuron Class - Blue - Sensory neuron
ADE,ADER,Dopamine (DA),,Head,
ADF,ADFL,Acetylcholine (ACh),Serotonin / 5HT,Head,*also express eat-4/VGluT in adult male only
ADF,ADFR,Acetylcholine (ACh),Serotonin / 5HT,Head,*also express eat-4/VGluT in adult male only
ADL,ADLL,Glutamate (Glu),,Head,
ADL,ADLR,Glutamate (Glu),,Head,
AFD,AFDL,Glutamate (Glu),,Head,
AFD,AFDR,Glutamate (Glu),,Head,
AIA,AIAL,Acetylcholine (ACh),,Head, Neuron Class - Gray - Interneuron
AIA,AIAR,Acetylcholine (ACh),,Head,
AIB,AIBL,Glutamate (Glu),,Head,
AIB,AIBR,Glutamate (Glu),,Head,
AIM,AIML,Serotonin / 5HT,Glu,Head,Possibly '5HT clearance neuron' only
AIM,AIMR,Serotonin / 5HT,Glu,Head,Possibly '5HT clearance neuron' only
AIN,AINL,Acetylcholine (ACh),,Head,
AIN,AINR,Acetylcholine (ACh),,Head,
AIY,AIYL,Acetylcholine (ACh),,Head,
AIY,AIYR,Acetylcholine (ACh),,Head,
AIZ,AIZL,Glutamate (Glu),,Head,
AIZ,AIZR,Glutamate (Glu),,Head,
ALA,ALA,Unknown,,Head,"P16: Newly assigned as mechanosensory (based on Sanders et al., 2013)"
ALM,ALML,Glutamate (Glu),,Body wall,
ALM,ALMR,Glutamate (Glu),,Body wall,
ALN,ALNL,Acetylcholine (ACh),,Tail,P16: Classified as sensory because of expression of oxygen sensors
ALN,ALNR,Acetylcholine (ACh),,Tail,
AQR,AQR,Glutamate (Glu),,Head,
AS,AS1,Acetylcholine (ACh),,Head - RVG, Neuron Class - Light Red - Motor neuron
AS,AS2,Acetylcholine (ACh),,VNC,
AS,AS3,Acetylcholine (ACh),,VNC,
AS,AS4,Acetylcholine (ACh),,VNC,
AS,AS5,Acetylcholine (ACh),,VNC,
AS,AS6,Acetylcholine (ACh),,VNC,
AS,AS7,Acetylcholine (ACh),,VNC,
AS,AS8,Acetylcholine (ACh),,VNC,
AS,AS9,Acetylcholine (ACh),,VNC,
AS,AS10,Acetylcholine (ACh),,VNC,
AS,AS11,Acetylcholine (ACh),Glutamate (Glu) - adult male-specific,Tail - PAG,*express eat-4/VGluT in adult male only
ASE,ASEL,Glutamate (Glu),,Head,
ASE,ASER,Glutamate (Glu),,Head,
ASG,ASGL,Glutamate (Glu),Serotonin / 5HT (conditional),Head,
ASG,ASGR,Glutamate (Glu),Serotonin / 5HT (conditional),Head,
ASH,ASHL,Glutamate (Glu),,Head,
ASH,ASHR,Glutamate (Glu),,Head,
ASI,ASIL,Unknown,,Head,
ASI,ASIR,Unknown,,Head,
ASJ,ASJL,Acetylcholine (ACh),,Head,
ASJ,ASJR,Acetylcholine (ACh),,Head,
ASK,ASKL,Glutamate (Glu),,Head,
ASK,ASKR,Glutamate (Glu),,Head,
AUA,AUAL,Glutamate (Glu),,Head,
AUA,AUAR,Glutamate (Glu),,Head,
AVA,AVAL,Acetylcholine (ACh),,Head - Lateral G,possibly GABAergic
AVA,AVAR,Acetylcholine (ACh),,Head - Lateral G,possibly GABAergic
AVB,AVBL,Acetylcholine (ACh),,Head - Lateral G,possibly GABAergic
AVB,AVBR,Acetylcholine (ACh),,Head - Lateral G,possibly GABAergic
AVD,AVDL,Acetylcholine (ACh),,Head,
AVD,AVDR,Acetylcholine (ACh),,Head,
AVE,AVEL,Acetylcholine (ACh),,Head,
AVE,AVER,Acetylcholine (ACh),,Head,
AVF,AVFL,Unknown,,Head - RVG,possible 'GABA clearance' neuron
AVF,AVFR,Unknown,,Head - RVG,possible 'GABA clearance' neuron
AVG,AVG,Acetylcholine (ACh),,Head,
AVH,AVHL,Unknown,,Head,
AVH,AVHR,Unknown,,Head,
AVJ,AVJL,Unknown,,Head - Lateral G,possibly GABAergic
AVJ,AVJR,Unknown,,Head - Lateral G,possibly GABAergic
AVK,AVKL,Unknown,,Head,
AVK,AVKR,Unknown,,Head,
AVL,AVL,GABA,,Head,
AVM,AVM,Glutamate (Glu),,Body wall,
AWA,AWAL,Unknown,,Head,
AWA,AWAR,Unknown,,Head,
AWB,AWBL,Acetylcholine (ACh),,Head,
AWB,AWBR,Acetylcholine (ACh),,Head,
AWC,AWCL,Glutamate (Glu),,Head,
AWC,AWCR,Glutamate (Glu),,Head,
BAG,BAGL,Glutamate (Glu),,Head,
BAG,BAGR,Glutamate (Glu),,Head,
BDU,BDUL,Unknown,,Body wall,
BDU,BDUR,Unknown,,Body wall,
CAN,CANL,unknown monamine* ,,Body wall,WA: unknown function; P16: * expresses cat-1 / VMAT
CAN,CANR,unknown monamine* ,,Body wall,WA: unknown function; P16: * expresses cat-1 / VMAT
CEP,CEPDL,Dopamine (DA),,Head,
CEP,CEPDR,Dopamine (DA),,Head,
CEP,CEPVL,Dopamine (DA),,Head,
CEP,CEPVR,Dopamine (DA),,Head,
DA,DA1,Acetylcholine (ACh),,Head - RVG,
DA,DA2,Acetylcholine (ACh),,VNC,
DA,DA3,Acetylcholine (ACh),,VNC,
DA,DA4,Acetylcholine (ACh),,VNC,
DA,DA5,Acetylcholine (ACh),,VNC,
DA,DA6,Acetylcholine (ACh),,VNC,
DA,DA7,Acetylcholine (ACh),,VNC,
DA,DA8,Acetylcholine (ACh),,Tail - PAG,
DA,DA9,Acetylcholine (ACh),,Tail - PAG,
DB,DB1,Acetylcholine (ACh),,Head - RVG,WA: also proprioceptive sensory function
DB,DB2,Acetylcholine (ACh),,Head - RVG,
DB,DB3,Acetylcholine (ACh),,VNC,
DB,DB4,Acetylcholine (ACh),,VNC,
DB,DB5,Acetylcholine (ACh),,VNC,
DB,DB6,Acetylcholine (ACh),,VNC,
DB,DB7,Acetylcholine (ACh),,VNC,
DD,DD1,GABA,,Head - RVG,
DD,DD2,GABA,,VNC,
DD,DD3,GABA,,VNC,
DD,DD4,GABA,,VNC,
DD,DD5,GABA,,VNC,
DD,DD6,GABA,,Tail - PAG,
DVA,DVA,Acetylcholine (ACh),,Tail - PAG,Neuron Class - Lavender - Polymodal (at least 2: sensory-motor-interneuron)
DVB,DVB,GABA,,Tail - Dorsorectal G,
DVC,DVC,Glutamate (Glu),,Tail - Dorsorectal G,
FLP,FLPL,Glutamate (Glu),,Head,
FLP,FLPR,Glutamate (Glu),,Head,
HSN,HSNL,Acetylcholine (ACh),Serotonin / 5HT,Body wall,
HSN,HSNR,Acetylcholine (ACh),Serotonin / 5HT,Body wall,
I1,I1L,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron; P16: all pharyngeal neurons may be polymodal
I1,I1R,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron; WA: may be also sensory
I2,I2L,Glutamate (Glu),,Pharynx,Pharyngeal neuron
I2,I2R,Glutamate (Glu),,Pharynx,Pharyngeal neuron
I3,I3,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron; WA: may be also sensory
I4,I4,Unknown,,Pharynx,Pharyngeal neuron
I5,I5,Glutamate (Glu),Serotonin / 5HT?? (weak/variable),Pharynx,Pharyngeal neuron; WA: may be also sensory
I6,I6,Unknown,,Pharynx,Pharyngeal neuron; WA: may be also sensory
IL1,IL1DL,Glutamate (Glu),,Head,WA: polymodal; P16: also clearly a motor neuron
IL1,IL1DR,Glutamate (Glu),,Head,
IL1,IL1L,Glutamate (Glu),,Head,
IL1,IL1R,Glutamate (Glu),,Head,
IL1,IL1VL,Glutamate (Glu),,Head,
IL1,IL1VR,Glutamate (Glu),,Head,
IL2,IL2DL,Acetylcholine (ACh),,Head,P16: also clearly a motor neuron
IL2,IL2DR,Acetylcholine (ACh),,Head,
IL2,IL2L,Acetylcholine (ACh),,Head,
IL2,IL2R,Acetylcholine (ACh),,Head,
IL2,IL2VL,Acetylcholine (ACh),,Head,
IL2,IL2VR,Acetylcholine (ACh),,Head,
LUA,LUAL,Glutamate (Glu),,Tail - Lumbar G,
LUA,LUAR,Glutamate (Glu),,Tail - Lumbar G,
M1,M1,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron
M2,M2L,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron
M2,M2R,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron
M3,M3L,Glutamate (Glu),,Pharynx,Pharyngeal neuron
M3,M3R,Glutamate (Glu),,Pharynx,Pharyngeal neuron
M4,M4,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron
M5,M5,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron
MC,MCL,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron
MC,MCR,Acetylcholine (ACh),,Pharynx,Pharyngeal neuron
MI,MI,Glutamate (Glu),,Pharynx,Pharyngeal neuron
NSM,NSML,Serotonin / 5HT, ,Pharynx,Pharyngeal neuron
NSM,NSMR,Serotonin / 5HT,,Pharynx,Pharyngeal neuron
OLL,OLLL,Glutamate (Glu),,Head,
OLL,OLLR,Glutamate (Glu),,Head,
OLQ,OLQDL,Glutamate (Glu),,Head,
OLQ,OLQDR,Glutamate (Glu),,Head,
OLQ,OLQVL,Glutamate (Glu),,Head,
OLQ,OLQVR,Glutamate (Glu),,Head,
PDA,PDA,Acetylcholine (ACh),,Tail - PAG,
PDB,PDB,Acetylcholine (ACh),,Tail - PAG,
PDE,PDEL,Dopamine (DA),,Body wall,
PDE,PDER,Dopamine (DA),,Body wall,
PHA,PHAL,Glutamate (Glu),,Tail - Lumbar G,
PHA,PHAR,Glutamate (Glu),,Tail - Lumbar G,
PHB,PHBL,Glutamate (Glu),Serotonin / 5HT?? (weak/variable),Tail - Lumbar G,
PHB,PHBR,Glutamate (Glu),Serotonin / 5HT?? (weak/variable),Tail - Lumbar G,
PHC,PHCL,,,Tail - Lumbar G,
PHC,PHCR,,,Tail - Lumbar G,
PLM,PLML,Glutamate (Glu),,Tail - Lumbar G,
PLM,PLMR,Glutamate (Glu),,Tail - Lumbar G,
PLN,PLNL,Acetylcholine (ACh),,Tail,
PLN,PLNR,Acetylcholine (ACh),,Tail,
PQR,PQR,Glutamate (Glu),,Tail - Lumbar G,
PVC,PVCL,Acetylcholine (ACh),,Tail,
PVC,PVCR,Acetylcholine (ACh),,Tail,
PVD,PVDL,Glutamate (Glu),,Body wall,
PVD,PVDR,Glutamate (Glu),,Body wall,
PVM,PVM,Unknown,,Body wall,
PVN,PVNL,"ACh (unc-17, no cho-1)",Glutamate (Glu) (adult male-specific),Tail,"P16: only very few minor NMJs, more prominent neuron-neuron synapses"
PVN,PVNR,"ACh (unc-17, no cho-1)",Glutamate (Glu) (adult male-specific),Tail,
PVP,PVPL,Acetylcholine (ACh),,Tail - PAG,"Same cell by lineage as PVU in male, hermaphrodite-specific name of cell"
PVP,PVPR,Acetylcholine (ACh),,Tail - PAG,"Same cell by lineage as PVS in male, hermaphrodite-specific name of cell"
PVQ,PVQL,Glutamate (Glu),,Tail - Lumbar G,
PVQ,PVQR,Glutamate (Glu),,Tail - Lumbar G,
PVR,PVR,Glutamate (Glu),,Tail - Lumbar G,
PVT,PVT,Unknown,,Tail - PAG,
PVW,PVWL,Unknown,,Tail - Lumbar G,
PVW,PVWR,Unknown,,Tail - Lumbar G,
RIA,RIAL,Glutamate (Glu),,Tail - PAG,
RIA,RIAR,Glutamate (Glu),,Head,
RIB,RIBL,Acetylcholine (ACh),,Head,
RIB,RIBR,Acetylcholine (ACh),,Head,
RIC,RICL,Octopamine (OA),,Head,
RIC,RICR,Octopamine (OA),,Head,
RID,RID,Unknown,,Head,
RIF,RIFL,Acetylcholine (ACh),,Head - RVG,
RIF,RIFR,Acetylcholine (ACh),,Head - RVG,
RIG,RIGL,Glutamate (Glu),,Head - RVG,
RIG,RIGR,Glutamate (Glu),,Head - RVG,
RIH,RIH,Acetylcholine (ACh),Serotonin/5HT,Head,
RIM,RIML,Tyramine (TA),Glu,Head,
RIM,RIMR,Tyramine (TA),Glu,Head,
RIP,RIPL,Unknown,,Head,
RIP,RIPR,Unknown,,Head,
RIR,RIR,Acetylcholine (ACh),,Head,
RIS,RIS,GABA,,Head,
RIV,RIVL,Acetylcholine (ACh),,Head,"P16: only very few minor NMJs, more prominent neuron-neuron synapses"
RIV,RIVR,Acetylcholine (ACh),,Head,
RMD,RMDDL,Acetylcholine (ACh),,Head,
RMD,RMDDR,Acetylcholine (ACh),,Head,
RMD,RMDL,Acetylcholine (ACh),,Head,
RMD,RMDR,Acetylcholine (ACh),,Head,
RMD,RMDVL,Acetylcholine (ACh),,Head,
RMD,RMDVR,Acetylcholine (ACh),,Head,
RME,RMED,GABA,,Head,
RME,RMEL,GABA,,Head,
RME,RMER,GABA,,Head,
RME,RMEV,GABA,,Head,
RMF,RMFL,Acetylcholine (ACh),,Head,
RMF,RMFR,Acetylcholine (ACh),,Head,
RMG,RMGL,Unknown,,Head,
RMG,RMGR,Unknown,,Head,
RMH,RMHL,Acetylcholine (ACh),,Head,
RMH,RMHR,Acetylcholine (ACh),,Head,
SAA,SAADL,Acetylcholine (ACh),,Head,
SAA,SAADR,Acetylcholine (ACh),,Head,
SAA,SAAVL,Acetylcholine (ACh),,Head,
SAA,SAAVR,Acetylcholine (ACh),,Head,
SAB,SABD,Acetylcholine (ACh),,Head,P16: clearly makes neuromuscular junctions
SAB,SABVL,Acetylcholine (ACh),,Head,
SAB,SABVR,Acetylcholine (ACh),,Head,
SDQ,SDQL,Acetylcholine (ACh),,Body wall,WA: minor oxygen-sensory
SDQ,SDQR,Acetylcholine (ACh),,Body wall,
SIA,SIADL,Acetylcholine (ACh),,Head,P16: clearly makes neuromuscular junctions
SIA,SIADR,Acetylcholine (ACh),,Head,
SIA,SIAVL,Acetylcholine (ACh),,Head,
SIA,SIAVR,Acetylcholine (ACh),,Head,
SIB,SIBDL,Acetylcholine (ACh),,Head,"P16: sensory, clearly makes neuromuscular junctions"
SIB,SIBDR,Acetylcholine (ACh),,Head,
SIB,SIBVL,Acetylcholine (ACh),,Head,
SIB,SIBVR,Acetylcholine (ACh),,Head,
SMB,SMBDL,Acetylcholine (ACh),,Head,
SMB,SMBDR,Acetylcholine (ACh),,Head,
SMB,SMBVL,Acetylcholine (ACh),,Head,
SMB,SMBVR,Acetylcholine (ACh),,Head,
SMD,SMDDL,Acetylcholine (ACh),,Head,
SMD,SMDDR,Acetylcholine (ACh),,Head,
SMD,SMDVL,Acetylcholine (ACh),,Head,
SMD,SMDVR,Acetylcholine (ACh),,Head,
URA,URADL,Acetylcholine (ACh),,Head,"P16: sensory, also clearly a motor neuron"
URA,URADR,Acetylcholine (ACh),,Head,
URA,URAVL,Acetylcholine (ACh),,Head,
URA,URAVR,Acetylcholine (ACh),,Head,
URB,URBL,Acetylcholine (ACh),,Head,
URB,URBR,Acetylcholine (ACh),,Head,
URX,URXL,Acetylcholine (ACh),Serotonin / 5HT?? (weak/variable),Head,
URX,URXR,Acetylcholine (ACh),Serotonin / 5HT?? (weak/variable),Head,
URY,URYDL,Glutamate (Glu),,Head,
URY,URYDR,Glutamate (Glu),,Head,
URY,URYVL,Glutamate (Glu),,Head,
URY,URYVR,Glutamate (Glu),,Head,
VA,VA1,Acetylcholine (ACh),,Head - RVG,
VA,VA2,Acetylcholine (ACh),,VNC,
VA,VA3,Acetylcholine (ACh),,VNC,
VA,VA4,Acetylcholine (ACh),,VNC,
VA,VA5,Acetylcholine (ACh),,VNC,
VA,VA6,Acetylcholine (ACh),,VNC,
VA,VA7,Acetylcholine (ACh),,VNC,
VA,VA8,Acetylcholine (ACh),,VNC,
VA,VA9,Acetylcholine (ACh),,VNC,
VA,VA10,Acetylcholine (ACh),,VNC,
VA,VA11,Acetylcholine (ACh),,VNC,
VA,VA12,Acetylcholine (ACh),,Tail - PAG,
VB,VB1,Acetylcholine (ACh),,Head - RVG,Also proprioceptive sensory neuron
VB,VB2,Acetylcholine (ACh),,Head - RVG,
VB,VB3,Acetylcholine (ACh),,VNC,
VB,VB4,Acetylcholine (ACh),,VNC,
VB,VB5,Acetylcholine (ACh),,VNC,
VB,VB6,Acetylcholine (ACh),,VNC,
VB,VB7,Acetylcholine (ACh),,VNC,
VB,VB8,Acetylcholine (ACh),,VNC,
VB,VB9,Acetylcholine (ACh),,VNC,
VB,VB10,Acetylcholine (ACh),,VNC,
VB,VB11,Acetylcholine (ACh),,VNC,
VC,VC1,Acetylcholine (ACh),,VNC,
VC,VC2,Acetylcholine (ACh),,VNC,
VC,VC3,Acetylcholine (ACh),,VNC,
VC,VC4,Acetylcholine (ACh),Serotonin / 5HT (weak/variable),VNC,
VC,VC5,Acetylcholine (ACh),Serotonin / 5HT (weak/variable),VNC,
VC,VC6,Acetylcholine (ACh),,VNC,
VD,VD1,GABA,,Head - RVG,
VD,VD2,GABA,,Head - RVG,
VD,VD3,GABA,,VNC,
VD,VD4,GABA,,VNC,
VD,VD5,GABA,,VNC,
VD,VD6,GABA,,VNC,
VD,VD7,GABA,,VNC,
VD,VD8,GABA,,VNC,
VD,VD9,GABA,,VNC,
VD,VD10,GABA,,VNC,
VD,VD11,GABA,,VNC,
VD,VD12,GABA,,Tail - PAG,
VD,VD13,GABA,,Tail - PAG,
