,community
AINL,0
AINR,1
ASIR,2
ASJR,3
PVT,4
RIAR,5
RIH,6
RIMR,7
SMBVR,8
ADER,9
ASIL,10
BDUR,11
DVC,12
AVFR,13
CEPVR,14
URYVR,15
ADLR,16
RMFL,17
AIBR,18
AVAR,19
AIBL,20
AIYR,21
AUAR,22
URXR,23
AFDR,24
BAGL,25
ASEL,26
RID,27
RIML,28
AVHR,29
CEPVL,30
ASKR,31
AWCR,32
ASGR,33
BAGR,34
ASJL,35
URBL,36
BDUL,37
IL2DL,38
PVQL,39
AWCL,40
RIS,41
RIVR,42
URYVL,43
RIFL,44
ASGL,45
IL2DR,46
SMBDL,47
IL1R,48
IL2VR,49
RMDL,50
RMDR,51
RMDVL,52
RMDVR,53
SMBVL,54
SMDDL,55
SMDDR,56
SMDVL,57
SMDVR,58
RIVL,59
RICR,60
ALNR,61
CEPDR,62
RMFR,63
CEPDL,64
ASHR,65
AIYL,66
AWBR,67
SIADL,68
SIBDL,69
DVA,70
SAAVL,71
SIAVL,72
PVPR,73
URYDL,74
AVBR,75
OLLL,76
AVAL,77
AVDR,78
AVEL,79
AVER,80
SIBVL,81
URYDR,82
AVBL,83
AVDL,84
OLLR,85
OLQVR,86
OLQDR,87
SIBDR,88
RICL,89
ADAR,90
AVKR,91
SAADR,92
AVKL,93
SAADL,94
SAAVR,95
HSNL,96
HSNR,97
URAVR,98
URBR,99
AVHL,100
AWAR,101
RMGR,102
RMHL,103
RMHR,104
ADAL,105
ADFL,106
URXL,107
AWAL,108
AVFL,109
PVPL,110
PLNL,111
FLPR,112
FLPL,113
AVJL,114
PVCR,115
PVCL,116
AVJR,117
IL1L,118
RMEV,119
URAVL,120
IL2L,121
OLQVL,122
URADR,123
IL1DL,124
SMBDR,125
URADL,126
ALA,127
AVL,128
PVQR,129
ASKL,130
AFDL,131
AUAL,132
AIML,133
ALML,134
ADLL,135
ADFR,136
RIAL,137
SIADR,138
IL2VL,139
SIBVR,140
OLQDL,141
RIFR,142
PVR,143
ALMR,144
SIAVR,145
AWBL,146
IL2R,147
AVM,148
I1L ,149
 I3            ,150
 I5            ,151
 I6            ,152
 M2L           ,153
 M3L           ,154
 M3R           ,155
 MCR           ,156
 MI            ,157
 NSML          ,158
I5 ,159
I6 ,160
M1 ,161
 I2L         ,162
 M3L         ,163
 NSML        ,164
 RIPL        ,165
I1R ,166
M2L ,167
MI ,168
I2L ,169
I3 ,170
I4 ,171
M2R ,172
NSML ,173
M3L ,173
ADFL ,174
IL1L ,175
RIPL ,176
RIPR ,177
RMED ,178
URAVL ,179
 I2R           ,180
 M1            ,181
 M2R           ,182
