hub_def,hub,control
degree,0, AIBL          
degree,0, HSNL        
degree,0,AVDR
degree,AINL;CEPshVL;RIAR;AIBR;AUAR;ASEL;RIVR;RMFR;ASHR;AVBR;AVAL;AVEL;AVER;AVBL;AVKR;RMHL;SMBDR;RIAL;RIGR;AIAR;ASER;RIGL;RMGL;AIZL;AIZR;AQR;SDQR;SDQL;RIR;ADEL;AIAL, PVQR          
degree,AINL;CEPshVL;RIAR;AIBR;AUAR;ASEL;RIVR;RMFR;ASHR;AVBR;AVAL;AVEL;AVER;AVBL;AVKR;RMHL;SMBDR;RIAL;RIGR;AIAR;ASER;RIGL;RMGL;AIZL;AIZR;AQR;SDQR;SDQL;RIR;ADEL;AIAL,ASHR
degree,AINL;CEPshVL;RIAR;AIBR;AUAR;ASEL;RIVR;RMFR;ASHR;AVBR;AVAL;AVEL;AVER;AVBL;AVKR;RMHL;SMBDR;RIAL;RIGR;AIAR;ASER;RIGL;RMGL;AIZL;AIZR;AQR;SDQR;SDQL;RIR;ADEL;AIAL, RMDVR         
degree,AINR;CEPshVR;CEPshVL;ASIR;CEPshDR;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;DVC;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AIBR;AIYR;AUAR;URXR;AFDR;BAGL;RIML;AVHR;CEPVL;ASKR;AWCR;ASJL;URBL;BDUL;IL2DL;AWCL;RIS;RIVR;URYVL;IL2DR;SMBDL;IL1R;IL2VR;GLRVL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIADL;DVA;SAAVL;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;URYDR;AVBL;AVDL;OLLR;OLQVR;OLQDR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;HSNR;URAVR;URBR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AVFL;PVPL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;RMEV;URAVL;IL2L;OLQVL;URADR;IL1DL;BWM-DL03;SMBDR;URADL;BWM-DL01;BWM-DR01;AVL;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;BWM-DR02;BWM-VR02;ADFR;RIAL;SIADR;IL2VL;SIBVR;OLQDL;BWM-VL04;BWM-DL04;BWM-DL06;RIFR;BWM-DR04;PVR;ALMR;SIAVR;PVNR;AWBL;IL2R;GLRR;BWM-VR06;BWM-VR07;BWM-DR08;BWM-VL02;BWM-VL07;BWM-DL05;BWM-DL08;BWM-DL07;BWM-VL01;BWM-DR07;RIBL;RIBR;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RIPR;SDQR;SDQL;RMER;IL1VL;RIPL;ADEL;AIAL;AIMR;RMEL;IL1DR;BWM-VR03,PLNL
degree,AINR;CEPshVR;CEPshVL;ASIR;CEPshDR;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;DVC;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AIBR;AIYR;AUAR;URXR;AFDR;BAGL;RIML;AVHR;CEPVL;ASKR;AWCR;ASJL;URBL;BDUL;IL2DL;AWCL;RIS;RIVR;URYVL;IL2DR;SMBDL;IL1R;IL2VR;GLRVL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIADL;DVA;SAAVL;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;URYDR;AVBL;AVDL;OLLR;OLQVR;OLQDR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;HSNR;URAVR;URBR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AVFL;PVPL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;RMEV;URAVL;IL2L;OLQVL;URADR;IL1DL;BWM-DL03;SMBDR;URADL;BWM-DL01;BWM-DR01;AVL;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;BWM-DR02;BWM-VR02;ADFR;RIAL;SIADR;IL2VL;SIBVR;OLQDL;BWM-VL04;BWM-DL04;BWM-DL06;RIFR;BWM-DR04;PVR;ALMR;SIAVR;PVNR;AWBL;IL2R;GLRR;BWM-VR06;BWM-VR07;BWM-DR08;BWM-VL02;BWM-VL07;BWM-DL05;BWM-DL08;BWM-DL07;BWM-VL01;BWM-DR07;RIBL;RIBR;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RIPR;SDQR;SDQL;RMER;IL1VL;RIPL;ADEL;AIAL;AIMR;RMEL;IL1DR;BWM-VR03,PLNR
degree,AINR;CEPshVR;CEPshVL;ASIR;CEPshDR;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;DVC;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AIBR;AIYR;AUAR;URXR;AFDR;BAGL;RIML;AVHR;CEPVL;ASKR;AWCR;ASJL;URBL;BDUL;IL2DL;AWCL;RIS;RIVR;URYVL;IL2DR;SMBDL;IL1R;IL2VR;GLRVL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIADL;DVA;SAAVL;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;URYDR;AVBL;AVDL;OLLR;OLQVR;OLQDR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;HSNR;URAVR;URBR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AVFL;PVPL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;RMEV;URAVL;IL2L;OLQVL;URADR;IL1DL;BWM-DL03;SMBDR;URADL;BWM-DL01;BWM-DR01;AVL;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;BWM-DR02;BWM-VR02;ADFR;RIAL;SIADR;IL2VL;SIBVR;OLQDL;BWM-VL04;BWM-DL04;BWM-DL06;RIFR;BWM-DR04;PVR;ALMR;SIAVR;PVNR;AWBL;IL2R;GLRR;BWM-VR06;BWM-VR07;BWM-DR08;BWM-VL02;BWM-VL07;BWM-DL05;BWM-DL08;BWM-DL07;BWM-VL01;BWM-DR07;RIBL;RIBR;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RIPR;SDQR;SDQL;RMER;IL1VL;RIPL;ADEL;AIAL;AIMR;RMEL;IL1DR;BWM-VR03,URADL 
degree,AINR;CEPshVR;CEPshVL;CEPshDR;ASJR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;DVC;AVFR;URYVR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RIML;AVHR;CEPVL;AWCR;ASGR;BAGR;ASJL;URBL;BDUL;IL2DL;PVQL;RIS;RIVR;URYVL;RIFL;ASGL;IL2DR;SMBDL;IL1R;BWM-VR01;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;DVA;SAAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLQVR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;HSNR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;FLPR;FLPL;PVCL;AVJR;IL1L;RMEV;URAVL;IL2L;OLQVL;IL1DL;BWM-DL03;SMBDR;URADL;BWM-DL01;ALA;AVL;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;BWM-VR02;ADFR;RIAL;IL2VL;SIBVR;OLQDL;BWM-VL04;BWM-DL04;BWM-DL06;RIFR;PVR;SIAVR;PVNR;AWBL;IL2R;GLRR;AVM;BWM-VL05;BWM-VL02;BWM-VL03;BWM-DL05;BWM-VL01;PLNR;ALNL;RIBR;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;RIPR;SDQR;SDQL;RMER;IL1VL;RIR;ADEL;AIAL;AIMR;RMEL;CANR;BWM-VR03, I3            
