,MotifCount,Community,Type
RIH,215,2,Unknown
RIMR,189,2,Unknown
AIBR,216,2,Unknown
RIML,172,2,Unknown
BAGR,177,2,Unknown
RMFR,197,2,Unknown
ASHR,174,2,Sensory
AIYL,182,2,Unknown
DVA,183,2,Unknown
AVEL,185,2,Interneuron
AVKR,176,2,Unknown
HSNL,200,2,Unknown
ADFL,172,2,Unknown
RIAL,183,2,Unknown
AWBL,192,2,Unknown
RIBR,175,1,Interneuron
RIGR,262,1,Unknown
ASER,192,1,Sensory
RIGL,275,1,Unknown
RMDDL,220,1,Unknown
RMDDR,247,1,Unknown
RMGL,240,1,Unknown
AIZL,295,1,Unknown
AIZR,264,1,Unknown
AQR,244,1,Unknown
RMED,181,1,Unknown
ASHL,194,1,Sensory
SDQL,173,1,Unknown
ADEL,187,1,Unknown
AIAL,192,1,Unknown
