neuron,degree,betweenness,cycle_centrality,Type
AINL,0.0,0.0,0,Unknown
AINR,0.0,0.0,0,Unknown
ASIR,0.0,0.0,0,Unknown
ASJR,0.0,0.0,0,Unknown
PVT,0.0,0.0,0,Unknown
RIAR,0.0,0.0,0,Unknown
RIH,0.0,0.0,0,Unknown
RIMR,0.0,0.0,0,Unknown
SMBVR,0.0,0.0,0,Unknown
ADER,0.0,0.0,0,Unknown
ASIL,0.0,0.0,0,Unknown
BDUR,0.0,0.0,0,Unknown
DVC,0.0,0.0,0,Unknown
AVFR,0.0,0.0,0,Unknown
CEPVR,0.0,0.0,0,Unknown
URYVR,0.0,0.0,0,Unknown
ADLR,0.0,0.0,0,Unknown
RMFL,0.0,0.0,0,Unknown
AIBR,0.0,0.0,0,Unknown
AVAR,0.0,0.0,0,Interneuron
AIBL,0.0,0.0,0,Unknown
AIYR,0.0,0.0,0,Unknown
AUAR,0.0,0.0,0,Unknown
URXR,0.0,0.0,0,Unknown
AFDR,0.0,0.0,0,Sensory
BAGL,0.0,0.0,0,Unknown
ASEL,0.0,0.0,0,Sensory
RID,0.0,0.0,0,Unknown
RIML,0.0,0.0,0,Unknown
AVHR,0.0,0.0,0,Unknown
CEPVL,0.0,0.0,0,Unknown
ASKR,0.0,0.0,0,Unknown
AWCR,0.0,0.0,0,Sensory
ASGR,0.0,0.0,0,Unknown
BAGR,0.0,0.0,0,Unknown
ASJL,0.0,0.0,0,Unknown
URBL,0.0,0.0,0,Unknown
BDUL,0.0,0.0,0,Unknown
IL2DL,0.0,0.0,0,Unknown
PVQL,0.0,0.0,0,Unknown
AWCL,0.0,0.0,0,Sensory
RIS,0.0,0.0,0,Unknown
RIVR,0.0,0.0,0,Unknown
URYVL,0.0,0.0,0,Unknown
RIFL,0.0,0.0,0,Unknown
ASGL,0.0,0.0,0,Unknown
IL2DR,0.0,0.0,0,Unknown
SMBDL,0.0,0.0,0,Unknown
IL1R,0.0,0.0,0,Unknown
IL2VR,0.0,0.0,0,Unknown
RMDL,0.0,0.0,0,Unknown
RMDR,0.0,0.0,0,Unknown
RMDVL,0.0,0.0,0,Unknown
RMDVR,0.0,0.0,0,Unknown
SMBVL,0.0,0.0,0,Unknown
SMDDL,0.0,0.0,0,Unknown
SMDDR,0.0,0.0,0,Unknown
SMDVL,0.0,0.0,0,Unknown
SMDVR,0.0,0.0,0,Unknown
RIVL,0.0,0.0,0,Unknown
RICR,0.0,0.0,0,Unknown
ALNR,0.0,0.0,0,Unknown
CEPDR,0.0,0.0,0,Unknown
RMFR,0.0,0.0,0,Unknown
CEPDL,0.0,0.0,0,Unknown
ASHR,0.0,0.0,0,Sensory
AIYL,0.0,0.0,0,Unknown
AWBR,0.0,0.0,0,Unknown
SIADL,0.0,0.0,0,Unknown
SIBDL,0.0,0.0,0,Unknown
DVA,0.0,0.0,0,Unknown
SAAVL,0.0,0.0,0,Unknown
SIAVL,0.0,0.0,0,Unknown
PVPR,0.0,0.0,0,Unknown
URYDL,0.0,0.0,0,Unknown
AVBR,0.0,0.0,0,Interneuron
OLLL,0.0,0.0,0,Unknown
AVAL,0.0,0.0,0,Interneuron
AVDR,0.0,0.0,0,Interneuron
AVEL,0.0,0.0,0,Interneuron
AVER,0.0,0.0,0,Interneuron
SIBVL,0.0,0.0,0,Unknown
URYDR,0.0,0.0,0,Unknown
AVBL,0.0,0.0,0,Interneuron
AVDL,0.0,0.0,0,Interneuron
OLLR,0.0,0.0,0,Unknown
OLQVR,0.0,0.0,0,Unknown
OLQDR,0.0,0.0,0,Unknown
SIBDR,0.0,0.0,0,Unknown
RICL,0.0,0.0,0,Unknown
ADAR,0.0,0.0,0,Unknown
AVKR,0.0,0.0,0,Unknown
SAADR,0.0,0.0,0,Unknown
AVKL,0.0,0.0,0,Unknown
SAADL,0.0,0.0,0,Unknown
SAAVR,0.0,0.0,0,Unknown
HSNL,0.0,0.0,0,Unknown
HSNR,0.0,0.0,0,Unknown
URAVR,0.0,0.0,0,Unknown
URBR,0.0,0.0,0,Unknown
AVHL,0.0,0.0,0,Unknown
AWAR,0.0,0.0,0,Unknown
RMGR,0.0,0.0,0,Unknown
RMHL,0.0,0.0,0,Unknown
RMHR,0.0,0.0,0,Unknown
ADAL,0.0,0.0,0,Unknown
ADFL,0.0,0.0,0,Unknown
URXL,0.0,0.0,0,Unknown
AWAL,0.0,0.0,0,Unknown
AVFL,0.0,0.0,0,Unknown
PVPL,0.0,0.0,0,Unknown
PLNL,0.0,0.0,0,Unknown
FLPR,0.0,0.0,0,Unknown
FLPL,0.0,0.0,0,Unknown
AVJL,0.0,0.0,0,Unknown
PVCR,0.0,0.0,0,Interneuron
PVCL,0.0,0.0,0,Interneuron
AVJR,0.0,0.0,0,Unknown
IL1L,0.0,0.0,0,Unknown
RMEV,0.0,0.0,0,Unknown
URAVL,0.0,0.0,0,Unknown
IL2L,0.0,0.0,0,Unknown
OLQVL,0.0,0.0,0,Unknown
URADR,0.0,0.0,0,Unknown
IL1DL,0.0,0.0,0,Unknown
SMBDR,0.0,0.0,0,Unknown
URADL,0.0,0.0,0,Unknown
ALA,0.0,0.0,0,Unknown
AVL,0.0,0.0,0,Unknown
PVQR,0.0,0.0,0,Unknown
ASKL,0.0,0.0,0,Unknown
AFDL,0.0,0.0,0,Sensory
AUAL,0.0,0.0,0,Unknown
AIML,0.0,0.0,0,Unknown
ALML,0.0,0.0,0,Sensory
ADLL,0.0,0.0,0,Unknown
ADFR,0.0,0.0,0,Unknown
RIAL,0.0,0.0,0,Unknown
SIADR,0.0,0.0,0,Unknown
IL2VL,0.0,0.0,0,Unknown
SIBVR,0.0,0.0,0,Unknown
OLQDL,0.0,0.0,0,Unknown
RIFR,0.0,0.0,0,Unknown
PVR,0.0,0.0,0,Unknown
ALMR,0.0,0.0,0,Sensory
SIAVR,0.0,0.0,0,Unknown
AWBL,0.0,0.0,0,Unknown
IL2R,0.0,0.0,0,Unknown
AVM,0.0,0.0,0,Unknown
I1L ,0.0,0.0,0,Unknown
 I3            ,0.0,0.0,0,Unknown
 I5            ,0.0,0.0,0,Unknown
 I6            ,0.0,0.0,0,Unknown
 M2L           ,0.0,0.0,0,Unknown
 M3L           ,0.0,0.0,0,Unknown
 M3R           ,0.0,0.0,0,Unknown
 MCR           ,0.0,0.0,0,Unknown
 MI            ,0.0,0.0,0,Unknown
 NSML          ,0.0,0.0,0,Unknown
I5 ,0.0,0.0,0,Unknown
I6 ,0.0,0.0,0,Unknown
M1 ,0.0,0.0,0,Unknown
 I2L         ,0.0,0.0,0,Unknown
 M3L         ,0.0,0.0,0,Unknown
 NSML        ,0.0,0.0,0,Unknown
 RIPL        ,0.0,0.0,0,Unknown
I1R ,0.0,0.0,0,Unknown
M2L ,0.0,0.0,0,Unknown
MI ,0.0,0.0,0,Unknown
I2L ,0.0,0.0,0,Unknown
I3 ,0.0,0.0,0,Unknown
I4 ,0.0,0.0,0,Unknown
M2R ,0.0,0.0,0,Unknown
NSML ,221.0,0.0,0,Unknown
M3L ,221.0,0.0,0,Unknown
ADFL ,0.0,0.0,0,Unknown
IL1L ,0.0,0.0,0,Unknown
RIPL ,0.0,0.0,0,Unknown
RIPR ,0.0,0.0,0,Unknown
RMED ,0.0,0.0,0,Unknown
URAVL ,0.0,0.0,0,Unknown
 I2R           ,0.0,0.0,0,Unknown
 M1            ,0.0,0.0,0,Unknown
 M2R           ,0.0,0.0,0,Unknown
 NSMR          ,0.0,0.0,0,Unknown
 I4            ,0.0,0.0,0,Unknown
 NSMR        ,0.0,0.0,0,Unknown
 I1R         ,0.0,0.0,0,Unknown
 M1          ,221.0,0.0,0,Unknown
 M2R         ,221.0,0.0,0,Unknown
 M2L         ,221.0,0.0,0,Unknown
 M5          ,0.0,0.0,0,Unknown
 I2R         ,0.0,0.0,0,Unknown
 I3          ,221.0,0.0,0,Unknown
 M3R         ,0.0,0.0,0,Unknown
 RIPR        ,0.0,0.0,0,Unknown
 I5          ,221.0,0.0,0,Unknown
 MCL         ,0.0,0.0,0,Unknown
 I1L         ,0.0,0.0,0,Unknown
 I4          ,221.0,0.0,0,Unknown
 MI          ,221.0,0.0,0,Unknown
 I6          ,221.0,0.0,0,Unknown
M5 ,221.0,0.0,0,Unknown
MCL ,0.0,0.0,0,Unknown
 AWBL          ,0.0,0.0,0,Unknown
 ADLL          ,0.0,0.0,0,Unknown
 AWCR          ,0.0,0.0,0,Unknown
 URXL          ,0.0,0.0,0,Unknown
 AUAL          ,0.0,0.0,0,Unknown
