Neuron,KMeansCluster
AINL,2
AINR,2
CEPshVR,0
CEPshDL,0
CEPshVL,0
ASIR,2
CEPshDR,0
ASJR,2
PVT,5
RIAR,3
RIH,3
BWM-VR04,0
RIMR,3
SMBVR,2
ADER,5
ASIL,2
BDUR,2
DVC,5
AVFR,5
CEPVR,2
URYVR,2
ADLR,2
PVNL,2
RMFL,5
AIBR,3
AVAR,5
AIBL,3
AIYR,5
AUAR,2
URXR,2
AFDR,2
BAGL,2
ASEL,2
RID,0
RIML,3
AVHR,5
CEPVL,5
ASKR,2
AWCR,5
ASGR,0
BAGR,5
ASJL,2
URBL,5
BDUL,5
IL2DL,0
PVQL,2
AWCL,5
RIS,3
RIVR,5
URYVL,2
RIFL,5
ASGL,2
IL2DR,2
SMBDL,2
IL1R,2
BWM-VR01,0
IL2VR,2
GLRVL,0
RMDL,3
RMDR,3
RMDVL,5
RMDVR,5
SMBVL,2
SMDDL,5
SMDDR,5
SMDVL,5
SMDVR,5
RIVL,2
RICR,5
ALNR,2
CEPDR,2
RMFR,5
CEPDL,5
ASHR,5
AIYL,5
AWBR,5
SIADL,0
SIBDL,0
DVA,3
SAAVL,2
SIAVL,2
PVPR,2
URYDL,2
AVBR,5
OLLL,5
AVAL,5
AVDR,2
AVEL,3
AVER,5
SIBVL,2
URYDR,2
AVBL,5
AVDL,2
OLLR,2
OLQVR,2
OLQDR,2
SIBDR,2
RICL,5
BWM-VL06,0
ADAR,5
AVKR,5
SAADR,2
AVKL,3
SAADL,2
SAAVR,2
HSNL,5
HSNR,5
URAVR,2
URBR,2
AVHL,2
AWAR,5
RMGR,5
RMHL,2
RMHR,2
ADAL,5
ADFL,5
URXL,5
AWAL,5
AVFL,2
PVPL,5
PLNL,2
FLPR,2
FLPL,2
AVJL,5
PVCR,2
PVCL,2
AVJR,2
IL1L,2
GLRL,0
GLRDR,0
GLRVR,0
RMEV,2
URAVL,2
IL2L,2
OLQVL,2
URADR,0
IL1DL,2
BWM-DL02,0
BWM-DL03,0
SMBDR,2
URADL,2
BWM-DL01,0
BWM-DR01,0
BWM-DR03,0
ALA,2
AVL,0
PVQR,2
ASKL,2
AFDL,2
AUAL,2
AIML,2
ALML,2
ADLL,5
BWM-DR02,0
BWM-VR02,0
ADFR,2
RIAL,3
SIADR,0
IL2VL,2
