,neuron,clustering_impact,centrality_impact,motif_impact,type,symbolic_role,total_impact
1519,SIAVL,9.986817845099305e-05,0.00033558634954222695,0.936417183858642,Unknown,Unknown ❓,0.9368526383866352
661,SAADR ,2.3044086749746118e-05,3.913166471510099e-05,0.9268802660997911,Unknown,Unknown ❓,0.926942441851256
1448,RIPR,5.286987484253575e-05,0.0003584184279415317,0.9198396768125955,Unknown,Unknown ❓,0.9202509651153795
1484,AFDL,0.0001874389193550277,0.00031624200949373853,0.9153497361547428,Sensory,Unknown ❓,0.9158534170835916
411,ALNL ,2.3044086749746118e-05,3.913166471510099e-05,0.9135410548829744,Unknown,Unknown ❓,0.9136032306344393
44,BWM-VR04,8.929225572047034e-05,0.0008482869488815575,0.907638306148101,Unknown,Unknown ❓,0.9085758853527031
602, VD05          ,2.3044086749746118e-05,3.913166471510099e-05,0.8978307064020706,Unknown,Unknown ❓,0.8978928821535355
1070, PVDL        ,2.3044086749746118e-05,3.913166471510099e-05,0.8952345544102324,Unknown,Unknown ❓,0.8952967301616972
494, VB02          ,2.3044086749746118e-05,3.913166471510099e-05,0.8890413189919096,Unknown,Unknown ❓,0.8891034947433745
717, DB06          ,2.3044086749746118e-05,3.913166471510099e-05,0.8874388738120539,Unknown,Unknown ❓,0.8875010495635187
82,BWM-DR06,0.0001848775352150181,0.00029754662798776383,0.886255755388485,Unknown,Unknown ❓,0.8867381795516878
658,URAVL ,2.3044086749746118e-05,3.913166471510099e-05,0.8840165433728467,Unknown,Unknown ❓,0.8840787191243116
68,GLRDL,8.548117023803731e-05,0.00041196890650049974,0.8834540085537886,Unknown,Glia ⚙️,0.8839514586305272
1041, SMDVL       ,2.3044086749746118e-05,3.913166471510099e-05,0.875996786049844,Unknown,Motor 🦴,0.8760589618013088
656,URADL ,2.3044086749746118e-05,3.913166471510099e-05,0.8745399999983571,Unknown,Olfactory 🌬,0.8746021757498219
1211,dBWML9 ,2.3044086749746118e-05,3.913166471510099e-05,0.8742667497855336,Unknown,Unknown ❓,0.8743289255369985
984, IL1DL       ,2.3044086749746118e-05,3.913166471510099e-05,0.872661689070848,Unknown,Unknown ❓,0.8727238648223128
95,DVC,0.00020577622430471842,0.0003252967674574692,0.8698197051176066,Unknown,Unknown ❓,0.8703507781093688
870, pm1d        ,2.3044086749746118e-05,3.913166471510099e-05,0.8692521417412232,Unknown,Unknown ❓,0.8693143174926881
1307, vBWML10     ,2.3044086749746118e-05,3.913166471510099e-05,0.8691621866505178,Unknown,Unknown ❓,0.8692243624019826
896, mc3dr       ,2.3044086749746118e-05,3.913166471510099e-05,0.8672953522472729,Unknown,Unknown ❓,0.8673575279987378
