Neuron,RichClubScore
AINL,0.07750799924712969
CEPshVR,0.07750799924712969
AINR,0.08755221386800334
CEPshDL,0.04515326320551974
ALA,0.042195446898308876
CEPshVL,0.07077517077517077
ASIR,0.042195446898308876
CEPshDR,0.039609105233162356
ASJL,0.03627713351174547
ASJR,0.03627713351174547
AVL,0.031578231932702816
GLRL,0.02357081143350853
RMEL,0.09238572162300976
GLRR,0.028940798159501183
RMER,0.0983661499790532
IL1DL,0.05311537314916029
BWM-DL01,0.031578231932702816
BWM-DL02,0.031578231932702816
IL1DR,0.05729378301503454
BWM-DR01,0.031578231932702816
BWM-DR02,0.04515326320551974
GLRDR,0.019906331230175545
IL1L,0.10513874614594039
BWM-VL02,0.033730412098436614
IL1R,0.0983661499790532
BWM-VR02,0.031578231932702816
IL1VL,0.06139031671567417
BWM-VL01,0.031578231932702816
IL1VR,0.05311537314916029
BWM-VR01,0.033730412098436614
IL2DR,0.05729378301503454
IL2VR,0.05013477088948787
GLRVR,0.019906331230175545
PVQR,0.048214938149172715
PVT,0.0983661499790532
RIAR,0.22058823529411764
GLRVL,0.02516886485758081
RICL,0.1560021152829191
excgl,0.009254940668590146
RIGR,0.1560021152829191
RIH,0.3
RIML,0.21666666666666667
BWM-VR04,0.05013477088948787
RIMR,0.17613636363636365
BWM-VL04,0.039609105233162356
RIR,0.11632623497030277
RIVR,0.15031055900621118
RMDDL,0.17647058823529413
BWM-DR03,0.026940388039399982
BWM-DR04,0.042195446898308876
RMDDR,0.17613636363636365
BWM-DL03,0.028940798159501183
BWM-DL04,0.033730412098436614
RMDL,0.1744186046511628
RMDR,0.1744186046511628
BWM-DL06,0.02357081143350853
RMDVL,0.17613636363636365
BWM-VR03,0.028940798159501183
RMDVR,0.14627477785372522
BWM-VL03,0.031578231932702816
RMED,0.1290909090909091
RMEV,0.13886982383893845
SMBDL,0.17647058823529413
BWM-DL05,0.02357081143350853
BWM-DR05,0.026940388039399982
BWM-DR08,0.01790846958052679
GLRDL,0.019906331230175545
SMBDR,0.1560021152829191
SMBVL,0.1408491107286288
SMBVR,0.1290909090909091
SMDDL,0.1408491107286288
SMDDR,0.1408491107286288
SMDVL,0.14627477785372522
SMDVR,0.1290909090909091
URADL,0.03627713351174547
URADR,0.042195446898308876
URAVL,0.04515326320551974
URAVR,0.048214938149172715
URBL,0.1408491107286288
URBR,0.08068974595234961
BWM-DR06,0.02516886485758081
URYVL,0.08755221386800334
ADEL,0.17613636363636365
ADER,0.2
ADLL,0.10936431989063568
AIML,0.0983661499790532
AIMR,0.0983661499790532
CANR,0.012451843698403962
ALML,0.05013477088948787
ASIL,0.06139031671567417
BDUL,0.10936431989063568
BDUR,0.048214938149172715
DVC,0.11632623497030277
IL2DL,0.06583902553047814
IL2VL,0.04515326320551974
PVQL,0.06139031671567417
BWM-VR08,0.015998549744934695
BWM-VL06,0.02172995614690394
RIVL,0.11904761904761904
BWM-VR05,0.02172995614690394
BWM-VR06,0.02172995614690394
BWM-VR07,0.015998549744934695
BWM-VL05,0.02516886485758081
BWM-VL07,0.01790846958052679
BWM-VL08,0.014088048133441992
BWM-DL07,0.019906331230175545
RMGL,0.14285714285714285
BWM-DL08,0.015998549744934695
RMGR,0.17195767195767195
RMHL,0.07750799924712969
RMHR,0.0983661499790532
BWM-DR07,0.01790846958052679
URYDL,0.08335724533715926
URYDR,0.05311537314916029
I1L ,0.05729378301503454
 I2L           ,0.019906331230175545
 I3            ,0.02172995614690394
 I5            ,0.026940388039399982
 I6            ,0.014088048133441992
 M2L           ,0.02172995614690394
 M3L           ,0.028940798159501183
 M3R           ,0.026940388039399982
 MCL           ,0.019906331230175545
 MCR           ,0.014088048133441992
 MI            ,0.019906331230175545
 NSML          ,0.026940388039399982
 pm1vl         ,0.009254940668590146
 pm3vl         ,0.014088048133441992
 pm4d          ,0.031578231932702816
 pm4vl         ,0.02172995614690394
I1R ,0.07750799924712969
 I2R           ,0.02172995614690394
 M1            ,0.019906331230175545
 M2R           ,0.014088048133441992
 NSMR          ,0.026940388039399982
 pm1vr         ,0.012451843698403962
 pm3vr         ,0.012451843698403962
 pm4vr         ,0.01790846958052679
 pm5vr         ,0.026940388039399982
I2L ,0.039609105233162356
 I1L           ,0.015998549744934695
 I4            ,0.026940388039399982
 pm5d          ,0.026940388039399982
 pm5vl         ,0.026940388039399982
I2R ,0.06139031671567417
 I1R           ,0.012451843698403962
 M4            ,0.02172995614690394
I3 ,0.05013477088948787
I4 ,0.039609105233162356
I5 ,0.048214938149172715
I6 ,0.026940388039399982
M1 ,0.03627713351174547
 pm2d          ,0.009254940668590146
M2L ,0.039609105233162356
M2R ,0.039609105233162356
M3L ,0.026940388039399982
M3R ,0.02357081143350853
M4 ,0.048214938149172715
M5 ,0.031578231932702816
 pm6d          ,0.009254940668590146
 pm6vl         ,0.009254940668590146
 pm6vr         ,0.009254940668590146
 pm7d          ,0.009254940668590146
 pm7vr         ,0.009254940668590146
MCL ,0.014088048133441992
 mc2dr         ,0.012451843698403962
 mc2v          ,0.012451843698403962
MCR ,0.02172995614690394
 mc2dl         ,0.009254940668590146
MI ,0.04515326320551974
NSML ,0.028940798159501183
NSMR ,0.039609105233162356
ADFL ,0.08755221386800334
 ADLL          ,0.02516886485758081
 AWBL          ,0.02516886485758081
 AWCR          ,0.03627713351174547
 AFDL          ,0.026940388039399982
 URXL          ,0.048214938149172715
 AUAL          ,0.02357081143350853
 AIAL          ,0.06139031671567417
 AIBL          ,0.10936431989063568
 AIBR          ,0.10513874614594039
 AIZL          ,0.06583902553047814
 ADAL          ,0.039609105233162356
 RIAL          ,0.1290909090909091
 RIBL          ,0.06583902553047814
 RIGL          ,0.05311537314916029
 RIGR          ,0.039609105233162356
 RIR           ,0.05729378301503454
 RIVL          ,0.033730412098436614
 SMBDL         ,0.042195446898308876
 SMBVL         ,0.05013477088948787
 SMDVL         ,0.08755221386800334
ADFR ,0.0983661499790532
 ADFR          ,0.042195446898308876
 ASHR          ,0.048214938149172715
 AWAR          ,0.028940798159501183
 AWBR          ,0.02357081143350853
 AFDR          ,0.02516886485758081
 OLQVR         ,0.033730412098436614
 BAGL          ,0.02516886485758081
 URXR          ,0.05729378301503454
 URYVR         ,0.02516886485758081
 AUAR          ,0.026940388039399982
 AIYR          ,0.031578231932702816
 AIZR          ,0.048214938149172715
 ADAR          ,0.042195446898308876
 RIAR          ,0.1290909090909091
 RIH           ,0.07077517077517077
 AVHL          ,0.04515326320551974
 PVPR          ,0.04515326320551974
 SMBDR         ,0.05729378301503454
 SMBVR         ,0.04515326320551974
ADLL ,0.09238572162300976
 ASEL          ,0.033730412098436614
 ASER          ,0.05729378301503454
 ASGL          ,0.02172995614690394
 ASHL          ,0.026940388039399982
 AWAL          ,0.015998549744934695
 AWCL          ,0.031578231932702816
 OLQVL         ,0.033730412098436614
 ALA           ,0.01790846958052679
 RIPL          ,0.042195446898308876
 AVJL          ,0.08068974595234961
 AVJR          ,0.08068974595234961
 AVAL          ,0.0
 AVAR          ,0.14285714285714285
 AVBL          ,0.1767881241565452
 AVDL          ,0.1408491107286288
 AVDR          ,0.17647058823529413
ADLR ,0.09238572162300976
 ADLR          ,0.048214938149172715
 OLLR          ,0.05311537314916029
 CEPVR         ,0.05311537314916029
 AIAR          ,0.03627713351174547
 RICL          ,0.04515326320551974
 RICR          ,0.05729378301503454
 RIFR          ,0.039609105233162356
 URBR          ,0.02357081143350853
 RIPR          ,0.04515326320551974
 PVCL          ,0.10936431989063568
 AVBR          ,0.1693548387096774
 SIBVL         ,0.039609105233162356
ASEL ,0.06139031671567417
 ASJL          ,0.02172995614690394
 IL2R          ,0.019906331230175545
 AIYL          ,0.031578231932702816
ASER ,0.05729378301503454
 ASKL          ,0.02516886485758081
ASGL ,0.026940388039399982
 AINR          ,0.015998549744934695
ASGR ,0.033730412098436614
ASHL ,0.08068974595234961
 ADFL          ,0.02516886485758081
 AVFL          ,0.039609105233162356
 AVHR          ,0.04515326320551974
 RIML          ,0.08068974595234961
 HSNL          ,0.042195446898308876
ASHR ,0.10513874614594039
 RMGR          ,0.03627713351174547
 AVER          ,0.1744186046511628
 HSNR          ,0.05013477088948787
ASIL ,0.05013477088948787
 RMFL          ,0.033730412098436614
 SAAVL         ,0.042195446898308876
ASIR ,0.042195446898308876
 ASGR          ,0.028940798159501183
ASJL ,0.03627713351174547
 ASJR          ,0.015998549744934695
 ASKR          ,0.019906331230175545
 CEPDL         ,0.05311537314916029
 PVQL          ,0.02516886485758081
ASJR ,0.019906331230175545
 PVQR          ,0.026940388039399982
ASKL ,0.031578231932702816
 AIML          ,0.02357081143350853
ASKR ,0.06583902553047814
 AIMR          ,0.02357081143350853
AWAL ,0.028940798159501183
AWAR ,0.04515326320551974
 ASIL          ,0.01790846958052679
AWBL ,0.05729378301503454
AWBR ,0.05729378301503454
AWCL ,0.04515326320551974
AWCR ,0.06139031671567417
 ASIR          ,0.015998549744934695
 IL2L          ,0.02516886485758081
AFDL ,0.03627713351174547
AFDR ,0.031578231932702816
IL1DL ,0.039609105233162356
 IL2DL         ,0.014088048133441992
 RMDDR         ,0.05729378301503454
 RMDVL         ,0.05311537314916029
 RMEL          ,0.031578231932702816
 URADL         ,0.01790846958052679
 SIBDL         ,0.02172995614690394
 dBWML1        ,0.02357081143350853
 dBWML2        ,0.02357081143350853
 dBWML3        ,0.02516886485758081
 dBWML6        ,0.03627713351174547
 dBWMR7        ,0.03627713351174547
IL1DR ,0.04515326320551974
 IL1DR         ,0.028940798159501183
 IL1R          ,0.033730412098436614
 IL2DR         ,0.015998549744934695
 URYDR         ,0.01790846958052679
 PVR           ,0.039609105233162356
 RMDDL         ,0.08068974595234961
 RMDVR         ,0.06583902553047814
 URADR         ,0.01790846958052679
 dBWMR1        ,0.02516886485758081
 dBWMR2        ,0.02357081143350853
 dBWMR3        ,0.028940798159501183
IL1L ,0.06583902553047814
 OLLL          ,0.028940798159501183
 RMGL          ,0.05311537314916029
 URBL          ,0.01790846958052679
 RMDL          ,0.08335724533715926
 RMDR          ,0.09238572162300976
 RMER          ,0.04515326320551974
 URAVL         ,0.02357081143350853
 dBWML4        ,0.02357081143350853
 dBWML5        ,0.033730412098436614
 vBWML1        ,0.028940798159501183
 vBWML2        ,0.026940388039399982
 vBWML4        ,0.026940388039399982
IL1R ,0.048214938149172715
 AVEL          ,0.17647058823529413
 RMHL          ,0.04515326320551974
 dBWMR4        ,0.031578231932702816
 dBWMR5        ,0.031578231932702816
 vBWMR4        ,0.026940388039399982
IL1VL ,0.042195446898308876
 IL1L          ,0.02516886485758081
 IL1VL         ,0.02172995614690394
 URYVL         ,0.019906331230175545
 AVL           ,0.042195446898308876
IL1VR ,0.03627713351174547
 IL2VR         ,0.01790846958052679
 URAVR         ,0.02172995614690394
 vBWMR2        ,0.02172995614690394
IL2DL ,0.039609105233162356
 IL1DL         ,0.019906331230175545
 OLQDL         ,0.01790846958052679
 RMED          ,0.039609105233162356
 RMEV          ,0.048214938149172715
IL2DR ,0.03627713351174547
 OLQDR         ,0.026940388039399982
 CEPDR         ,0.028940798159501183
IL2L ,0.05729378301503454
 ADEL          ,0.019906331230175545
IL2R ,0.048214938149172715
 ADER          ,0.028940798159501183
IL2VL ,0.033730412098436614
 BAGR          ,0.031578231932702816
 DVC           ,0.042195446898308876
IL2VR ,0.042195446898308876
 IL1VR         ,0.02357081143350853
 SIADR         ,0.03627713351174547
OLQDL ,0.042195446898308876
 URYDL         ,0.02172995614690394
OLQDR ,0.03627713351174547
 RMHR          ,0.042195446898308876
 SIBDR         ,0.031578231932702816
OLQVL ,0.031578231932702816
OLQVR ,0.03627713351174547
 SIBVR         ,0.033730412098436614
OLLL ,0.048214938149172715
 CEPVL         ,0.033730412098436614
 SMDDL         ,0.07750799924712969
 SMDDR         ,0.08335724533715926
 SMDVR         ,0.07077517077517077
OLLR ,0.07077517077517077
