Neuron,TotalStrength,AvgRelatedness,StrengthImbalance
ADAL,227.0,15.132387706855791,83.0
ADAL ,238.0,7.34375,238.0
ADAR,193.0,14.265027322404372,95.0
ADAR ,239.0,8.115384615384615,239.0
ADEL,169.0,14.639819004524888,119.0
ADEL ,265.0,7.777777777777778,265.0
ADER,199.0,14.532882882882882,145.0
ADER ,223.0,7.966666666666667,223.0
ADFL,210.0,13.721014492753623,100.0
ADFL ,317.0,7.892857142857143,317.0
ADFR,196.0,12.371794871794872,76.0
ADFR ,470.0,7.435483870967742,470.0
ADLL,241.0,14.257692307692308,175.0
ADLL ,335.0,6.913793103448276,335.0
ADLR,189.0,12.571895424836601,133.0
ADLR ,334.0,7.423076923076923,334.0
AFDL,94.0,15.158333333333335,2.0
AFDL ,144.0,7.409090909090909,144.0
AFDR,89.0,13.901515151515152,9.0
AFDR ,127.0,8.25,127.0
AIAL,421.0,14.444182389937106,141.0
AIAL ,262.0,8.09375,262.0
AIAR,427.0,13.564596273291926,187.0
AIAR ,249.0,8.25,249.0
AIBL,607.0,14.530332167832167,199.0
AIBL ,421.0,7.869565217391305,421.0
AIBR,602.0,14.326169590643275,190.0
AIBR ,357.0,6.72,357.0
AIML,151.0,14.0,115.0
AIML ,124.0,6.538461538461538,124.0
AIMR,168.0,13.601063829787234,80.0
AIMR ,150.0,6.173913043478261,150.0
AINL,138.0,15.316666666666666,118.0
AINL ,109.0,7.576923076923077,109.0
AINR,158.0,14.890243902439025,122.0
AINR ,151.0,6.852941176470588,151.0
AIYL,250.0,14.905632984901278,64.0
AIYL ,418.0,7.375,418.0
AIYR,269.0,13.52275960170697,63.0
AIYR ,431.0,7.0,431.0
AIZL,532.0,16.095897435897434,104.0
AIZL ,594.0,8.527777777777779,594.0
AIZR,501.0,14.83828899321857,85.0
AIZR ,473.0,7.541666666666667,473.0
ALA,54.0,15.747368421052633,44.0
ALA ,86.0,8.285714285714286,86.0
ALML,87.0,15.774305555555555,63.0
ALML ,233.0,6.833333333333333,233.0
ALMR,99.0,14.410714285714285,53.0
ALMR ,202.0,5.55,202.0
ALNL,47.0,15.884615384615385,29.0
ALNL ,69.0,7.1,69.0
ALNR,56.0,16.926470588235293,38.0
ALNR ,118.0,6.708333333333333,118.0
AQR,182.0,16.557608695652174,104.0
AQR ,519.0,7.630434782608695,519.0
AS01 ,297.0,8.166666666666666,297.0
AS02 ,186.0,8.8,186.0
AS03 ,138.0,7.7,138.0
AS04 ,171.0,7.625,171.0
AS05 ,96.0,7.1,96.0
AS06 ,150.0,8.25,150.0
AS07 ,90.0,7.5,90.0
AS08 ,90.0,7.5,90.0
AS09 ,90.0,7.2,90.0
