node,in,out,total
RIH,25,56,81
AIBR,46,32,78
RIML,31,45,76
DVA,23,52,75
RMGL,25,47,72
AIBL,43,27,70
RIAL,38,29,67
ADEL,16,50,66
RIMR,27,37,64
AIZL,30,34,64
ADER,12,51,63
RIAR,33,28,61
ADAL,27,34,61
AVHR,20,40,60
RIGL,21,39,60
RMGR,19,41,60
RMDL,31,29,60
RIS,27,32,59
RMDR,31,28,59
RICR,26,32,58
RICL,22,36,58
ASHL,21,36,57
RIGR,26,30,56
RIBR,25,30,55
RMDDR,33,21,54
RIR,22,31,53
AIMR,14,38,52
AVBL,52,0,52
AVFR,18,34,52
RMDDL,31,20,51
RIBL,24,27,51
SMDDR,27,23,50
CEPVL,22,28,50
ADAR,24,26,50
AIZR,24,26,50
PVCL,22,28,50
DVC,11,39,50
AVKL,16,33,49
RMFR,23,26,49
CEPDR,13,36,49
RMDVL,29,20,49
SMBDR,25,24,49
AVEL,49,0,49
ADLL,14,34,48
SMBDL,21,27,48
ASHR,16,32,48
AIAL,28,19,47
AVJL,28,19,47
ASER,26,21,47
URBL,10,37,47
