Source,Target,Type,SynapseCount,SourceFile
ADAL,ADAR,electrical,1,witvliet_2020_2.xlsx
ADAL,AIBR,chemical,1,witvliet_2020_2.xlsx
ADAL,ASHL,electrical,2,witvliet_2020_2.xlsx
ADAL,AVAR,chemical,2,witvliet_2020_2.xlsx
ADAL,AVBL,chemical,1,witvliet_2020_2.xlsx
ADAL,AVBR,chemical,2,witvliet_2020_2.xlsx
ADAL,AVDL,electrical,1,witvliet_2020_2.xlsx
ADAL,AVDR,chemical,1,witvliet_2020_2.xlsx
ADAL,AVDR,electrical,1,witvliet_2020_2.xlsx
ADAL,AVJR,chemical,1,witvliet_2020_2.xlsx
ADAL,PVPL,chemical,1,witvliet_2020_2.xlsx
ADAL,RICR,chemical,1,witvliet_2020_2.xlsx
ADAL,RID,chemical,1,witvliet_2020_2.xlsx
ADAL,RIML,chemical,2,witvliet_2020_2.xlsx
ADAL,SMDDL,chemical,1,witvliet_2020_2.xlsx
ADAR,ADFR,electrical,1,witvliet_2020_2.xlsx
ADAR,ALMR,electrical,1,witvliet_2020_2.xlsx
ADAR,ASHR,chemical,2,witvliet_2020_2.xlsx
ADAR,ASHR,electrical,1,witvliet_2020_2.xlsx
ADAR,ASKR,electrical,1,witvliet_2020_2.xlsx
ADAR,AVAL,chemical,1,witvliet_2020_2.xlsx
ADAR,AVAR,chemical,1,witvliet_2020_2.xlsx
ADAR,AVBL,chemical,2,witvliet_2020_2.xlsx
ADAR,AVBR,chemical,3,witvliet_2020_2.xlsx
ADAR,AVDL,chemical,1,witvliet_2020_2.xlsx
ADAR,AVDL,electrical,1,witvliet_2020_2.xlsx
ADAR,AVER,electrical,1,witvliet_2020_2.xlsx
ADAR,AVJL,chemical,1,witvliet_2020_2.xlsx
ADAR,RICL,chemical,1,witvliet_2020_2.xlsx
ADAR,RIMR,chemical,2,witvliet_2020_2.xlsx
ADEL,ADAL,chemical,2,witvliet_2020_2.xlsx
ADEL,ADER,chemical,1,witvliet_2020_2.xlsx
ADEL,AVAL,chemical,1,witvliet_2020_2.xlsx
ADEL,AVAR,chemical,2,witvliet_2020_2.xlsx
ADER,ADAR,chemical,1,witvliet_2020_2.xlsx
ADER,AVAL,chemical,1,witvliet_2020_2.xlsx
ADER,FLPL,chemical,1,witvliet_2020_2.xlsx
ADFL,ADFR,electrical,1,witvliet_2020_2.xlsx
ADFL,AIAL,electrical,1,witvliet_2020_2.xlsx
ADFL,AIYL,chemical,1,witvliet_2020_2.xlsx
ADFL,AIZL,chemical,5,witvliet_2020_2.xlsx
ADFL,AUAL,chemical,1,witvliet_2020_2.xlsx
ADFL,AVHR,chemical,2,witvliet_2020_2.xlsx
ADFL,RIAL,chemical,4,witvliet_2020_2.xlsx
ADFL,RIH,electrical,1,witvliet_2020_2.xlsx
ADFL,RIR,chemical,2,witvliet_2020_2.xlsx
ADFL,SIBDL,chemical,1,witvliet_2020_2.xlsx
ADFL,SIBVL,chemical,1,witvliet_2020_2.xlsx
ADFL,SMBDL,chemical,1,witvliet_2020_2.xlsx
ADFL,SMBVL,chemical,1,witvliet_2020_2.xlsx
ADFR,AIAR,electrical,1,witvliet_2020_2.xlsx
ADFR,AIZR,chemical,4,witvliet_2020_2.xlsx
