from_neuron,to_neuron,from_pos,to_pos,from_type,to_type,mean_gap_weight,mean_chem_weight,uncertainty,data_sources
ADAL,ADAL,"(0.03, 94.34, 10.31)","(0.03, 94.34, 10.31)",inter,inter,,6.0,,['cook2019']
ADAL,ADAR,"(0.03, 94.34, 10.31)","(-1.43, 91.22, -11.64)",inter,inter,2.0,,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAL,ADFL,"(0.03, 94.34, 10.31)","(8.48, 54.18, 7.0)",inter,sensory,2.6666666666666665,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
ADAL,ADLL,"(0.03, 94.34, 10.31)","(12.05, 59.13, 3.86)",inter,sensory,,2.0,,['cook2019']
ADAL,AIAL,"(0.03, 94.34, 10.31)","(-4.67, 66.74, 0.66)",inter,inter,,2.0,,"['cook2019', 'witvliet2020_7']"
ADAL,AIBL,"(0.03, 94.34, 10.31)","(2.53, 55.49, 5.95)",inter,inter,,1.4,,"['cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAL,AIBR,"(0.03, 94.34, 10.31)","(2.61, 55.94, -6.63)",inter,inter,,1.7142857142857142,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAL,ASHL,"(0.03, 94.34, 10.31)","(4.21, 58.42, 8.35)",inter,sensory,3.0,,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAL,AVAL,"(0.03, 94.34, 10.31)","(6.7, 50.2, 8.41)",inter,inter,,2.0,,"['cook2019', 'white1986_jsh', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVAR,"(0.03, 94.34, 10.31)","(4.79, 50.99, -9.13)",inter,inter,,2.4285714285714284,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAL,AVBL,"(0.03, 94.34, 10.31)","(5.1, 63.74, 7.12)",inter,inter,,6.5,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVBR,"(0.03, 94.34, 10.31)","(4.83, 62.69, -9.41)",inter,inter,,8.125,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVDL,"(0.03, 94.34, 10.31)","(5.35, 65.34, 9.11)",inter,inter,1.0,1.0,0.0,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVDR,"(0.03, 94.34, 10.31)","(5.14, 65.45, -10.59)",inter,inter,3.25,1.5,0.6420286436967152,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVEL,"(0.03, 94.34, 10.31)","(4.58, 51.08, 5.98)",inter,inter,,1.4,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADAL,AVER,"(0.03, 94.34, 10.31)","(3.63, 52.03, -6.09)",inter,inter,,2.0,,"['funconn', 'white1986_jsh', 'witvliet2020_7']"
ADAL,AVJL,"(0.03, 94.34, 10.31)","(7.13, 65.08, 8.47)",inter,inter,,1.0,,"['funconn', 'white1986_jsh', 'witvliet2020_8']"
ADAL,AVJR,"(0.03, 94.34, 10.31)","(7.55, 65.13, -9.59)",inter,inter,,5.25,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AWBL,"(0.03, 94.34, 10.31)","(8.3, 57.36, 8.52)",inter,sensory,1.0,,,['witvliet2020_8']
ADAL,DVA,"(0.03, 94.34, 10.31)","(10.96, 770.84, -1.61)",inter,inter,,2.0,,['witvliet2020_7']
ADAL,FLPR,"(0.03, 94.34, 10.31)","(0.23, 74.92, -11.36)",inter,sensory,,1.0,,"['chklovskii', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADAL,OLQVL,"(0.03, 94.34, 10.31)","(3.93, 36.66, 6.16)",inter,sensory,2.5,1.0,0.14999999999999997,"['cook2019', 'funconn', 'witvliet2020_8']"
ADAL,PVPL,"(0.03, 94.34, 10.31)","(-3.27, 731.85, 1.07)",inter,inter,,1.0,,['cook2019']
ADAL,PVQL,"(0.03, 94.34, 10.31)","(6.02, 766.78, 6.41)",inter,inter,2.3333333333333335,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,RICL,"(0.03, 94.34, 10.31)","(0.28, 70.85, 8.03)",inter,inter,,1.6666666666666667,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
ADAL,RICR,"(0.03, 94.34, 10.31)","(-0.2, 69.97, -8.23)",inter,inter,,1.1428571428571428,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAL,RIML,"(0.03, 94.34, 10.31)","(-0.63, 63.59, 4.45)",inter,motor,,4.875,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,RIPL,"(0.03, 94.34, 10.31)","(7.97, 35.3, 6.37)",inter,inter,,2.875,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,RIPR,"(0.03, 94.34, 10.31)","(7.11, 35.72, -6.56)",inter,inter,,2.0,,['witvliet2020_8']
ADAL,RMFL,"(0.03, 94.34, 10.31)","(-3.06, 58.12, 1.77)",inter,motor,,2.0,,"['funconn', 'witvliet2020_8']"
ADAL,SAADL,"(0.03, 94.34, 10.31)","(-0.9, 53.44, 1.45)",inter,inter,,1.0,,"['funconn', 'witvliet2020_8']"
ADAL,SMDVR,"(0.03, 94.34, 10.31)","(9.15, 51.03, -9.28)",inter,motor,,2.0,,"['cook2019', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAL,URAVL,"(0.03, 94.34, 10.31)","(2.35, 33.57, 4.74)",inter,sensory,,1.0,,"['cook2019', 'funconn']"
ADAL,URXL,"(0.03, 94.34, 10.31)","(13.05, 50.65, 2.27)",inter,sensory,,1.5,,"['cook2019', 'witvliet2020_7']"
ADAR,ADAL,"(-1.43, 91.22, -11.64)","(0.03, 94.34, 10.31)",inter,inter,2.0,,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAR,ADER,"(-1.43, 91.22, -11.64)","(-0.58, 83.23, -11.47)",inter,sensory,,1.0,,['witvliet2020_7']
ADAR,ADFR,"(-1.43, 91.22, -11.64)","(7.15, 54.63, -8.88)",inter,sensory,2.3333333333333335,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
