,Hub_Div,Baseline_Prob,Knockout_Prob,Delta
ADAL,1,0.99997544,0.99997544,0.0
ADAR,1,0.99997544,0.99997544,0.0
ADEL,1,0.9999913,0.9999913,0.0
ADER,1,0.9999913,0.9999913,0.0
ADFL,1,1.0,1.0,0.0
ADFR,1,1.0,1.0,0.0
ADLL,1,1.0,1.0,0.0
ADLR,1,1.0,1.0,0.0
AFDL,1,0.9999987,0.9999987,0.0
AFDR,1,0.9999987,0.9999987,0.0
AIAL,1,0.9998122,0.999816,-3.8146973e-06
AIAR,1,0.9998122,0.999816,-3.8146973e-06
AIBL,1,0.99992156,0.99992156,0.0
AIBR,1,0.99992156,0.99992156,0.0
AIML,1,0.99992275,0.99992275,0.0
AIMR,1,0.99992275,0.99992275,0.0
AINL,1,0.9998497,0.9998497,0.0
AINR,1,0.9998497,0.9998497,0.0
AIYL,1,0.9999933,0.9999933,0.0
AIYR,1,0.9999933,0.9999933,0.0
AIZL,1,0.9999988,0.9999988,0.0
AIZR,1,0.9999988,0.9999988,0.0
ALA,1,0.9981515,0.9981515,0.0
ALML,1,0.99999154,0.99999154,0.0
ALMR,1,0.99999154,0.99999154,0.0
ALNL,1,0.9999732,0.9999732,0.0
ALNR,1,0.9999732,0.9999732,0.0
AQR,1,0.99982125,0.99982125,0.0
ASEL,1,0.9999014,0.9999014,0.0
ASER,1,0.99998844,0.99998856,-1.1920929e-07
ASGL,1,1.0,1.0,0.0
ASGR,1,1.0,1.0,0.0
ASHL,1,0.99999833,0.99999833,0.0
ASHR,1,0.99999833,0.99999833,0.0
ASIL,1,0.9999981,0.9999981,0.0
ASIR,1,0.9999981,0.9999981,0.0
ASJL,1,1.0,1.0,0.0
ASJR,1,1.0,1.0,0.0
ASKL,1,1.0,1.0,0.0
ASKR,1,1.0,1.0,0.0
AUAL,1,0.9998385,0.9998385,0.0
AUAR,1,0.9998385,0.9998385,0.0
AVAL,1,0.9999243,0.9999243,0.0
AVAR,1,0.9999243,0.9999243,0.0
AVBL,1,0.9990301,0.99903643,-6.3180923e-06
AVBR,1,0.9990301,0.99903643,-6.3180923e-06
AVDL,1,0.99994075,0.99994075,0.0
AVDR,1,0.99994075,0.99994075,0.0
AVEL,1,0.99994385,0.99994385,0.0
AVER,1,0.99994385,0.99994385,0.0
AVFL,1,0.9996388,0.9996388,0.0
AVFR,1,0.9996388,0.9996388,0.0
AVG,1,0.9999765,0.9999765,0.0
AVHL,1,0.9999269,0.9999269,0.0
AVHR,1,0.9999269,0.9999269,0.0
AVJL,1,1.0,1.0,0.0
AVJR,1,1.0,1.0,0.0
AVKL,1,0.9999988,0.9999988,0.0
