Sheet,Rows,Cols,Columns,Classification
SI 7 Cell class adjacency matrices.xlsx | herm chem grouped,97,106,"['Unnamed: 0', 'Unnamed: 1', 'SN6', 'Unnamed: 3', 'Unnamed: 4', '...']",📄 Generic Attribute Table
SI 2 Synapse adjacency matrices.xlsx | herm chem synapse adjacency,455,472,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
SI 2 Synapse adjacency matrices.xlsx | herm gap jn synapse adjacency,469,470,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
SI 2 Synapse adjacency matrices.xlsx | male gap jn synapse adjacency,514,515,"['Unnamed: 0', 'ASIL', 'ASIR', 'ASJL', 'ASJR', '...']",📄 Generic Attribute Table
NeuronType.xls | NeuronType.csv,279,16,"['Neuron', 'Soma Position', 'Soma Region', ' Span ', ' Ambiguity ', '...']",📄 Generic Attribute Table
"H_Attributes, Master.xlsx | H_Attribute",599,5,"['name', 'Neuron Group', 'Neuron Type', 'Color', 'size']",📄 Generic Attribute Table
SI 10 Properties of reconstructions.xlsx | Sheet1,14,10,"['Properties of the EM series used in this study', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', '...']",📄 Generic Attribute Table
SI 5 Connectome adjacency matrices.xlsx | hermaphrodite chemical,303,457,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
SI 5 Connectome adjacency matrices.xlsx | herm gap jn symmetric,471,472,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
SI 5 Connectome adjacency matrices.xlsx | herm gap jn asymmetric,471,472,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
SI 5 Connectome adjacency matrices.xlsx | male chemical,385,579,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
SI 5 Connectome adjacency matrices.xlsx | male gap jn symmetric,588,589,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
SI 5 Connectome adjacency matrices.xlsx | male gap jn asymmetric,588,589,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
SI 4 Cell lists.xlsx | sex-shared,387,5,"['Unnamed: 0', 'cell type', 'cell category', 'notes, sensilla, modality', 'Unnamed: 4']",📄 Generic Attribute Table
SI 4 Cell lists.xlsx | male-specific,149,3,"['name', 'cell type', 'notes']",📄 Generic Attribute Table
SI 4 Cell lists.xlsx | TITLE AND LEGEND,0,1,['Cell Lists  These sheets list all of the cells in the C. elegansadult nervous system along with end organs as they appear in the connectivity matrices.'],📄 Generic Attribute Table
SI 3 Synapse lists.xlsx | hermaphrodite,9673,11,"['continNum ', 'EM series', 'pre \xa0', 'post \xa0 ', 'type \xa0 \xa0', '...']",📄 Generic Attribute Table
SI 3 Synapse lists.xlsx | male,14851,11,"['contin Number', 'EM series', 'pre', 'post \xa0 ', 'type \xa0 \xa0', '...']",📄 Generic Attribute Table
