ID	is_known_hub	literature_refs
WBGene00000001	False	nan
WBGene00000002	False	nan
WBGene00000003	False	nan
WBGene00000004	False	nan
WBGene00000005	False	nan
WBGene00000006	True	PMID123456; PMID789101
WBGene00000007	False	nan
WBGene00000008	False	nan
WBGene00000009	False	nan
WBGene00000010	False	nan
WBGene00000012	False	nan
WBGene00000013	False	nan
WBGene00000014	False	nan
WBGene00000016	False	nan
WBGene00000017	False	nan
WBGene00000018	False	nan
WBGene00000019	False	nan
WBGene00000020	False	nan
WBGene00000022	False	nan
WBGene00000023	False	nan
WBGene00000025	False	nan
WBGene00000028	False	nan
WBGene00000030	False	nan
WBGene00000031	False	nan
WBGene00000033	False	nan
WBGene00000034	False	nan
WBGene00000035	False	nan
WBGene00000036	False	nan
WBGene00000037	False	nan
WBGene00000038	False	nan
WBGene00000039	False	nan
WBGene00000040	False	nan
WBGene00000041	False	nan
WBGene00000042	False	nan
WBGene00000043	False	nan
WBGene00000044	False	nan
WBGene00000045	False	nan
WBGene00000046	False	nan
WBGene00000047	False	nan
WBGene00000048	False	nan
WBGene00000049	False	nan
WBGene00000050	False	nan
WBGene00000051	False	nan
WBGene00000053	False	nan
WBGene00000054	False	nan
WBGene00000055	False	nan
WBGene00000056	False	nan
WBGene00000057	False	nan
WBGene00000058	False	nan
WBGene00000059	False	nan
WBGene00000060	False	nan
WBGene00000061	False	nan
WBGene00000062	False	nan
WBGene00000063	False	nan
WBGene00000064	False	nan
WBGene00000065	False	nan
WBGene00000066	False	nan
WBGene00000067	False	nan
WBGene00000068	False	nan
WBGene00000069	False	nan
WBGene00000070	False	nan
WBGene00000071	False	nan
WBGene00000072	False	nan
WBGene00000073	False	nan
WBGene00000074	False	nan
WBGene00000075	False	nan
WBGene00000079	False	nan
WBGene00000081	False	nan
WBGene00000082	False	nan
WBGene00000083	False	nan
WBGene00000084	False	nan
WBGene00000085	False	nan
WBGene00000086	False	nan
WBGene00000088	False	nan
WBGene00000089	False	nan
WBGene00000090	False	nan
WBGene00000092	False	nan
WBGene00000093	False	nan
WBGene00000094	False	nan
WBGene00000095	False	nan
WBGene00000096	False	nan
WBGene00000097	False	nan
WBGene00000098	False	nan
WBGene00000099	False	nan
WBGene00000100	False	nan
WBGene00000101	False	nan
WBGene00000102	False	nan
WBGene00000103	False	nan
WBGene00000105	True	PMID123456; PMID789101
WBGene00000106	False	nan
WBGene00000107	False	nan
WBGene00000108	False	nan
WBGene00000109	False	nan
WBGene00000110	False	nan
WBGene00000111	False	nan
WBGene00000112	False	nan
WBGene00000113	False	nan
WBGene00000114	True	PMID123456; PMID789101
WBGene00000115	False	nan
WBGene00000116	True	PMID123456; PMID789101
WBGene00000117	False	nan
WBGene00000118	False	nan
WBGene00000120	False	nan
WBGene00000121	False	nan
WBGene00000122	False	nan
WBGene00000123	False	nan
WBGene00000134	False	nan
WBGene00000135	False	nan
WBGene00000136	False	nan
WBGene00000137	False	nan
WBGene00000138	False	nan
WBGene00000139	False	nan
WBGene00000140	False	nan
WBGene00000142	False	nan
WBGene00000143	False	nan
WBGene00000144	False	nan
WBGene00000145	False	nan
WBGene00000146	False	nan
WBGene00000147	False	nan
WBGene00000148	False	nan
WBGene00000149	True	PMID123456; PMID789101
WBGene00000150	False	nan
WBGene00000151	True	PMID123456; PMID789101
WBGene00000155	False	nan
WBGene00000156	False	nan
WBGene00000157	False	nan
WBGene00000158	False	nan
WBGene00000159	False	nan
WBGene00000160	False	nan
WBGene00000161	False	nan
WBGene00000162	False	nan
WBGene00000163	False	nan
WBGene00000164	False	nan
WBGene00000165	False	nan
WBGene00000166	False	nan
WBGene00000168	False	nan
WBGene00000169	True	PMID123456; PMID789101
WBGene00000170	False	nan
WBGene00000172	False	nan
WBGene00000173	False	nan
WBGene00000174	False	nan
WBGene00000175	False	nan
WBGene00000176	False	nan
WBGene00000177	False	nan
WBGene00000178	False	nan
WBGene00000179	False	nan
WBGene00000180	False	nan
WBGene00000181	False	nan
WBGene00000182	False	nan
WBGene00000183	False	nan
WBGene00000184	False	nan
WBGene00000186	False	nan
WBGene00000187	False	nan
WBGene00000188	False	nan
WBGene00000189	False	nan
WBGene00000190	False	nan
WBGene00000191	False	nan
WBGene00000192	False	nan
WBGene00000193	False	nan
WBGene00000195	False	nan
WBGene00000196	False	nan
WBGene00000197	False	nan
WBGene00000198	False	nan
WBGene00000199	False	nan
WBGene00000200	False	nan
WBGene00000201	False	nan
WBGene00000202	False	nan
WBGene00000203	False	nan
WBGene00000204	False	nan
WBGene00000205	False	nan
WBGene00000206	False	nan
WBGene00000207	False	nan
WBGene00000208	False	nan
WBGene00000209	False	nan
WBGene00000210	False	nan
WBGene00000211	False	nan
WBGene00000212	False	nan
WBGene00000214	False	nan
WBGene00000215	False	nan
WBGene00000216	True	PMID123456; PMID789101
WBGene00000217	False	nan
WBGene00000218	False	nan
WBGene00000219	False	nan
WBGene00000220	False	nan
WBGene00000221	False	nan
WBGene00000222	False	nan
WBGene00000223	False	nan
WBGene00000224	False	nan
WBGene00000225	False	nan
WBGene00000226	False	nan
WBGene00000227	True	PMID123456; PMID789101
WBGene00000228	False	nan
WBGene00000229	False	nan
WBGene00000230	False	nan
WBGene00000231	False	nan
WBGene00000232	False	nan
WBGene00000233	False	nan
WBGene00000235	False	nan
WBGene00000236	False	nan
WBGene00000237	False	nan
WBGene00000238	False	nan
WBGene00000239	False	nan
WBGene00000240	False	nan
WBGene00000241	False	nan
WBGene00000242	False	nan
WBGene00000244	False	nan
WBGene00000245	False	nan
WBGene00000246	False	nan
WBGene00000247	False	nan
WBGene00000248	False	nan
WBGene00000249	False	nan
WBGene00000250	False	nan
WBGene00000251	False	nan
WBGene00000252	False	nan
WBGene00000253	False	nan
WBGene00000254	False	nan
WBGene00000255	False	nan
WBGene00000256	False	nan
WBGene00000257	False	nan
WBGene00000259	False	nan
WBGene00000262	False	nan
WBGene00000263	False	nan
