Neuron	pearson_r_strict	spearman_r_strict	abs_pearson_strict	abs_spearman_strict	rank_p_strict	rank_s_strict	rank_product_strict	variance_var_bulk	variance_var_aggr	dynamic_range_dyn_bulk	meta_rank_product	meta_score_mean	meta_score_median	Type	LineageGroup	Functions	RichClubScore	TotalStrength	AvgRelatedness	StrengthImbalance	total_3node_motifs	as_source	as_target	MultifunctionalityScore	is_known_hub	literature_refs	is_novel_candidate
WBGene00000137	0.0100562827182263	0.4377069126701746	0.0100562827182263	0.4377069126701746	17306.0	1614.0	5285.062345895269	33337378.42056572	0.1120914533412153	17305.989943717283	7718.443767017439	3035146.2658400177	1614.0											0	False		True
WBGene00001374	-0.0184628397493615	0.4969220536843344	0.0184628397493615	0.4969220536843344	16907.0	1035.0	4183.150128790503	34041021.03812412	0.1120914533412153	17727.01846283975	7187.186068500761	3098914.6817018003	1035.0											0	False		True
WBGene00001542	0.9921823711001332	0.0258893481887242	0.9921823711001332	0.0258893481887242	705.0	16233.0	3382.9373331470388	32048297.068729844	0.1120914533412153	17386.990313054346	7053.190323142528	2917550.939539462	705.0											0	False		True
WBGene00001762	0.9899293608680446	-0.0103664389365637	0.9899293608680446	0.0103664389365637	761.0	17203.0	3618.215444110536	33940118.26699272	0.1120914533412153	17418.010366438935	6772.855902550792	3089626.676423272	761.0											0	False		True
WBGene00001961	0.9193039187852048	0.0029516880087146	0.9193039187852048	0.0029516880087146	1429.0	17578.0	5011.882081613653	33713845.93691958	0.1120914533412153	17578.01802162383	7108.656974763175	3069323.0409636577	1429.0											0	False		True
WBGene00002103	0.0161637847969594	0.3892422538491273	0.0161637847969594	0.3892422538491273	17024.0	2203.0	6124.040496273681	35357896.01161318	0.1120914533412153	17768.996599348775	7705.892554068737	3218974.8058333094	2203.0											0	False		True
WBGene00002251	0.0117035721066878	0.3838355358781174	0.0117035721066878	0.3838355358781174	17230.0	2277.0	6263.601998850182	34528911.92367724	0.1120914533412153	17330.988296427895	7858.556129535284	3143624.8157519754	2277.0											0	False		True
WBGene00003386	-0.0262366643049693	0.4138664358067724	0.0262366643049693	0.4138664358067724	16519.0	1902.0	5605.277691604583	32431153.00787509	0.1120914533412153	17039.026236664304	8043.237785070599	2952751.135401159	1902.0											0	False		True
WBGene00003648	0.0084897968723663	0.4277250073877814	0.0084897968723663	0.4277250073877814	17386.0	1716.0	5462.0853160674815	34616245.29293583	0.1120914533412153	17385.991510203126	7709.627390190802	3151445.9983339417	1716.0											0	False		True
WBGene00003651	0.0163125164878464	0.3596681700514036	0.0163125164878464	0.3596681700514036	17015.0	2663.0	6731.340505426835	33298313.69498906	0.1120914533412153	17014.983687483513	8232.49068622885	3031815.579447366	2663.0											0	False		True
