tuple_label	normalized	sha12	tuple_index
(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan	(0,0)_(0,1)_(0,2)_(2,0)_(2,2)_nan_nan_nan_nan	00256144bb07	0
(0, 0)_(0, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan	(0,0)_(0,1)_(2,0)_(2,1)_(2,2)_nan_nan_nan_nan	0167ae4e4ca4	1
(0, 0)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan	(0,0)_(1,0)_(2,0)_nan_nan_nan_nan_nan_nan	0219e3ce574d	2
(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan_nan	(0,2)_(1,2)_nan_nan_nan_nan_nan_nan_nan	02d55c105586	3
(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan	(0,1)_(1,0)_(1,2)_nan_nan_nan_nan_nan_nan	03e3428be872	4
(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan	(0,0)_(0,1)_(0,2)_(1,0)_(1,2)_(2,0)_nan_nan_nan	04a9978b93f7	5
(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan	(0,1)_(0,2)_(1,0)_(1,1)_(1,2)_(2,0)_(2,1)_nan_nan	062b0cbed1e2	6
(0, 0)_(0, 1)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan	(0,0)_(0,1)_(1,1)_(1,2)_nan_nan_nan_nan_nan	06dc0e51a21d	7
(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan	(0,1)_(0,2)_(1,1)_(1,2)_(2,0)_(2,2)_nan_nan_nan	0736b5932d31	8
(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan	(0,2)_(1,1)_(1,2)_(2,0)_(2,1)_nan_nan_nan_nan	07dff1aec6e2	9
(0, 2)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan	(0,2)_(1,1)_(2,0)_(2,1)_(2,2)_nan_nan_nan_nan	08ede616c05b	10
(0, 1)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan_nan	(0,1)_(1,1)_(2,1)_nan_nan_nan_nan_nan_nan	09fd694813cd	11
(0, 0)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan	(0,0)_(1,0)_(2,1)_(2,2)_nan_nan_nan_nan_nan	0a1a74a90019	12
(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan	(0,2)_(1,2)_(2,0)_(2,1)_(2,2)_nan_nan_nan_nan	0ad54fd1c7db	13
(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan	(0,1)_(1,0)_(1,1)_(1,2)_(2,1)_nan_nan_nan_nan	0b3ccf9d8e31	14
(0, 0)_(0, 1)_(0, 2)_(1, 0)_nan_nan_nan_nan_nan	(0,0)_(0,1)_(0,2)_(1,0)_nan_nan_nan_nan_nan	0bdaa0d09b93	15
(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan	(0,1)_(0,2)_(1,1)_(1,2)_(2,2)_nan_nan_nan_nan	0cb7e40f77a4	16
(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan	(0,0)_(0,1)_(0,2)_(1,2)_(2,1)_nan_nan_nan_nan	0d44d9ae9858	17
(0, 1)_(0, 2)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan	(0,1)_(0,2)_(1,1)_(2,1)_nan_nan_nan_nan_nan	0dceaab2ac53	18
(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan	(0,0)_(0,2)_(1,0)_(1,2)_(2,2)_nan_nan_nan_nan	0e1fde7d1e91	19
(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan	(1,0)_(1,2)_(2,0)_nan_nan_nan_nan_nan_nan	0e8439bde9e4	20
(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan	(0,0)_(0,2)_(1,1)_(1,2)_(2,0)_nan_nan_nan_nan	0e97865f026c	21
(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan	(0,0)_(0,2)_(1,0)_(1,1)_(1,2)_(2,0)_(2,1)_nan_nan	0ef40404528f	22
(0, 0)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan	(0,0)_(1,0)_(1,2)_(2,0)_(2,1)_(2,2)_nan_nan_nan	0f1fc5877f76	23
(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan	(0,2)_(1,0)_(1,1)_(1,2)_(2,1)_nan_nan_nan_nan	0f8ad8c67e09	24
(0, 0)_(0, 2)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan	(0,0)_(0,2)_(1,0)_(2,0)_nan_nan_nan_nan_nan	118b67bf2da9	25
(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan	(0,0)_(0,2)_(1,1)_(1,2)_(2,0)_(2,1)_(2,2)_nan_nan	11f245ddaa03	26
(0, 0)_(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan	(0,0)_(0,1)_(1,0)_(1,1)_(2,0)_(2,1)_nan_nan_nan	120d29a47436	27
(0, 0)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan	(0,0)_(0,2)_(1,2)_(2,0)_(2,1)_(2,2)_nan_nan_nan	12c5cdc66ef9	28
(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan	(1,0)_(1,1)_(2,0)_(2,2)_nan_nan_nan_nan_nan	143c4ae35afe	29
(0, 0)_(0, 1)_(0, 2)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan	(0,0)_(0,1)_(0,2)_(1,1)_(2,0)_(2,1)_(2,2)_nan_nan	157f2f88b7f4	30
(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan	(0,1)_(0,2)_(1,0)_(1,1)_(1,2)_nan_nan_nan_nan	1624c07dfc82	31
(0, 0)_(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan	(0,0)_(0,2)_(1,0)_(2,1)_nan_nan_nan_nan_nan	16b524dcfa0a	32
(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan	(0,2)_(1,0)_(1,1)_(1,2)_(2,2)_nan_nan_nan_nan	184af37bcdd7	33
(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan	(0,1)_(0,2)_(1,0)_(1,2)_nan_nan_nan_nan_nan	196015ea88e2	34
(0, 1)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan_nan	(0,1)_(0,2)_(1,0)_(2,2)_nan_nan_nan_nan_nan	196feea7fd08	35
(0, 0)_(0, 1)_(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan	(0,0)_(0,1)_(1,0)_(1,1)_(2,1)_(2,2)_nan_nan_nan	19aed7b85350	36
(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan	(0,0)_(0,1)_(1,0)_(1,2)_(2,0)_nan_nan_nan_nan	19e4d7a60e10	37
(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan	(0,1)_(1,0)_(1,1)_(2,0)_(2,2)_nan_nan_nan_nan	19f1e78f1df9	38
