pre,post,gap_weight,chem_weight,functional_weight,uncertainty,data_sources
ADAL,ADAR,2.0,,0.0916158780455589,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAL,ADEL,,,,,[]
ADAL,ADER,,,0.0141659770160913,,['funconn']
ADAL,ADFL,2.6666666666666665,,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
ADAL,ADFR,,,,,[]
ADAL,ADLL,,2.0,,,['cook2019']
ADAL,ADLR,,,0.0550209432840347,,['funconn']
ADAL,AFDL,,,,,[]
ADAL,AFDR,,,,,[]
ADAL,AIAL,,2.0,,,"['cook2019', 'witvliet2020_7']"
ADAL,AIAR,,,,,[]
ADAL,AIBL,,1.4,,,"['cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAL,AIBR,,1.7142857142857142,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAL,AIML,,,-0.0056474693119525,,['funconn']
ADAL,AIMR,,,-0.0258383210748434,,['funconn']
ADAL,AINL,,,0.1318264305591583,,['funconn']
ADAL,AINR,,,-0.005329992622137,,['funconn']
ADAL,AIYL,,,0.0359317101538181,,['funconn']
ADAL,AIYR,,,-0.0688867345452308,,['funconn']
ADAL,AIZL,,,,,[]
ADAL,AIZR,,,0.0412838272750377,,['funconn']
ADAL,ALA,,,0.0057417908683419,,['funconn']
ADAL,ALML,,,,,[]
ADAL,ALMR,,,,,[]
ADAL,ALNL,,,,,[]
ADAL,ALNR,,,,,[]
ADAL,AQR,,,,,[]
ADAL,AS1,,,,,[]
ADAL,AS10,,,,,[]
ADAL,AS11,,,,,[]
ADAL,AS2,,,,,[]
ADAL,AS3,,,,,[]
ADAL,AS4,,,,,[]
ADAL,AS5,,,,,[]
ADAL,AS6,,,,,[]
ADAL,AS7,,,,,[]
ADAL,AS8,,,,,[]
ADAL,AS9,,,,,[]
ADAL,ASEL,,,,,[]
ADAL,ASER,,,-0.0087212044745683,,['funconn']
ADAL,ASGL,,,0.0828543528914451,,['funconn']
ADAL,ASGR,,,,,[]
ADAL,ASHL,3.0,,0.0229763947427272,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAL,ASHR,,,-0.0044454871676862,,['funconn']
ADAL,ASIL,,,,,[]
ADAL,ASIR,,,0.0143030416220426,,['funconn']
ADAL,ASJL,,,-0.0040998626500368,,['funconn']
ADAL,ASJR,,,0.0029583855066448,,['funconn']
ADAL,ASKL,,,0.0291897226125001,,['funconn']
ADAL,ASKR,,,,,[]
ADAL,AUAL,,,0.2509691417217254,,['funconn']
ADAL,AUAR,,,,,[]
ADAL,AVAL,,2.0,,,"['cook2019', 'white1986_jsh', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVAR,,2.4285714285714284,-0.0035794773139059,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAL,AVBL,,6.5,-0.0083502810448408,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVBR,,8.125,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVDL,1.0,1.0,,0.0,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVDR,3.25,1.5,0.1207208409905433,0.6420286436967152,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVEL,,1.4,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADAL,AVER,,2.0,0.0185034647583961,,"['funconn', 'white1986_jsh', 'witvliet2020_7']"
ADAL,AVFL,,,,,[]
ADAL,AVFR,,,,,[]
ADAL,AVG,,,,,[]
ADAL,AVHL,,,,,[]
ADAL,AVHR,,,-0.0163774546235799,,['funconn']
ADAL,AVJL,,1.0,0.069400243461132,,"['funconn', 'white1986_jsh', 'witvliet2020_8']"
ADAL,AVJR,,5.25,0.057382259517908,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVKL,,,,,[]
ADAL,AVKR,,,-0.0148318484425544,,['funconn']
ADAL,AVL,,,,,[]
ADAL,AVM,,,,,[]
ADAL,AWAL,,,0.0857557132840156,,['funconn']
ADAL,AWAR,,,,,[]
ADAL,AWBL,1.0,,,,['witvliet2020_8']
ADAL,AWBR,,,-0.0090271597728133,,['funconn']
ADAL,AWCL,,,0.026744807139039,,['funconn']
ADAL,AWCR,,,0.0057424469850957,,['funconn']
ADAL,BAGL,,,-0.0213191136717796,,['funconn']
ADAL,BAGR,,,,,[]
ADAL,BDUL,,,,,[]
ADAL,BDUR,,,,,[]
ADAL,CEPDL,,,,,[]
ADAL,CEPDR,,,0.0091686882078647,,['funconn']
ADAL,CEPVL,,,,,[]
