Neuron,Type,TotalStrength,AvgRelatedness,StrengthImbalance,RichClubScore,total_3node_motifs,as_source,as_target,KMeansCluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Leiden,HDBSCAN_Cluster,LeidenRole,SymbolicRole,LatentArchetype
AINL,Unknown,138.0,15.316666666666666,118.0,0.0775079992471296,378,63,23,2,0.26295957,0.2388211,-0.48437777,-0.20550297,-0.45763212,-0.7927735,0.0286803,0.32882825,0.09026603,1.0499929,0.47153598,-0.24927899,-0.76890594,-0.8065615,0.20215565,-0.06970585,-1.1230727,0.009213102,-0.78330696,0.10289581,0.26397,-0.23420691,-0.62217206,-0.33425257,0.4922021,-0.24915968,-0.07123762,0.045293707,-0.3635024,-0.6722102,-6.970608e-05,0.6991968,-0.013913322,-0.9140051,-0.012049063,0.38286638,-0.033270303,-0.14537163,-0.14568557,0.3215042,-0.52475286,-0.2885615,-0.565626,-0.84219486,0.592754,-0.58918554,0.23387612,0.07040979,-0.23048174,0.37684736,0.54609054,0.5514605,-0.5637737,-0.12474801,-0.39370912,-0.14222021,-0.41907573,0.026427416,-0.025458407,-0.15762566,-0.17171353,0.037615858,-0.0419297,-0.11973449,3,6,🧩 Integrative Hub,Unknown ❓,-1
AINR,Unknown,158.0,14.890243902439025,122.0,0.0875522138680033,435,54,8,2,0.3718266,0.18224926,-0.29183802,-0.1314739,-0.31369728,-0.9231414,0.17674804,0.19326094,0.42069086,1.0260656,0.31169614,-0.14099467,-0.36896628,-1.1087832,-0.05154558,-0.1921003,-0.9627394,-0.23108557,-0.3846076,0.1855674,0.3873567,-0.2491331,-0.39813069,-0.25723913,0.36530447,-0.5240632,-0.26757196,-0.12885654,-0.34891915,-0.69744,0.16095051,0.538654,-0.02212003,-0.8381669,0.07782553,0.28234777,-0.16276231,-0.14465041,0.09596559,0.40733513,-0.4984203,-0.67971635,-0.3674589,-0.73395205,0.7466368,-0.7457382,0.27526644,-0.19766,-0.3458994,0.13746022,0.781841,0.03621127,-0.6687588,-0.084910974,-0.22739442,-0.2976277,-0.34440386,-0.29531592,-0.3216071,-0.036407623,-0.2676249,-0.057631727,0.13428387,-0.12900344,3,6,🧩 Integrative Hub,Unknown ❓,-1
CEPshVR,Glia,152.0,7.323529411764706,152.0,0.0775079992471296,300,0,35,0,0.38783026,-0.025497025,-0.24436617,-0.5082733,-0.22990407,-0.5270594,0.52485967,0.12641275,-0.20027179,0.9208718,0.390038,-0.47916922,-0.0025124613,-0.8932079,-0.084111065,-0.35029492,-1.1674976,-0.26712477,-0.85994303,-0.35666558,0.5371351,-0.29431996,-0.77477366,-0.55397415,0.40001854,0.033185054,-0.5393749,-0.33098918,0.059762217,-0.49994433,0.5377969,0.48610446,0.06445326,-0.93018395,0.24974026,0.07491499,-0.0671184,-0.43591392,0.026010085,0.30027857,-0.007212282,-0.7151595,-0.28137222,-0.65316474,0.815633,-0.24939708,0.29146996,-0.4118109,-0.16500172,0.25737616,0.8032931,0.43100348,-0.75354165,0.17143,-0.046889756,-0.17750448,0.19240624,-0.2832631,0.073731914,-0.20622179,-0.27549168,-0.013684306,0.1298232,-0.2100725,3,6,🧩 Integrative Hub,Glia ⚙️,-1
CEPshDL,Glia,57.0,8.38888888888889,57.0,0.0451532632055197,136,0,16,0,0.64258087,0.20805283,-0.49427336,0.20381485,-0.27292544,-0.6504396,0.23184182,-0.19642901,-0.07708041,0.37928367,0.5678459,0.013922114,-0.38511613,-0.96863574,-0.5699731,-0.63876784,-0.7825152,-0.21187809,-0.82102275,-0.12497879,0.0957965,-0.114853,-0.6118913,-0.76250845,0.23571815,-0.24201712,-0.7296138,0.08345466,-0.38219124,-0.24876696,0.29375738,0.49167955,0.116331555,-0.9908206,-0.25654364,0.35585266,-0.24261667,-0.028705902,0.21348992,0.21117042,-0.18528283,-0.39139843,-0.637246,-0.65425724,0.9625599,-0.37070787,0.48355445,-0.19688971,-0.13319966,0.32239667,1.0065421,0.43259487,-0.72625613,0.2971521,-0.022656893,-0.016719833,-0.20623873,-0.21820804,0.16832729,-0.46132538,0.16905071,-0.011416706,0.29684004,0.27387926,3,6,🧩 Integrative Hub,Glia ⚙️,-1
CEPshVL,Glia,132.0,7.333333333333333,132.0,0.0707751707751707,276,0,39,0,0.8217331,0.0018263478,-0.35374805,-0.2064438,-0.50379306,-0.837675,0.36280224,0.056775354,-0.2605575,0.7944815,0.286221,-0.10549074,-0.43517372,-1.1039563,-0.6022209,-0.45407587,-0.9231759,-0.3555457,-0.5982731,-0.13597031,0.20072365,0.12059791,-0.46645048,-0.74372625,0.5534142,-0.42466846,-0.64929026,0.07759566,-0.124855444,-0.5958931,0.35822093,0.2870178,0.33217463,-1.0299618,-0.047733728,-0.053680982,-0.5642764,0.0660391,-0.05268378,-0.022571992,-0.13862155,-0.4354809,-0.23269357,-0.5735966,0.5358218,-0.2720209,0.2640893,-0.43858474,-0.3509294,0.110593535,0.91752356,0.15853709,-0.5765087,0.15296525,0.047105454,0.048008274,-0.029844634,-0.016508356,0.17615576,-0.19202451,0.008682072,-0.15358242,0.2634491,0.004934625,3,6,🧩 Integrative Hub,Glia ⚙️,-1
ASIR,Unknown,135.0,12.358585858585858,107.0,0.0421954468983088,190,59,44,2,0.25360662,0.24433191,-0.31033835,-0.2587312,-0.32533008,-0.96630317,0.12125851,0.14325222,-0.11485961,0.6561772,0.13463424,-0.2914942,-0.55705255,-0.8785621,-0.40909493,0.196495,-0.7615489,0.122056335,-0.56601566,-0.6642309,0.5388591,-0.38180175,-0.4887652,-0.24754544,0.6458921,-0.21738064,-0.39178538,0.05757768,-0.43298683,-0.5613133,0.006115814,0.66180956,-0.30342674,-0.5098075,0.010747636,0.37680206,-0.14673233,-0.09729966,0.088765055,0.52643096,-0.016334021,-0.6984818,-0.28482962,-0.89049995,0.96866715,-0.6440202,0.4232435,-0.252184,-0.43373573,0.072043836,0.6509981,0.1959496,-0.9550716,0.28620517,-0.20823984,-0.38400093,-0.43123797,0.08871455,-0.5322904,-0.30047804,-0.19033723,0.06405332,-0.11404092,-0.028624276,3,6,🧩 Integrative Hub,Chemosensory 👃,-1
CEPshDR,Glia,51.0,7.0,51.0,0.0396091052331623,105,0,12,0,0.55253863,0.1535917,-0.4696196,-0.10776992,-0.320858,-0.6215217,0.35114807,0.22407499,-0.36408824,1.0950494,0.5998565,-0.22028118,-0.21717887,-1.1978916,-0.6307085,-0.43138626,-0.95009613,0.18021598,-0.3362591,-0.024875866,0.46378797,0.0022851813,-0.5148314,-0.47905993,0.36226842,-0.12194908,-0.69943684,0.24158183,-0.47621378,-0.5645941,0.060393788,0.4992007,0.16426691,-0.6632935,-0.3593467,0.4361169,-0.2828332,-0.26081216,0.3740179,0.29129493,-0.20146483,-0.43768564,0.056951653,-0.43620452,1.0246253,-0.61155164,0.316582,-0.40711346,-0.17172356,-0.12627873,1.025824,-0.16994847,-0.5592901,0.26867864,-0.09649361,-0.13146366,-0.18408692,-0.034842595,-0.10936296,-0.59067154,-0.08495143,-0.06844811,0.10467079,-0.35107774,3,6,🧩 Integrative Hub,Glia ⚙️,-1
ASJR,Unknown,81.0,13.426767676767676,59.0,0.0362771335117454,153,47,33,2,0.3267641,-0.034815393,-0.21538194,-0.102716714,-0.39341965,-0.7792481,0.513306,-0.15845181,0.095177114,0.87419885,0.39668775,-0.28328374,-0.37515837,-0.69625694,-0.42821342,-0.212155,-0.84001654,-0.08431203,-0.61494386,-0.51429343,0.5230354,-0.44678733,-0.59948915,-0.51193607,0.81633925,-0.22047544,-0.64400554,-0.09373081,-0.32286942,-0.2304334,0.17485145,0.64484394,-0.016201125,-1.2985258,-0.18085901,0.08435406,-0.0032212748,-0.22452174,-0.47079697,0.26081216,-0.3334476,-0.6234626,-0.3109447,-0.8828392,0.55294925,-0.4649931,0.1423405,-0.3095436,-0.48934582,0.17371668,0.8376683,0.30192026,-0.6803693,0.018010197,-0.22458361,-0.014632596,-0.2472724,-0.20848967,-0.24556644,0.11430514,-0.22393197,0.0057630185,0.4154919,0.09162113,3,6,🧩 Integrative Hub,Chemosensory 👃,-1
PVT,Unknown,209.0,13.484126984126984,163.0,0.0983661499790532,741,176,96,5,0.48097402,-0.06688313,-0.44658384,0.0033451864,-0.23617254,-1.043723,0.42219144,0.33221957,-0.022317315,1.0518645,-0.015543978,0.0054365033,-0.39384818,-0.7661425,0.21298528,0.030355776,-0.82998717,-0.44228444,-0.36518797,0.19379337,0.56435204,-0.07968948,-0.87750304,-0.5084349,0.54998726,0.055985164,-0.32467476,-0.0005885397,0.041379485,-0.28784105,0.3611558,0.6023306,0.0053177215,-0.70038676,0.005382231,0.5597911,-0.005840853,0.21163584,0.3707944,0.4378059,-0.18656719,-0.36237675,-0.48129094,-0.68108773,0.8560634,0.061010666,0.37079975,-0.12792961,-0.04263464,-0.15709959,0.7829404,0.3638897,-0.7995529,0.22680305,0.1492531,0.086294115,0.10511095,-0.23860835,0.4505012,-0.0395817,-0.59720975,-0.0004999465,0.101470925,0.113300115,3,6,🧩 Integrative Hub,Unknown ❓,-1
RIAR,Unknown,1247.0,15.579835953520163,155.0,0.2205882352941176,1770,180,198,3,0.63106483,-0.10020826,-0.50047684,0.21587099,0.025219692,-0.82657874,0.009964618,0.55670387,0.08283706,0.77094734,0.3830829,-0.3888593,-0.5598293,-0.85975546,-0.24977838,-0.05802938,-1.1869832,0.19017084,-0.23693998,-0.090384275,0.5199773,-0.20908296,-0.8630764,-0.1884572,0.66139877,-0.09553543,-0.3028602,-0.03283335,-0.054877084,-0.6230928,-0.046622332,0.53565013,0.1177972,-0.53570914,0.36194843,0.23269212,-0.06258643,-0.0039396747,-0.06345756,0.2671298,-0.43593386,0.15643348,-0.04938883,-0.081424676,1.0613023,-0.18197466,0.33649445,-0.43362254,-0.75806457,0.36305478,0.4024698,0.39859277,-0.6474834,0.14653555,0.132031,-0.48239234,0.09215976,0.4445719,0.08787057,0.02205347,-0.13130666,-0.063088104,0.13681088,0.036749363,3,6,🧩 Integrative Hub,Unknown ❓,-1
