Neuron,Unclassified ❓
AINL,884.0
AINR,969.0
CEPshVR,882.0
CEPshDL,548.0
CEPshVL,863.0
ASIR,430.0
CEPshDR,517.0
ASJR,321.0
PVT,1289.0
RIAR,2374.0
RIH,2900.0
BWM-VR04,688.0
RIMR,2036.0
SMBVR,1382.0
ADER,2204.0
ASIL,682.0
BDUR,499.0
DVC,1380.0
AVFR,1288.0
CEPVR,1363.0
URYVR,1170.0
ADLR,1029.0
PVNL,833.0
RMFL,1515.0
AIBR,2952.0
AVAR,1727.0
AIBL,2628.0
AIYR,740.0
AUAR,854.0
URXR,1225.0
AFDR,363.0
BAGL,923.0
ASEL,653.0
RID,640.0
RIML,2400.0
AVHR,1403.0
CEPVL,1599.0
ASKR,629.0
AWCR,756.0
ASGR,338.0
BAGR,1233.0
ASJL,338.0
URBL,1523.0
BDUL,1073.0
IL2DL,777.0
PVQL,687.0
AWCL,691.0
RIS,1699.0
RIVR,1664.0
URYVL,1130.0
RIFL,1173.0
ASGL,389.0
IL2DR,612.0
SMBDL,1755.0
IL1R,1044.0
BWM-VR01,391.0
IL2VR,597.0
GLRVL,351.0
RMDL,1790.0
RMDR,1810.0
RMDVL,1796.0
RMDVR,1477.0
SMBVL,1489.0
SMDDL,1475.0
SMDDR,1494.0
SMDVL,1570.0
SMDVR,1400.0
RIVL,1410.0
RICR,2165.0
ALNR,596.0
CEPDR,1364.0
RMFR,1696.0
CEPDL,1311.0
ASHR,1337.0
AIYL,1037.0
AWBR,896.0
SIADL,560.0
SIBDL,582.0
DVA,2499.0
SAAVL,1058.0
SIAVL,499.0
PVPR,911.0
URYDL,1074.0
AVBR,2150.0
OLLL,1322.0
AVAL,1978.0
AVDR,1212.0
AVEL,2681.0
AVER,2310.0
SIBVL,576.0
URYDR,773.0
AVBL,2241.0
AVDL,982.0
OLLR,1220.0
OLQVR,976.0
OLQDR,828.0
SIBDR,752.0
RICL,1763.0
BWM-VL06,285.0
ADAR,1402.0
AVKR,1750.0
SAADR,1165.0
AVKL,1621.0
SAADL,797.0
SAAVR,700.0
HSNL,1203.0
HSNR,904.0
URAVR,465.0
URBR,895.0
AVHL,1038.0
AWAR,531.0
RMGR,2014.0
RMHL,907.0
RMHR,1126.0
ADAL,1931.0
ADFL,1138.0
URXL,1324.0
AWAL,739.0
AVFL,850.0
PVPL,1178.0
PLNL,373.0
FLPR,707.0
FLPL,1040.0
AVJL,1183.0
PVCR,1169.0
PVCL,1316.0
AVJR,1095.0
IL1L,1146.0
GLRL,306.0
GLRDR,215.0
GLRVR,224.0
RMEV,1282.0
URAVL,433.0
IL2L,806.0
OLQVL,890.0
URADR,425.0
IL1DL,522.0
BWM-DL02,355.0
BWM-DL03,331.0
SMBDR,1628.0
URADL,344.0
BWM-DL01,389.0
BWM-DR01,364.0
BWM-DR03,308.0
ALA,470.0
AVL,414.0
PVQR,487.0
ASKL,600.0
AFDL,332.0
AUAL,755.0
AIML,1083.0
ALML,666.0
ADLL,1211.0
BWM-DR02,545.0
BWM-VR02,347.0
ADFR,849.0
RIAL,2303.0
SIADR,465.0
IL2VL,593.0
SIBVR,688.0
OLQDL,785.0
BWM-VL04,565.0
BWM-DL04,472.0
BWM-DL06,322.0
RIFR,812.0
BWM-DR04,560.0
BWM-DR06,340.0
PVR,697.0
ALMR,610.0
SIAVR,357.0
PVNR,613.0
AWBL,959.0
IL2R,907.0
GLRR,362.0
GLRDL,242.0
BWM-VR08,172.0
BWM-VR05,255.0
BWM-VR06,291.0
BWM-VR07,153.0
AVM,577.0
BWM-DR08,219.0
BWM-VL05,331.0
BWM-VL02,392.0
BWM-VL03,367.0
BWM-VL07,189.0
BWM-VL08,130.0
BWM-DL05,277.0
BWM-DR05,322.0
BWM-DL08,179.0
BWM-DL07,228.0
excgl,40.0
I1L ,318.0
 I3            ,134.0
 I5            ,214.0
 I6            ,55.0
 M2L           ,147.0
 M3L           ,228.0
 M3R           ,211.0
 MCR           ,65.0
 MI            ,121.0
 NSML          ,202.0
 pm1vl         ,20.0
 pm4vl         ,125.0
I5 ,274.0
I6 ,113.0
M1 ,180.0
 I2L         ,51.0
 M3L         ,68.0
 NSML        ,35.0
 pm4vl       ,67.0
 RIPL        ,141.0
I1R ,435.0
M2L ,207.0
MI ,246.0
I2L ,203.0
I3 ,288.0
I4 ,220.0
M2R ,203.0
M4 ,271.0
NSML ,141.0
M3L ,123.0
ADFL ,779.0
IL1L ,553.0
RIPL ,147.0
RIPR ,141.0
RMED ,304.0
URAVL ,473.0
pm4d ,51.0
pm3vl ,19.0
mc1dl ,30.0
mc1v ,22.0
 I2R           ,126.0
 M1            ,125.0
 M2R           ,64.0
 NSMR          ,202.0
 pm5vr         ,201.0
 I4            ,195.0
 pm5d          ,179.0
 pm5vl         ,186.0
 M4            ,120.0
 NSMR        ,96.0
 I1R         ,95.0
 M1          ,52.0
 M2R         ,112.0
 M2L         ,78.0
 M5          ,66.0
 M4          ,116.0
 pm2d          ,13.0
 I2R         ,81.0
 I3          ,79.0
 pm5d        ,161.0
 M3R         ,58.0
 pm3vr       ,39.0
 pm4vr       ,60.0
 RIPR        ,52.0
 pm5vl       ,112.0
 I5          ,42.0
 MCL         ,14.0
 pm4d        ,84.0
 I1L         ,69.0
 I4          ,59.0
 MI          ,41.0
 pm5vr       ,51.0
 I6          ,17.0
M5 ,108.0
pm3vr ,21.0
pm5vr ,38.0
mc1dr ,23.0
 pm6d          ,11.0
 pm6vr         ,11.0
 pm7vr         ,11.0
 pm6vr       ,31.0
MCL ,10.0
pm4vl ,43.0
pm3d ,20.0
pm6d ,23.0
mc2dl ,33.0
mc2dr ,29.0
pm6vl ,20.0
pm6vr ,24.0
mc3dr ,32.0
mc3v ,24.0
 mc2v          ,9.0
 mc2dr         ,9.0
 AWBL          ,295.0
 ADLL          ,295.0
 AWCR          ,410.0
 URXL          ,682.0
 AUAL          ,280.0
 AIAL          ,755.0
 AIBL          ,1357.0
 AIBR          ,1314.0
 ADAL          ,493.0
 RIAL          ,1677.0
 RIBL          ,817.0
 RIGL          ,853.0
 RIR           ,867.0
 RIVL          ,496.0
 SMBDL         ,615.0
 SMBVL         ,710.0
ASER ,498.0
ASHL ,878.0
SDQR ,731.0
AIAL ,600.0
ADAL ,1002.0
RIGL ,1046.0
RMGL ,1557.0
HSNL ,1164.0
 ASHL        ,176.0
 AWCL        ,67.0
 AFDL        ,185.0
 AIZL        ,222.0
 ADAL        ,136.0
 RIAL        ,128.0
 URBL        ,107.0
ADLL ,1038.0
ASEL ,543.0
ASHR ,1143.0
AFDL ,236.0
AVHR ,1860.0
HSNR ,1858.0
ADFR ,844.0
ADLR ,1034.0
ASIL ,460.0
ASIR ,339.0
AWCL ,461.0
AIAR ,411.0
AIBR ,1334.0
AIZL ,894.0
AIZR ,661.0
AFDR ,168.0
CEPDL ,742.0
AINR ,571.0
IL2L ,467.0
CEPVL ,728.0
URXL ,826.0
URYVL ,768.0
AQR ,1007.0
AUAL ,488.0
AIML ,476.0
RIAL ,1086.0
RIR ,821.0
URBL ,564.0
DVA ,3648.0
PVNR ,2498.0
IL2DL ,307.0
RIBL ,1126.0
ASGL ,137.0
ASKL ,222.0
ASKR ,541.0
AWBL ,530.0
AWCR ,530.0
AVFR ,1300.0
PVQL ,670.0
PVQR ,973.0
FLPL ,783.0
BAGL ,717.0
AIBL ,1199.0
ADAR ,807.0
RIBR ,1204.0
RICR ,855.0
RIGR ,994.0
DVC ,1456.0
PVT ,1678.0
RIML ,1431.0
RIMR ,1190.0
SAADL ,631.0
SAADR ,662.0
SAAVL ,938.0
ASGR ,203.0
SDQL ,819.0
AVBR ,2035.0
RMHR ,313.0
SAAVR ,864.0
SMDVR ,1222.0
VB01 ,444.0
URYDL ,373.0
RIFR ,778.0
RIH ,987.0
SMBDL ,943.0
FLPR ,899.0
BDUL ,293.0
ADEL ,1271.0
RICL ,704.0
PVPL ,1994.0
IL2VL ,258.0
CEPVR ,744.0
BAGR ,376.0
RIAR ,1164.0
AVAL ,4852.0
RMDDL ,588.0
RMDL ,1449.0
RMDR ,577.0
RIVL ,466.0
RIVR ,649.0
SMDDL ,1882.0
SMDDR ,1561.0
SMDVL ,1332.0
OLLL ,452.0
AINL ,355.0
RIS ,1305.0
ADER ,1097.0
AVKR ,1166.0
AVAR ,5450.0
AWAR ,321.0
URXR ,972.0
RMGR ,1442.0
PVPR ,2132.0
SABVL ,157.0
AWBR ,506.0
AVHL ,1820.0
AVKL ,1414.0
SMBDR ,1104.0
CEPDR ,662.0
ALNR ,290.0
URBR ,842.0
SIADL ,577.0
SMBVL ,926.0
PLNL ,306.0
PLNR ,204.0
AVFL ,1450.0
SIAVL ,601.0
SIBDL ,548.0
OLLR ,691.0
URYVR ,577.0
RMEV ,629.0
SIAVR ,545.0
SIBVL ,886.0
OLQDL ,332.0
OLQVL ,287.0
AVDR ,1650.0
AVEL ,1119.0
 ASHR          ,712.0
 AWAR          ,316.0
 AWBR          ,251.0
 AFDR          ,240.0
 AIYR          ,318.0
 AIZR          ,721.0
 RIH           ,759.0
 ASEL          ,327.0
 ASER          ,614.0
 ASGL          ,164.0
 ASHL          ,342.0
 AWCL          ,309.0
 OLQVL         ,371.0
 RIPL          ,464.0
 AVJR          ,1153.0
 AVAL          ,3911.0
 AVAR          ,3453.0
 AVBL          ,2599.0
 AVDL          ,1993.0
 AVDR          ,2329.0
 ADLR          ,669.0
 AIAR          ,403.0
 RICL          ,513.0
 RICR          ,702.0
 AVBR          ,2683.0
 AIYL          ,284.0
 ASGR        ,199.0
 AWBR        ,160.0
 AFDR        ,227.0
 PVQR        ,612.0
 ADFL          ,253.0
 AVFL          ,554.0
 AVHR          ,584.0
 RIML          ,1104.0
 HSNL          ,540.0
 RMGL        ,286.0
 ADFL        ,198.0
 ASHR        ,415.0
 ASKL        ,233.0
 RICL        ,82.0
 AVER          ,2449.0
 HSNR          ,727.0
 ASJR          ,94.0
 ASKR          ,171.0
 CEPDL         ,735.0
 PVQL          ,275.0
 AIML          ,256.0
 AIMR          ,259.0
 RMDVL         ,615.0
 SIBDL         ,212.0
 RMGL          ,677.0
 RMDR          ,1214.0
 URAVL         ,220.0
 dBWML4        ,206.0
 dBWML5        ,422.0
 AVEL          ,2238.0
 RMHL          ,521.0
 BAGR          ,361.0
 RMHR          ,540.0
 SIBDR         ,407.0
 SIBVR         ,487.0
 SMDDL         ,970.0
 SMDDR         ,1102.0
 SMDVR         ,1015.0
 ALML          ,386.0
 SIAVL         ,405.0
 vBWML5        ,267.0
 SDQL          ,189.0
 RID           ,483.0
 DVA           ,1126.0
 SAADL         ,488.0
 vBWMR7        ,398.0
 RIVL        ,179.0
 AIBL        ,415.0
 ALMR        ,164.0
 DVA         ,1172.0
 SDQL        ,147.0
 AVBL        ,1196.0
 RIVR        ,145.0
 SAADL       ,121.0
 SIAVR       ,237.0
 SIBDL       ,170.0
 PVPL          ,520.0
 hyp           ,1118.0
 RIVR          ,431.0
 AIAR        ,227.0
 AWCR        ,98.0
 AWBL        ,122.0
 ASIR        ,79.0
 ASJL        ,120.0
 ASIL        ,50.0
 ADAR        ,166.0
 AVDR        ,652.0
 PVQL        ,468.0
 OLQVL       ,148.0
 AVFR          ,426.0
 AIBR        ,464.0
 OLLL        ,79.0
 RIBL        ,559.0
 RIGR        ,439.0
 OLQDL       ,146.0
 AVKL        ,898.0
 BAGL        ,139.0
 PVPL        ,1646.0
 URYDL       ,120.0
 URYVL       ,33.0
 RMFL        ,158.0
 VD01        ,206.0
 ADLL        ,187.0
 IL2L        ,217.0
 AVEL        ,583.0
 URXL        ,63.0
 RMDDR       ,288.0
 ALML        ,199.0
 AVFR        ,430.0
 RMHL        ,163.0
 vBWML11       ,754.0
 vBWML16       ,546.0
 vBWML15       ,453.0
 vBWMR11       ,530.0
 VC05          ,119.0
 vm2aL         ,119.0
 vm2pR         ,119.0
 HSNR        ,203.0
 ADFR          ,559.0
 ADAR          ,566.0
 RIAR          ,1667.0
 AVHL          ,691.0
 PVPR          ,775.0
 SMBVR         ,673.0
 AWAL          ,93.0
 ADLR        ,65.0
 AWAL        ,75.0
 hyp         ,3367.0
 RIFR          ,516.0
 PVCL          ,1675.0
 IL2R          ,190.0
 ASGL        ,146.0
 AINR          ,66.0
 ASKR        ,376.0
 AIZR        ,168.0
 RICR        ,115.0
 RMGR        ,321.0
 AVHL        ,911.0
 AVAR        ,2395.0
 AVER        ,593.0
 PVQR          ,354.0
 ASEL        ,80.0
 AIYL        ,109.0
 BDUR          ,238.0
 PVNR          ,596.0
 vBWMR10       ,444.0
 AQR           ,439.0
 PVT           ,644.0
 RIMR          ,1123.0
 VA06          ,485.0
 SABD          ,584.0
 vBWMR9        ,383.0
 PHBL        ,452.0
 PHAR        ,380.0
 PHBR        ,461.0
 PVNL        ,832.0
 AVG         ,732.0
 DVC         ,848.0
 PVPR        ,1294.0
 AVJL        ,780.0
 AVJR        ,1053.0
