Sample,Neuron
S1,AINL
S2,AINR
S3,CEPshVR
S4,CEPshDL
S5,CEPshVL
S6,ASIR
S7,CEPshDR
S8,ASJR
S9,PVT
S10,RIAR
S11,RIH
S12,BWM-VR04
S13,RIMR
S14,SMBVR
S15,ADER
S16,ASIL
S17,BDUR
S18,DVC
S19,AVFR
S20,CEPVR
S21,URYVR
S22,ADLR
S23,PVNL
S24,RMFL
S25,AIBR
S26,AVAR
S27,AIBL
S28,AIYR
S29,AUAR
S30,URXR
S31,AFDR
S32,BAGL
S33,ASEL
S34,RID
S35,RIML
S36,AVHR
S37,CEPVL
S38,ASKR
S39,AWCR
S40,ASGR
S41,BAGR
S42,ASJL
S43,URBL
S44,BDUL
S45,IL2DL
S46,PVQL
S47,AWCL
S48,RIS
S49,RIVR
S50,URYVL
S51,RIFL
S52,ASGL
S53,IL2DR
S54,SMBDL
S55,IL1R
S56,BWM-VR01
S57,IL2VR
S58,GLRVL
S59,RMDL
S60,RMDR
