pre_canon,out_degree,out_gap_strength,out_chem_strength,in_degree,in_gap_strength,in_chem_strength,total_degree,total_strength
ADA,598,33.083333333333336,126.42142857142856,598,33.083333333333336,70.07261904761904,1196,262.6607142857143
ADE,598,34.0,182.23333333333332,598,34.0,54.5,1196,304.73333333333335
ADF,598,39.333333333333336,166.59642857142856,598,39.333333333333336,67.95119047619048,1196,313.2142857142857
ADL,598,16.5,192.9309523809524,598,16.5,67.50952380952381,1196,293.4404761904762
AFD,598,48.5,38.05357142857143,598,48.5,53.89285714285714,1196,188.94642857142858
AIA,598,54.08333333333333,104.62857142857143,598,54.08333333333333,218.4309523809524,1196,431.2261904761905
AIB,598,77.83333333333333,181.9047619047619,598,77.83333333333333,316.075,1196,653.6464285714285
AIM,598,16.0,124.90238095238095,598,16.0,40.88333333333333,1196,197.78571428571428
AIN,598,37.166666666666664,101.88690476190476,598,37.166666666666664,23.6,1196,199.82023809523807
AIY,598,28.833333333333332,130.42619047619047,598,28.833333333333332,140.1107142857143,1196,328.2035714285714
AIZ,598,80.0,220.93333333333334,598,80.0,213.8357142857143,1196,594.7690476190476
ALA,299,514.0,169.9,299,514.0,12.75,598,1210.65
ALM,598,33.166666666666664,74.9702380952381,598,33.166666666666664,37.375,1196,178.67857142857142
ALN,598,28.0,48.5,598,28.0,32.885714285714286,1196,137.3857142857143
AQ,299,40.96666666666667,62.05714285714286,299,40.96666666666667,34.8297619047619,598,178.8202380952381
AS1,299,7.0,7.0,299,7.0,9.0,598,30.0
AS10,299,9.5,20.0,299,9.5,16.416666666666664,598,55.416666666666664
AS11,299,40.0,24.333333333333332,299,40.0,25.833333333333332,598,130.16666666666666
AS2,299,3.0,12.0,299,3.0,8.0,598,26.0
AS3,299,6.0,18.0,299,6.0,6.0,598,36.0
AS4,299,1.0,12.0,299,1.0,7.0,598,21.0
AS5,299,3.0,10.0,299,3.0,11.0,598,27.0
AS6,299,6.0,13.0,299,6.0,6.0,598,31.0
AS7,299,15.0,0.0,299,15.0,12.0,598,42.0
AS8,299,7.0,0.0,299,7.0,11.0,598,25.0
AS9,299,12.0,1.0,299,12.0,14.0,598,39.0
ASE,598,34.5,143.84761904761905,598,34.5,85.52619047619048,1196,298.37380952380954
ASG,598,34.5,53.525,598,34.5,38.225,1196,160.75
ASH,598,59.5,185.1642857142857,598,59.5,61.43809523809524,1196,365.60238095238094
ASI,598,17.5,80.09642857142858,598,17.5,30.333333333333332,1196,145.4297619047619
ASJ,598,20.166666666666664,49.5,598,20.166666666666664,26.261904761904763,1196,116.09523809523807
ASK,598,85.66666666666667,88.525,598,85.66666666666667,58.219047619047615,1196,318.07738095238096
AUA,598,30.666666666666668,99.34166666666667,598,30.666666666666664,70.17857142857143,1196,230.8535714285714
AV,299,59.0,40.583333333333336,299,59.0,44.65833333333333,598,203.24166666666667
AVA,598,374.56666666666666,356.56666666666666,598,374.56666666666666,689.6309523809524,1196,1795.3309523809526
AVB,598,131.38333333333333,83.08333333333333,598,131.38333333333333,363.90833333333336,1196,709.7583333333333
AVD,598,98.41666666666667,170.4,598,98.41666666666667,270.6011904761905,1196,637.8345238095238
AVE,598,85.28333333333333,150.75,598,85.28333333333333,357.97857142857146,1196,679.2952380952381
AVF,598,92.5,111.25,598,92.5,84.08333333333333,1196,380.3333333333333
AVG,299,36.0,40.0,299,36.0,28.5,598,140.5
AVH,598,151.0,110.64880952380952,598,151.0,74.70952380952382,1196,487.35833333333335
AVJ,598,98.16666666666667,70.87261904761905,598,98.16666666666667,130.09761904761905,1196,397.30357142857144
