neuron,ffl_resid,cycle3_resid,two_step_out_resid,two_step_in_resid,ffl_masked,cycle3_masked,ffl_masked_resid,cycle3_masked_resid
ADA,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
ADE,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
ADF,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
ADL,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
AFD,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
AIA,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
AIB,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
AIM,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
AIN,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
AIY,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
AIZ,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
ALA,-0.40563516876591377,-0.40300359453106316,-0.032382431815618375,0.2359823023747965,0.0,0.0,0.0,0.0
ALM,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
ALN,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
ASG,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
ASH,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
ASI,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
ASJ,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
ASK,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
AUA,0.04151520249785545,0.04145844235499935,-0.024409636662850842,-0.040581306216583735,0.0,0.0,0.0,0.0
