tuple_index,tuple_label,decoded_pairs,n_pairs
0,"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan","(S0?,S0?);(S0?,AINL);(S0?,AINR);(AINR,S0?);(AINR,AINR)",5
1,"(0, 0)_(0, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan","(S0?,S0?);(S0?,AINL);(AINR,S0?);(AINR,AINL);(AINR,AINR)",5
2,"(0, 0)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan","(S0?,S0?);(AINL,S0?);(AINR,S0?)",3
3,"(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan_nan","(S0?,AINR);(AINL,AINR)",2
4,"(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan","(S0?,AINL);(AINL,S0?);(AINL,AINR)",3
5,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan","(S0?,S0?);(S0?,AINL);(S0?,AINR);(AINL,S0?);(AINL,AINR);(AINR,S0?)",6
6,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan","(S0?,AINL);(S0?,AINR);(AINL,S0?);(AINL,AINL);(AINL,AINR);(AINR,S0?);(AINR,AINL)",7
7,"(0, 0)_(0, 1)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan","(S0?,S0?);(S0?,AINL);(AINL,AINL);(AINL,AINR)",4
8,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan","(S0?,AINL);(S0?,AINR);(AINL,AINL);(AINL,AINR);(AINR,S0?);(AINR,AINR)",6
9,"(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan","(S0?,AINR);(AINL,AINL);(AINL,AINR);(AINR,S0?);(AINR,AINL)",5
10,"(0, 2)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan","(S0?,AINR);(AINL,AINL);(AINR,S0?);(AINR,AINL);(AINR,AINR)",5
11,"(0, 1)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan_nan","(S0?,AINL);(AINL,AINL);(AINR,AINL)",3
12,"(0, 0)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan","(S0?,S0?);(AINL,S0?);(AINR,AINL);(AINR,AINR)",4
13,"(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan","(S0?,AINR);(AINL,AINR);(AINR,S0?);(AINR,AINL);(AINR,AINR)",5
