feature_idx,IG
8,0.11628507
11,0.06558471
2,0.057529114
13,0.044015758
21,0.041417263
19,0.03634098
16,0.03332042
3,0.030667335
27,0.029039498
29,0.0108527485
26,0.010337057
14,0.009144594
23,-0.00031459655
5,-0.00061319314
24,-0.00091698766
20,-0.0092951935
10,-0.0101761855
22,-0.012569381
7,-0.013650115
28,-0.016182868
1,-0.01701466
18,-0.021086538
15,-0.024054658
31,-0.028634254
12,-0.029747648
4,-0.03250697
30,-0.038815018
6,-0.04859619
9,-0.049708225
17,-0.05330867
25,-0.055818193
0,-0.12602809
