gene,integrated_gradients
WBGene00012125,3.8194264e-07
WBGene00001187,3.6245987e-07
WBGene00010039,3.5595406e-07
WBGene00006798,3.4489668e-07
WBGene00022199,3.4138813e-07
WBGene00001683,3.3806242e-07
WBGene00004897,3.3773665e-07
WBGene00020051,3.3713826e-07
WBGene00011977,3.36512e-07
WBGene00008266,3.3496576e-07
WBGene00018764,3.3109907e-07
WBGene00003150,3.30802e-07
WBGene00003391,3.2896634e-07
WBGene00077761,3.28141e-07
WBGene00002222,3.2739248e-07
WBGene00000564,3.26235e-07
WBGene00012317,3.2450725e-07
WBGene00013962,3.2385248e-07
WBGene00004921,3.2319755e-07
WBGene00000368,3.2190403e-07
WBGene00021698,3.2003848e-07
WBGene00004677,3.1957902e-07
WBGene00010840,3.189318e-07
WBGene00012663,3.1883053e-07
WBGene00015934,3.1835228e-07
WBGene00004032,3.1780053e-07
WBGene00014569,3.1779672e-07
WBGene00012341,3.161766e-07
WBGene00219288,3.161675e-07
WBGene00007531,3.1504828e-07
WBGene00022951,3.147839e-07
WBGene00015742,3.139691e-07
WBGene00019943,3.1366463e-07
WBGene00010700,3.121632e-07
WBGene00010537,3.1180795e-07
WBGene00012624,3.1156955e-07
WBGene00008530,3.1106325e-07
WBGene00022864,3.1031533e-07
WBGene00013000,3.0871826e-07
WBGene00008348,3.0819973e-07
WBGene00011225,3.076701e-07
WBGene00013878,3.076151e-07
WBGene00006578,3.0665615e-07
WBGene00021854,3.0646012e-07
WBGene00020324,3.0642715e-07
WBGene00015561,3.0567148e-07
WBGene00016151,3.0547702e-07
WBGene00006752,3.0544186e-07
WBGene00019188,3.052422e-07
WBGene00021564,3.0428805e-07
WBGene00021597,3.0392934e-07
WBGene00007260,3.0360894e-07
WBGene00012100,3.0321138e-07
WBGene00022123,3.0296724e-07
WBGene00004267,3.0296556e-07
WBGene00002027,3.0229623e-07
WBGene00020508,3.013339e-07
WBGene00010476,3.0091022e-07
WBGene00011531,3.0070387e-07
WBGene00011875,3.006718e-07
WBGene00012362,3.0058843e-07
WBGene00002203,2.9980288e-07
WBGene00302971,2.997114e-07
WBGene00007547,2.9922913e-07
WBGene00022410,2.9899218e-07
WBGene00016511,2.9873007e-07
WBGene00000249,2.9838407e-07
WBGene00009334,2.980543e-07
WBGene00008311,2.9796772e-07
WBGene00017675,2.973473e-07
WBGene00003519,2.9686788e-07
WBGene00002261,2.9663562e-07
WBGene00012290,2.961566e-07
WBGene00007119,2.959488e-07
WBGene00006751,2.959014e-07
WBGene00008940,2.9536056e-07
WBGene00009587,2.9520774e-07
WBGene00021333,2.9440548e-07
WBGene00007476,2.9403225e-07
WBGene00013518,2.9383335e-07
WBGene00017715,2.932056e-07
WBGene00235319,2.927045e-07
WBGene00004314,2.9231023e-07
WBGene00022466,2.9198557e-07
WBGene00019128,2.916109e-07
WBGene00004729,2.9152685e-07
WBGene00001224,2.9030537e-07
WBGene00010409,2.9013432e-07
WBGene00018985,2.8980205e-07
WBGene00017423,2.8979684e-07
WBGene00012468,2.8886922e-07
WBGene00011511,2.8822805e-07
WBGene00001946,2.873031e-07
WBGene00016321,2.8720277e-07
WBGene00015430,2.8713015e-07
WBGene00011434,2.8704244e-07
WBGene00017546,2.8704082e-07
WBGene00017298,2.8544233e-07
WBGene00045161,2.8538724e-07
WBGene00005077,2.8531542e-07
WBGene00016138,2.8502419e-07
WBGene00015928,2.846469e-07
WBGene00044304,2.841652e-07
