,Gene_Idx,Saliency
15910,15910,6.767738e-05
21317,21317,6.7141096e-05
12685,12685,6.602791e-05
7365,7365,6.507224e-05
9912,9912,6.506346e-05
10986,10986,6.474637e-05
16798,16798,6.4230524e-05
5367,5367,6.3770625e-05
115,115,6.313782e-05
1237,1237,6.312292e-05
2974,2974,6.278701e-05
5424,5424,6.260064e-05
16209,16209,6.257181e-05
3731,3731,6.242704e-05
8355,8355,6.172323e-05
13752,13752,6.152428e-05
21528,21528,6.1342354e-05
10848,10848,6.092593e-05
17439,17439,6.0922586e-05
12211,12211,6.0850492e-05
6887,6887,6.0716837e-05
13269,13269,6.0677405e-05
8133,8133,6.0646977e-05
9467,9467,6.0593808e-05
9956,9956,6.0541483e-05
10547,10547,6.0532395e-05
20161,20161,6.0508748e-05
5289,5289,6.0351522e-05
3164,3164,6.035108e-05
3894,3894,6.027044e-05
17908,17908,6.0207945e-05
18384,18384,6.0194256e-05
12991,12991,6.0014427e-05
4564,4564,5.9489477e-05
3726,3726,5.9484664e-05
6783,6783,5.9441027e-05
13468,13468,5.938202e-05
9749,9749,5.9352904e-05
5346,5346,5.9273967e-05
13486,13486,5.926748e-05
10204,10204,5.9258295e-05
15806,15806,5.9241924e-05
7449,7449,5.9177863e-05
5734,5734,5.9153143e-05
15027,15027,5.9125436e-05
8117,8117,5.909506e-05
4581,4581,5.9049915e-05
9318,9318,5.8981215e-05
2857,2857,5.8970807e-05
3505,3505,5.8937978e-05
14140,14140,5.8937843e-05
22417,22417,5.886954e-05
4679,4679,5.882189e-05
12384,12384,5.871694e-05
12353,12353,5.8709393e-05
11128,11128,5.8690097e-05
5653,5653,5.8597925e-05
1684,1684,5.8549966e-05
3949,3949,5.8510723e-05
14950,14950,5.8467896e-05
11307,11307,5.834341e-05
11350,11350,5.827973e-05
4106,4106,5.827509e-05
15514,15514,5.8256224e-05
22205,22205,5.8233447e-05
16521,16521,5.8191865e-05
8587,8587,5.816607e-05
3276,3276,5.8165937e-05
15231,15231,5.814514e-05
10292,10292,5.814409e-05
12887,12887,5.813337e-05
16730,16730,5.813145e-05
2685,2685,5.8131016e-05
16899,16899,5.8014037e-05
8108,8108,5.79993e-05
20464,20464,5.7980797e-05
185,185,5.7857098e-05
16267,16267,5.7847275e-05
21380,21380,5.7785917e-05
3116,3116,5.776137e-05
9193,9193,5.773994e-05
19035,19035,5.7703735e-05
14114,14114,5.76946e-05
15202,15202,5.766779e-05
19884,19884,5.7655907e-05
5088,5088,5.7655056e-05
3616,3616,5.764943e-05
22138,22138,5.762078e-05
13918,13918,5.7606667e-05
21122,21122,5.7593727e-05
19593,19593,5.7582165e-05
6094,6094,5.756825e-05
9575,9575,5.755817e-05
595,595,5.7557732e-05
2828,2828,5.7502246e-05
19070,19070,5.7496418e-05
6767,6767,5.7372567e-05
17419,17419,5.7301328e-05
8475,8475,5.7271744e-05
8998,8998,5.726856e-05
16811,16811,5.7266403e-05
20338,20338,5.7224584e-05
17252,17252,5.7209356e-05
5442,5442,5.7207733e-05
13511,13511,5.7202833e-05
14775,14775,5.7171495e-05
10803,10803,5.7171386e-05
4633,4633,5.7170877e-05
19472,19472,5.7136345e-05
10775,10775,5.713338e-05
9105,9105,5.711633e-05
5379,5379,5.7100977e-05
1785,1785,5.708933e-05
4296,4296,5.707254e-05
19598,19598,5.7047335e-05
18735,18735,5.704356e-05
13041,13041,5.7037232e-05
17329,17329,5.7015175e-05
5307,5307,5.700716e-05
10215,10215,5.700416e-05
10856,10856,5.699101e-05
12318,12318,5.6963592e-05
18493,18493,5.6944486e-05
5739,5739,5.6853838e-05
11950,11950,5.682008e-05
21439,21439,5.6792695e-05
8473,8473,5.6781028e-05
12210,12210,5.6778954e-05
4692,4692,5.677779e-05
878,878,5.6777437e-05
2496,2496,5.6763776e-05
21744,21744,5.6758414e-05
3948,3948,5.6753343e-05
3844,3844,5.6685327e-05
4834,4834,5.667667e-05
7547,7547,5.6644367e-05
1093,1093,5.663741e-05
6321,6321,5.6632995e-05
22054,22054,5.662419e-05
2708,2708,5.6619745e-05
2054,2054,5.65943e-05
13313,13313,5.6586952e-05
6592,6592,5.658517e-05
17280,17280,5.6562185e-05
20238,20238,5.6561203e-05
15083,15083,5.6535107e-05
7583,7583,5.65276e-05
15699,15699,5.651686e-05
4452,4452,5.649643e-05
18084,18084,5.646973e-05
6235,6235,5.644866e-05
15765,15765,5.643689e-05
6441,6441,5.6428966e-05
505,505,5.6427725e-05
563,563,5.6416175e-05
20595,20595,5.639119e-05
7733,7733,5.6386118e-05
4477,4477,5.6377783e-05
14327,14327,5.6361972e-05
17632,17632,5.6359724e-05
18006,18006,5.6342946e-05
15016,15016,5.6334822e-05
8687,8687,5.6329656e-05
11174,11174,5.6328772e-05
15028,15028,5.6313827e-05
18509,18509,5.6307133e-05
7815,7815,5.6303696e-05
17164,17164,5.6267607e-05
12319,12319,5.6265806e-05
9046,9046,5.625383e-05
21610,21610,5.622505e-05
11003,11003,5.622237e-05
8266,8266,5.616864e-05
15482,15482,5.615611e-05
5505,5505,5.6150817e-05
5554,5554,5.610404e-05
20734,20734,5.606004e-05
20746,20746,5.603003e-05
12496,12496,5.602758e-05
109,109,5.6025176e-05
3787,3787,5.600433e-05
3468,3468,5.6000823e-05
21190,21190,5.5982076e-05
21151,21151,5.593674e-05
8745,8745,5.588543e-05
12722,12722,5.5878547e-05
7101,7101,5.5869732e-05
6809,6809,5.5851742e-05
15865,15865,5.5823977e-05
17094,17094,5.5818982e-05
21581,21581,5.579429e-05
19251,19251,5.5783756e-05
19898,19898,5.576116e-05
3093,3093,5.574995e-05
14886,14886,5.5729437e-05
8050,8050,5.5706645e-05
17295,17295,5.570361e-05
11249,11249,5.5686243e-05
14924,14924,5.567784e-05
6808,6808,5.566812e-05
2899,2899,5.5665907e-05
13895,13895,5.5655535e-05
22051,22051,5.564676e-05
5687,5687,5.5638662e-05
17415,17415,5.5632827e-05
16953,16953,5.562502e-05
12629,12629,5.5614422e-05
20604,20604,5.560872e-05
21210,21210,5.559614e-05
10638,10638,5.5589324e-05
19808,19808,5.5571094e-05
5518,5518,5.5560424e-05
19834,19834,5.5560384e-05
17179,17179,5.555045e-05
12375,12375,5.5536046e-05
4253,4253,5.551516e-05
12604,12604,5.5508302e-05
5203,5203,5.5496053e-05
16446,16446,5.548947e-05
11281,11281,5.544458e-05
19290,19290,5.5414046e-05
21867,21867,5.541017e-05
5210,5210,5.540842e-05
2593,2593,5.5384007e-05
21400,21400,5.5382763e-05
128,128,5.5376266e-05
11480,11480,5.537488e-05
2165,2165,5.5356933e-05
8883,8883,5.5346867e-05
15004,15004,5.534606e-05
13854,13854,5.5321492e-05
18756,18756,5.5320335e-05
14614,14614,5.5317185e-05
2142,2142,5.531639e-05
16979,16979,5.5309436e-05
2587,2587,5.5302397e-05
12925,12925,5.527833e-05
20951,20951,5.526298e-05
15638,15638,5.5247398e-05
19951,19951,5.5242996e-05
20934,20934,5.522941e-05
21976,21976,5.5219924e-05
8578,8578,5.521591e-05
19437,19437,5.520958e-05
12876,12876,5.516181e-05
4854,4854,5.5159864e-05
4060,4060,5.5159522e-05
5298,5298,5.5149794e-05
12331,12331,5.5134427e-05
14330,14330,5.51177e-05
411,411,5.510927e-05
5266,5266,5.510579e-05
9882,9882,5.510448e-05
18072,18072,5.509289e-05
12845,12845,5.5089862e-05
14878,14878,5.5088974e-05
10970,10970,5.5082874e-05
9971,9971,5.5074717e-05
11220,11220,5.507016e-05
11583,11583,5.503531e-05
