gene,saliency
WBGene00011297,4.0834434e-13
WBGene00000616,3.9644506e-13
WBGene00022861,3.937474e-13
WBGene00010488,3.8241982e-13
WBGene00018949,3.8195426e-13
WBGene00022802,3.808983e-13
WBGene00020531,3.7600324e-13
WBGene00018532,3.7565526e-13
WBGene00011101,3.7313945e-13
WBGene00010638,3.7258944e-13
WBGene00010617,3.7195317e-13
WBGene00015450,3.7192339e-13
WBGene00013637,3.7074467e-13
WBGene00000872,3.7071062e-13
WBGene00000660,3.6765277e-13
WBGene00020104,3.6446535e-13
WBGene00016559,3.6443805e-13
WBGene00015915,3.6315688e-13
WBGene00004156,3.6274578e-13
WBGene00009696,3.622244e-13
WBGene00019510,3.5719748e-13
WBGene00012686,3.5641786e-13
WBGene00022247,3.5641038e-13
WBGene00008336,3.5567496e-13
WBGene00219776,3.541053e-13
WBGene00009540,3.539171e-13
WBGene00020893,3.5369881e-13
WBGene00015605,3.5368298e-13
WBGene00019127,3.5342877e-13
WBGene00009401,3.526621e-13
WBGene00001074,3.521767e-13
WBGene00011491,3.5138697e-13
WBGene00019418,3.512862e-13
WBGene00015926,3.5119629e-13
WBGene00010082,3.5090474e-13
WBGene00021082,3.478443e-13
WBGene00018478,3.477085e-13
WBGene00009289,3.4713177e-13
WBGene00010804,3.4686268e-13
WBGene00196427,3.455201e-13
WBGene00020215,3.4518612e-13
WBGene00235296,3.4478805e-13
WBGene00043743,3.4393026e-13
WBGene00002109,3.437484e-13
WBGene00020437,3.4369683e-13
WBGene00015802,3.433846e-13
WBGene00008285,3.4324778e-13
WBGene00022589,3.4320092e-13
WBGene00023451,3.428225e-13
WBGene00011981,3.4278136e-13
WBGene00018207,3.4276778e-13
WBGene00008088,3.426849e-13
WBGene00016575,3.4183398e-13
WBGene00012066,3.4182116e-13
WBGene00016712,3.4168987e-13
WBGene00001941,3.4147883e-13
WBGene00044535,3.411941e-13
WBGene00003242,3.4111752e-13
WBGene00020862,3.4066535e-13
WBGene00021576,3.4050397e-13
WBGene00000024,3.4048293e-13
WBGene00000527,3.4038874e-13
WBGene00009183,3.4029572e-13
WBGene00003878,3.40029e-13
WBGene00015757,3.3993945e-13
WBGene00284851,3.3991733e-13
WBGene00196486,3.3961018e-13
WBGene00015483,3.3948444e-13
WBGene00008879,3.3948235e-13
WBGene00044897,3.3937642e-13
WBGene00012414,3.3914343e-13
WBGene00016973,3.3854508e-13
WBGene00202315,3.3842392e-13
WBGene00009993,3.3833271e-13
WBGene00015916,3.382836e-13
