,entropy
WBGene00001165,0.38472851136273173
WBGene00021925,0.38537672711984555
WBGene00020296,0.3857349461408467
WBGene00004824,0.3862428692222428
WBGene00003932,0.38653547556875056
WBGene00014472,0.3887343258834554
WBGene00022045,0.39051657018365915
WBGene00021934,0.39082278284220145
WBGene00010964,0.39364610527493615
WBGene00021931,0.3953551450644626
WBGene00019658,0.3965027390624893
WBGene00022048,0.3974142375182909
WBGene00021011,0.3976094133374324
WBGene00017928,0.39767158724664126
WBGene00010960,0.39833103609491494
WBGene00010961,0.39911600953544146
WBGene00004981,0.39995309528101747
WBGene00021950,0.4001426637206377
WBGene00195063,0.40038751000163286
WBGene00002278,0.40052496062576
WBGene00014473,0.40074090316838973
WBGene00044789,0.4010610968500008
WBGene00020300,0.4012271627374561
WBGene00021945,0.40280703033855475
WBGene00021942,0.4031959263249504
WBGene00021936,0.40388977210001353
WBGene00019300,0.404290516202732
WBGene00021941,0.40487950788436183
WBGene00018934,0.40544204317037236
WBGene00022044,0.4066986070569193
WBGene00010962,0.411007846441132
WBGene00006599,0.41474186270902785
WBGene00021927,0.41478979155899687
WBGene00001332,0.4149543763942682
WBGene00206487,0.41679618479345243
WBGene00000829,0.418377639493143
WBGene00021948,0.41973494913136233
WBGene00021401,0.42047946123314617
WBGene00019665,0.4212106154271683
WBGene00019663,0.42255129254623924
WBGene00010966,0.4246532336522373
WBGene00220183,0.42711577981489335
WBGene00019774,0.4287888086399664
WBGene00019069,0.4306903315998107
WBGene00010959,0.4326396738649363
WBGene00010965,0.43580435332343315
WBGene00185088,0.43940017342828996
WBGene00021395,0.44229953871590116
WBGene00019825,0.4509543677583262
WBGene00001788,0.45433290175348723
