,entropy
WBGene00021407,0.0
WBGene00021397,0.0
WBGene00017578,0.0
WBGene00044462,0.0
WBGene00195533,0.0
WBGene00018929,0.0
WBGene00044458,0.0
WBGene00044723,0.0
WBGene00015999,0.11985161254449714
WBGene00001735,0.12159127018674888
WBGene00019660,0.12159127018674888
WBGene00015997,0.12544169648091527
WBGene00045177,0.12917601130788464
WBGene00021400,0.14843533733759134
WBGene00000213,0.15203589178247778
WBGene00001625,0.15203589178247778
WBGene00194844,0.15575015193432507
WBGene00000676,0.15660947768704908
WBGene00015247,0.15830740973229812
WBGene00023131,0.16115695289639764
WBGene00021012,0.16770557146458412
WBGene00015994,0.1678447593605796
WBGene00001728,0.17158053126875025
WBGene00017927,0.17632079540408915
WBGene00006561,0.17709691154134888
WBGene00271786,0.17828629221447787
WBGene00015246,0.17833081341773627
WBGene00001492,0.178481861013474
WBGene00021947,0.18162060231656077
WBGene00019070,0.18818900296867114
WBGene00219399,0.19047679503347975
WBGene00043705,0.19064674313620794
WBGene00020649,0.19166715280710148
WBGene00235265,0.192842742545457
WBGene00219762,0.19304106179598945
WBGene00018931,0.19304106179598945
WBGene00271837,0.19304106179598945
WBGene00015998,0.19304106179598945
WBGene00018926,0.1933979726239517
WBGene00021939,0.19551621941661987
WBGene00020651,0.19668500414140272
WBGene00044457,0.19686019007420566
WBGene00019661,0.196930947755904
WBGene00001111,0.196930947755904
WBGene00022047,0.19796092094281173
WBGene00001666,0.19927887480461248
WBGene00018930,0.2000212094345562
WBGene00018933,0.20056270337515147
WBGene00005487,0.20056270337515147
WBGene00021949,0.20056270337515147
