Motif,Gene,partial_spearman_r,p,q_bh,n_rows
"(0, 1)_(0, 2)_(1, 1)_nan_nan_nan_nan_nan_nan",WBGene00019847,0.6215693065916917,3.18097722195256e-07,0.005710172211127,60
"(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan",WBGene00020563,0.620761828883423,3.3283728423802177e-07,0.0059747620893567,60
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan",WBGene00044143,-0.6055360698653708,7.638521702598508e-07,0.0137119103083345,60
"(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",WBGene00005326,0.600005396751116,1.0220049831019706e-06,0.0183460114516634,60
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",WBGene00003911,-0.5939602418971232,1.3962682784831633e-06,0.0250644118670512,60
"(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",WBGene00010614,-0.5938184368888002,1.4064187268412972e-06,0.0252466225655281,60
"(0, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00086558,-0.5843057055361821,2.268608172136408e-06,0.0407237852980206,60
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",WBGene00200072,0.5820697116568082,2.532891467815473e-06,0.0454679347387555,60
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",WBGene00018423,-0.5813145043036184,2.628452477122396e-06,0.0471833504168241,60
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",WBGene00011606,-0.5780058430300009,3.088100188180703e-06,0.0554344864780318,60
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan",WBGene00003919,-0.5755194514799523,3.481661674853612e-06,0.0624993087252971,60
"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan",WBGene00015112,-0.5741397202962443,3.719726855585231e-06,0.0667728167846104,60
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan",WBGene00014753,0.5737350034551791,3.792382012211145e-06,0.0680770495012022,60
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",WBGene00000694,-0.5734993280452206,3.8352972226713615e-06,0.0688474204441736,60
"(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00015424,0.5734468156894148,3.84492083324339e-06,0.069020173877552,60
"(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",WBGene00017292,-0.571028021163222,4.313367766229356e-06,0.0774292647715831,60
"(0, 0)_(0, 1)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan",WBGene00021021,-0.5690778534418467,4.72916540762115e-06,0.0848932482322072,60
"(0, 2)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan",WBGene00006707,0.5658748167917304,5.493871852844849e-06,0.0986204936304178,60
"(0, 1)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan_nan",WBGene00022353,-0.5658029350393664,5.512283530523374e-06,0.098951001656425,60
"(0, 0)_(0, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",WBGene00005309,0.5616685634272539,6.6731950106264e-06,0.0642422433896812,60
"(0, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",WBGene00016474,0.5614260485059336,6.747890052518116e-06,0.1211313743327527,60
"(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",WBGene00015684,-0.5609629734917273,6.892680531604075e-06,0.1237305082228247,60
"(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",WBGene00003763,0.5603850776783875,7.077421067277473e-06,0.1270467855786979,60
"(0, 0)_(0, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",WBGene00012426,0.5601388869601134,7.1575113798319045e-06,0.0642422433896812,60
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan",WBGene00001673,-0.5573793438693442,8.114734530712405e-06,0.1456675995608183,60
"(0, 1)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00018813,-0.5547675665520869,9.128955675290384e-06,0.1638738833271377,60
"(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan",WBGene00005110,-0.5547062971914672,9.154102503827731e-06,0.1643252940462116,60
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",WBGene00007506,-0.553659016527893,9.59400406170476e-06,0.086110983455831,60
