,,0
"(0, 1)","(0, 2)",304
"(0, 1)","(0, 2)",31664
"(0, 1)","(2, 1)",22336
"(0, 1)","(0, 2)",333
"(0, 1)","(0, 2)",59
"(0, 1)","(2, 1)",354
"(0, 1)","(2, 0)",236
"(0, 2)","(1, 1)",538
"(0, 2)","(1, 2)",18187
"(0, 2)","(1, 0)",386
"(0, 1)","(0, 2)",357
"(0, 1)","(2, 0)",1859
"(0, 1)","(0, 2)",1078
"(0, 1)","(0, 2)",58
"(0, 1)","(1, 2)",1452
"(0, 1)","(1, 2)",6
"(0, 1)","(2, 0)",44
"(0, 1)","(1, 2)",173
"(0, 1)","(1, 2)",685
"(0, 1)","(0, 2)",73
"(0, 1)","(0, 2)",141
"(0, 1)","(0, 2)",343
"(0, 2)","(1, 0)",1642
"(0, 1)","(0, 2)",1027
"(1, 2)","(2, 0)",209
"(1, 0)","(1, 1)",366
"(1, 2)","(2, 0)",1649
"(0, 2)","(1, 2)",271
"(0, 2)","(1, 1)",277
"(0, 2)","(2, 1)",1745
"(0, 2)","(1, 2)",702
"(0, 1)","(0, 2)",64
"(0, 1)","(0, 2)",316
"(0, 1)","(0, 2)",35
"(0, 2)","(1, 2)",219
"(0, 1)","(1, 1)",258
"(0, 1)","(0, 2)",56
"(0, 1)","(1, 1)",417
"(0, 2)","(2, 1)",315
"(0, 1)","(1, 1)",448
"(0, 1)","(1, 1)",27
"(0, 1)","(1, 1)",17
"(0, 2)","(1, 1)",27
"(0, 2)","(1, 0)",43
"(0, 1)","(0, 2)",59
"(0, 1)","(1, 1)",262
"(0, 1)","(0, 2)",13
"(0, 1)","(0, 2)",51
"(0, 1)","(0, 2)",152
"(0, 1)","(0, 2)",32
"(0, 2)","(1, 0)",178
"(0, 1)","(0, 2)",16
"(0, 1)","(0, 2)",37
"(0, 2)","(1, 1)",204
"(0, 2)","(1, 1)",112
"(0, 2)","(1, 2)",675
"(0, 1)","(0, 2)",311
"(0, 1)","(1, 2)",113
"(0, 2)","(1, 1)",152
"(2, 0)","(2, 1)",42392
"(1, 0)","(1, 2)",1057
"(0, 1)","(1, 0)",384
"(1, 1)","(1, 2)",101
"(1, 2)","(2, 0)",270
"(2, 0)","(2, 1)",377
"(1, 0)","(1, 1)",31
"(1, 0)","(1, 2)",63
"(0, 1)","(1, 0)",116
"(0, 1)","(1, 0)",14
"(1, 0)","(1, 1)",495
"(1, 0)","(1, 1)",49
"(0, 1)","(1, 0)",135
"(1, 0)","(1, 1)",779
"(1, 0)","(1, 1)",157
"(1, 0)","(1, 1)",27
"(1, 0)","(1, 1)",141
"(0, 2)","(1, 0)",26
"(0, 2)","(1, 0)",156
"(0, 2)","(1, 0)",22
"(1, 0)","(1, 2)",35907
"(0, 1)","(1, 0)",1043
"(0, 2)","(2, 0)",1034
"(1, 0)","(2, 1)",260
