MotifID,Count
"(0, 0)+(0, 1)",7130
"(0, 0)+(0, 2)",3353
"(0, 0)+(1, 0)",1672
"(0, 0)+(1, 1)",170
"(0, 0)+(1, 2)",404
"(0, 0)+(2, 0)",427
"(0, 1)+(0, 2)",38858
"(0, 1)+(1, 0)",4842
"(0, 1)+(1, 1)",1596
"(0, 1)+(1, 2)",2541
"(0, 1)+(2, 0)",2547
"(0, 1)+(2, 1)",22690
"(0, 2)+(1, 0)",4330
"(0, 2)+(1, 1)",1697
"(0, 2)+(1, 2)",20612
"(0, 2)+(2, 0)",1166
"(0, 2)+(2, 1)",2060
"(1, 0)+(1, 1)",2911
"(1, 0)+(1, 2)",38385
"(1, 0)+(2, 0)",21988
"(1, 0)+(2, 1)",2182
"(1, 1)+(1, 2)",888
"(1, 1)+(2, 0)",601
"(1, 2)+(2, 0)",3289
"(2, 0)+(2, 1)",42769
nan+nan,0
