Neuron,reciprocal,chain,feedforward,divergent,convergent
AINL,1,1,1,1,1
CEPshVR,0,1,0,0,1
AINR,1,1,1,1,1
CEPshDL,0,1,0,0,1
ALA,1,1,1,1,1
CEPshVL,0,1,0,0,1
ASIR,1,1,1,1,1
CEPshDR,0,1,0,0,1
ASJL,1,1,1,1,1
ASJR,1,1,1,1,1
AVL,1,1,1,1,1
GLRL,0,1,0,0,1
RMEL,1,1,1,1,1
GLRR,0,1,0,0,1
RMER,1,1,1,1,1
IL1DL,1,1,1,1,1
BWM-DL01,0,1,0,0,1
BWM-DL02,1,1,0,1,1
IL1DR,1,1,1,1,1
BWM-DR01,0,1,0,0,1
BWM-DR02,1,1,0,1,1
GLRDR,0,1,0,0,1
IL1L,1,1,1,1,1
BWM-VL02,0,1,0,0,1
IL1R,1,1,1,1,1
BWM-VR02,1,1,0,1,1
IL1VL,1,1,1,1,1
BWM-VL01,0,1,0,0,1
IL1VR,1,1,1,1,1
BWM-VR01,0,1,0,0,1
IL2DR,1,1,1,1,1
IL2VR,1,1,1,1,1
GLRVR,0,1,0,0,1
PVQR,1,1,1,1,1
PVT,1,1,1,1,1
RIAR,1,1,1,1,1
GLRVL,0,1,0,0,1
RIBL,1,1,1,1,1
RIBR,1,1,1,1,1
RICL,1,1,1,1,1
excgl,0,1,0,0,1
RIGR,1,1,1,1,1
RIH,1,1,1,1,1
RIML,1,1,1,1,1
BWM-VR04,1,1,0,1,1
RIMR,1,1,1,1,1
BWM-VL04,1,1,0,0,1
RIR,1,1,1,1,1
RIVR,1,1,1,1,1
RMDDL,1,1,1,1,1
BWM-DR03,0,1,0,0,1
BWM-DR04,1,1,0,0,1
RMDDR,1,1,1,1,1
BWM-DL03,0,1,0,0,1
BWM-DL04,0,1,0,0,1
RMDL,1,1,1,1,1
RMDR,1,1,1,1,1
BWM-DL06,0,1,0,0,1
RMDVL,1,1,1,1,1
BWM-VR03,0,1,0,0,1
RMDVR,1,1,1,1,1
BWM-VL03,1,1,1,1,1
RMED,1,1,1,1,1
RMEV,1,1,1,1,1
SMBDL,1,1,1,1,1
BWM-DL05,0,1,0,0,1
BWM-DR05,0,1,0,0,1
BWM-DR08,0,1,0,0,1
GLRDL,0,1,0,0,1
SMBDR,1,1,1,1,1
SMBVL,1,1,1,1,1
SMBVR,1,1,1,1,1
SMDDL,1,1,1,1,1
SMDDR,1,1,1,1,1
SMDVL,1,1,1,1,1
SMDVR,1,1,1,1,1
URADL,1,1,1,1,1
URADR,1,1,1,1,1
URAVL,1,1,1,1,1
URAVR,1,1,1,1,1
URBL,1,1,1,1,1
URBR,1,1,1,1,1
BWM-DR06,1,1,1,1,1
URYVL,1,1,1,1,1
ADEL,1,1,1,1,1
ADER,1,1,1,1,1
ADLL,1,1,1,1,1
AIAR,1,1,1,1,1
AIML,1,1,1,1,1
AIMR,1,1,1,1,1
CANR,0,1,0,0,1
ALML,1,1,1,1,1
ASIL,1,1,1,1,1
BDUL,1,1,1,1,1
BDUR,1,1,1,1,1
DVC,1,1,1,1,1
