trial,003,012,102,021D,021U,021C,111D,111U,030T,030C,201,120D,120U,120C,210,300
0,0,0,0,70559,89659,146420,16326,14817,13155,3795,912,893,916,1640,308,7
1,0,0,0,69750,88461,144560,17127,15331,13172,3625,1032,898,998,1750,321,19
2,0,0,0,69034,88124,143681,17709,15665,12692,3558,1204,977,997,1837,368,18
3,0,0,0,69746,88470,144011,18078,15916,12829,3643,1107,934,959,1772,310,18
4,0,0,0,68251,87590,142165,17926,15890,12538,3544,1049,1034,1040,1773,348,10
5,0,0,0,67278,86110,140203,18005,16071,12025,3418,1269,949,977,1804,394,12
6,0,0,0,68697,88220,143104,17011,15327,12858,3607,1013,945,1008,1783,326,13
7,0,0,0,69221,87487,142925,17117,15139,12209,3562,1078,901,937,1752,340,9
8,0,0,0,68342,86943,141043,17778,16386,12364,3488,1198,993,1029,1893,398,19
9,0,0,0,68431,87545,142608,17123,15498,12698,3592,1140,996,1049,1843,336,17
10,0,0,0,68888,87345,142900,16871,15071,12581,3521,952,911,932,1705,329,8
11,0,0,0,68397,87995,143362,17636,15696,12714,3454,1050,963,998,1837,345,18
12,0,0,0,69218,88629,144158,17087,15649,12748,3569,1099,955,987,1775,347,9
13,0,0,0,70423,89219,145978,16117,14882,13101,3776,982,919,980,1707,329,13
14,0,0,0,69336,88767,144939,16665,14895,12715,3514,1011,930,979,1742,333,15
15,0,0,0,69913,88191,144455,16915,15173,13132,3675,1032,935,961,1749,305,6
16,0,0,0,68622,87378,142574,18144,16610,12287,3473,1206,950,1033,1893,353,13
17,0,0,0,69362,87891,143864,17752,15993,12776,3543,1146,954,1033,1814,329,17
18,0,0,0,69480,89109,145047,16801,15136,12954,3695,974,916,1022,1760,356,10
19,0,0,0,67078,86000,139859,18863,16447,11901,3236,1238,1035,983,1875,444,16
20,0,0,0,69784,88808,145687,17649,15577,12762,3466,1103,927,1061,1752,376,12
21,0,0,0,69107,86936,142841,18814,16449,12665,3451,1139,1036,1004,1817,392,13
22,0,0,0,68781,87479,143821,15988,14416,12806,3427,882,877,923,1676,257,7
23,0,0,0,68735,87259,141895,17360,15374,12464,3475,1110,971,994,1755,365,19
24,0,0,0,69719,88412,145267,16122,14242,12837,3631,843,851,863,1602,258,11
25,0,0,0,68922,88233,143639,17067,15582,12765,3536,1009,928,956,1776,331,12
26,0,0,0,68504,87472,142918,17761,15942,12398,3381,1078,954,963,1795,361,12
27,0,0,0,68544,87600,142067,17802,16125,12659,3630,1147,975,1061,1901,398,19
28,0,0,0,68340,86607,141429,18121,15788,12391,3459,1132,1016,1018,1830,384,24
29,0,0,0,67785,85965,140678,18555,16189,12156,3274,1202,1012,1080,1843,383,18
30,0,0,0,67783,86685,141247,17946,16120,12442,3381,1220,972,1032,1890,438,23
31,0,0,0,70098,89023,145652,16870,14661,13190,3686,916,903,864,1587,257,10
32,0,0,0,68076,86625,141540,17780,15766,12538,3592,1180,1020,974,1816,370,20
33,0,0,0,70074,90125,146976,16147,14388,13487,3755,891,872,940,1690,291,18
34,0,0,0,68533,87610,143121,17340,15547,12653,3461,1164,944,976,1788,336,11
35,0,0,0,67435,87395,141657,18292,15861,12371,3504,1136,986,979,1741,388,12
36,0,0,0,68581,87430,142091,17555,15820,12699,3487,1130,952,1073,1807,346,15
37,0,0,0,70113,89127,145632,17510,15568,12923,3628,1044,973,949,1805,360,13
38,0,0,0,69099,88510,144526,17193,15639,12807,3555,1095,909,996,1731,348,11
39,0,0,0,71015,90028,148104,15556,14166,13541,3741,883,934,924,1667,270,6
40,0,0,0,67404,86072,140702,17811,15907,12271,3401,1148,995,1021,1770,345,16
41,0,0,0,67737,87720,142379,17234,15248,12643,3518,1052,949,950,1688,359,11
42,0,0,0,67982,86499,141048,18416,16375,12180,3411,1290,1002,1062,1874,406,13
43,0,0,0,68078,87440,141916,17161,15498,12290,3545,1059,973,991,1805,357,11
44,0,0,0,69180,88231,143882,17539,15530,12425,3542,1092,994,937,1789,315,13
45,0,0,0,69021,87560,142782,18256,15915,12622,3633,1153,995,964,1794,348,11
46,0,0,0,69743,89103,145854,16743,14701,12947,3554,960,914,888,1744,303,12
47,0,0,0,69291,89001,145093,16716,14530,12865,3723,956,883,887,1652,265,12
48,0,0,0,68597,87489,142918,16889,15113,12498,3558,1074,961,995,1742,339,10
49,0,0,0,69589,88675,144323,18016,16126,12843,3565,1141,934,1083,1779,363,12
50,0,0,0,69720,88088,144431,17677,15812,13008,3531,1086,1020,979,1923,337,11
51,0,0,0,70409,89308,145710,15764,14046,13128,3801,860,929,911,1673,272,7
