Neuron,total_3node_motifs,as_source,as_target
AINL,378,63,23
CEPshVR,300,0,35
AINR,435,54,8
CEPshDL,136,0,16
ALA,136,9,3
CEPshVL,276,0,39
ASIR,190,59,44
CEPshDR,105,0,12
ASJL,136,35,23
ASJR,153,47,33
AVL,105,16,17
GLRL,28,0,3
RMEL,561,32,103
GLRR,55,0,12
RMER,595,28,103
IL1DL,300,33,26
BWM-DL01,66,0,18
BWM-DL02,78,6,29
IL1DR,378,58,69
BWM-DR01,66,0,17
BWM-DR02,153,15,43
GLRDR,15,0,1
IL1L,630,70,51
BWM-VL02,78,0,16
IL1R,703,95,81
BWM-VR02,91,11,30
IL1VL,325,26,45
BWM-VL01,66,0,19
IL1VR,253,22,57
BWM-VR01,78,0,25
IL2DR,231,26,1
IL2VR,210,32,6
GLRVR,15,0,3
PVQR,325,111,70
PVT,741,176,96
RIAR,1770,180,198
GLRVL,36,0,8
RIBL,1953,375,324
RIBR,1596,269,250
RICL,1225,168,107
excgl,0,0,0
RIGR,1596,300,283
RIH,2850,242,129
RIML,2926,532,479
BWM-VR04,210,13,56
RIMR,1953,357,275
BWM-VL04,120,4,34
RIR,1326,330,265
RIVR,946,68,72
RMDDL,1540,124,280
BWM-DR03,45,0,9
BWM-DR04,136,17,42
RMDDR,1596,129,292
BWM-DL03,55,0,17
BWM-DL04,78,0,29
RMDL,1711,268,280
RMDR,1596,226,278
BWM-DL06,28,0,13
RMDVL,1378,56,171
BWM-VR03,55,0,16
RMDVR,990,37,142
BWM-VL03,78,9,22
RMED,861,57,145
RMEV,780,38,79
SMBDL,1035,34,33
BWM-DL05,28,0,8
BWM-DR05,45,0,10
BWM-DR08,10,0,3
GLRDL,15,0,2
SMBDR,903,21,44
SMBVL,780,12,58
SMBVR,741,19,50
SMDDL,903,112,127
SMDDR,1081,144,184
SMDVL,861,59,126
SMDVR,946,119,178
URADL,105,8,4
URADR,136,10,5
URAVL,171,12,12
URAVR,190,18,20
URBL,990,173,70
URBR,465,77,24
BWM-DR06,55,11,21
URYVL,496,45,59
ADEL,1540,232,82
ADER,1596,217,43
ADLL,861,188,113
AIAR,1081,265,310
AIML,630,110,27
AIMR,946,220,127
CANR,1,0,0
ALML,253,45,30
ASIL,325,87,23
BDUL,820,125,68
BDUR,378,119,103
DVC,903,213,115
IL2DL,276,31,5
IL2VL,153,27,3
PVQL,406,92,95
BWM-VR08,10,2,0
BWM-VL06,28,5,9
RIVL,703,58,59
BWM-VR05,36,12,15
BWM-VR06,21,0,7
BWM-VR07,6,0,1
BWM-VL05,36,2,9
BWM-VL07,10,0,3
BWM-VL08,3,0,0
BWM-DL07,21,3,7
RMGL,2211,229,148
BWM-DL08,6,0,2
RMGR,1711,148,110
RMHL,406,47,58
RMHR,666,63,72
BWM-DR07,10,0,3
URYDL,496,63,43
URYDR,253,30,32
I1L ,210,0,0
 I2L           ,15,0,0
 I3            ,21,0,0
 I5            ,45,0,0
 I6            ,3,0,0
 M2L           ,21,0,0
 M3L           ,55,0,0
 M3R           ,45,0,0
 MCL           ,15,0,0
 MCR           ,3,0,0
 MI            ,15,0,0
 NSML          ,45,0,0
 pm1vl         ,0,0,0
 pm3vl         ,3,0,0
 pm4d          ,66,0,0
 pm4vl         ,21,0,0
I1R ,300,0,0
 I2R           ,21,0,0
 M1            ,15,0,0
 M2R           ,3,0,0
 NSMR          ,45,0,0
 pm1vr         ,1,0,0
 pm3vr         ,1,0,0
 pm4vr         ,10,0,0
 pm5vr         ,45,0,0
I2L ,105,0,0
 I1L           ,6,0,0
 I4            ,45,0,0
 pm5d          ,45,0,0
 pm5vl         ,45,0,0
I2R ,231,0,0
 I1R           ,1,0,0
 M4            ,21,0,0
I3 ,171,0,0
I4 ,105,0,0
I5 ,153,0,0
I6 ,45,0,0
M1 ,91,0,0
 pm2d          ,0,0,0
M2L ,105,0,0
M2R ,105,0,0
M3L ,45,0,0
M3R ,28,0,0
M4 ,153,0,0
M5 ,66,0,0
 pm6d          ,0,0,0
 pm6vl         ,0,0,0
 pm6vr         ,0,0,0
 pm7d          ,0,0,0
 pm7vr         ,0,0,0
MCL ,3,0,0
 mc2dr         ,1,0,0
 mc2v          ,1,0,0
MCR ,21,0,0
 mc2dl         ,0,0,0
MI ,136,0,0
NSML ,55,0,0
NSMR ,105,0,0
ADFL ,378,0,0
 ADLL          ,36,0,0
 AWBL          ,36,0,0
 AWCR          ,91,0,0
 AFDL          ,45,0,0
 URXL          ,153,0,0
 AUAL          ,28,0,0
 AIAL          ,231,0,0
 AIBL          ,528,0,0
 AIBR          ,496,0,0
 AIZL          ,253,0,0
 ADAL          ,105,0,0
 RIAL          ,630,0,0
 RIBL          ,253,0,0
 RIGL          ,190,0,0
 RIGR          ,105,0,0
 RIR           ,210,0,0
 RIVL          ,78,0,0
 SMBDL         ,120,0,0
 SMBVL         ,171,0,0
 SMDVL         ,378,0,0
ADFR ,465,0,0
 ADFR          ,120,0,0
 ASHR          ,153,0,0
 AWAR          ,55,0,0
 AWBR          ,28,0,0
 AFDR          ,36,0,0
