Motif,partial_spearman_r,p,q_bh,n_rows
_0_0___0_2___1_0___1_2___2_0___2_1__nan_nan_nan,0.3865101748358747,0.0032565391880126,0.968618255764092,60
_0_2___1_0___1_1___2_0__nan_nan_nan_nan_nan,0.3607216836072296,0.0063118534408495,0.9997635227784126,60
_0_2___1_1___1_2___2_2__nan_nan_nan_nan_nan,-0.3374598682063931,0.0109763284489159,0.9943340316763072,60
_1_0___1_1___1_2___2_1__nan_nan_nan_nan_nan,0.3365832136614481,0.0111989374447806,0.94754100644835,60
_0_0___0_1___0_2___1_0___2_0__nan_nan_nan_nan,0.3229875901799773,0.0151836919724221,0.9857482963799712,60
_1_0___1_1___2_1__nan_nan_nan_nan_nan_nan,0.2982535933923279,0.0255707776816502,0.983565175290319,60
_0_0___0_1___0_2___1_1___1_2___2_1__nan_nan_nan,0.2950412474169109,0.0272802381976468,0.9942879735026908,60
_0_0___0_1___1_0___2_0___2_1__nan_nan_nan_nan,0.2926020544636747,0.028641383660636,0.9992809287014052,60
_0_2___1_0___1_1__nan_nan_nan_nan_nan_nan,0.2864492647252367,0.0323292528134763,0.9989688277303675,60
_0_0___1_1___1_2___2_0___2_1__nan_nan_nan_nan,0.2839247324804959,0.0339527728514932,0.9925050819581126,60
_0_2___1_0___1_1___1_2___2_0__nan_nan_nan_nan,0.2838538959612552,0.0339992869776159,0.9978876127016216,60
_0_1___0_2___1_2___2_0__nan_nan_nan_nan_nan,0.2809217814482895,0.0359715978043786,0.9954470602744036,60
_0_2___1_0___1_1___1_2___2_0___2_1__nan_nan_nan,0.280796456279858,0.0360579679566575,0.9984027045032898,60
_0_0___0_1___0_2___2_0__nan_nan_nan_nan_nan,0.2792374461149958,0.0371468259991092,0.9999666984733024,60
_0_0___0_1___1_0___2_0__nan_nan_nan_nan_nan,0.2769524611905087,0.0387917654101144,0.9999783564679244,60
_0_1___1_2___2_0__nan_nan_nan_nan_nan_nan,0.2754423249895592,0.0399115583390017,0.9997725364864962,60
_0_0___0_2___1_1___2_1__nan_nan_nan_nan_nan,0.274850899003306,0.0403573126947616,0.9914622932069658,60
_0_1___2_0___2_1___2_2__nan_nan_nan_nan_nan,0.2667042487742831,0.0469259180454902,0.9974565663891776,60
_0_0___0_1___0_2___1_0___2_1___2_2__nan_nan_nan,0.2660896311646091,0.0474550185370522,0.9767726574101516,60
_0_1___1_0___1_2___2_0___2_2__nan_nan_nan_nan,0.2638507624831451,0.049423745241117,0.9760716885751306,60
_0_2___1_0___2_0___2_1___2_2__nan_nan_nan_nan,0.2574928142536983,0.0553800029775461,0.9706049624535772,60
_0_0___0_1___1_0___1_2___2_0__nan_nan_nan_nan,0.2555608459069272,0.0573008804394117,0.9935555122655496,60
_0_0___1_1___1_2___2_0__nan_nan_nan_nan_nan,0.2510724330501919,0.0619717492745289,0.9895811350836704,60
_0_1___0_2___1_0___2_2__nan_nan_nan_nan_nan,-0.2401604777939358,0.074609870383946,0.9982457290236376,60
_0_0___1_0___2_0___2_1__nan_nan_nan_nan_nan,0.2366021952237649,0.0791470258973012,0.9922398167594596,60
_0_0___0_1___1_0___1_2___2_2__nan_nan_nan_nan,0.2343353433973702,0.0821493773903025,0.9833529095997162,60
