Neuron,SegmentClass,Index1,Index2,Morphology,Flag1,Flag2,Flag3,__SourceFile
NSML,A,1,1,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,2,2,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,3,3,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,4,4,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,5,5,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,6,6,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,7,7,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,8,8,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,9,9,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,10,10,M,bm,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,10,10,M,m5,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,11,11,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,12,12,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,13,13,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,14,14,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,15,15,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,16,16,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,17,17,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,18,18,R,I4,-,af11,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,19,19,R,I2,-,af11,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,A,20,20,R,I1,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,21,21,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,22,22,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,23,23,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,24,24,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,25,25,M,bm,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,25,25,M,m5,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,26,26,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,27,27,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,28,28,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,29,29,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,30,30,M,-,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,31,31,S,I6,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,32,32,-,M3,v,af1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,33,33,R,I6,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,34,34,R,I3,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,B,35,35,R,I2,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
NSML,D,36,36,R,I2,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/NSML_AF.txt
I4,A,1,1,R,M1,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/I4_AF.txt
I4,A,2,2,S,M1,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/I4_AF.txt
I4,A,2,3,R,M1,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/I4_AF.txt
I4,A,3,4,R,I2,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/I4_AF.txt
I4,A,3,5,S,M3,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/I4_AF.txt
I4,B,4,6,R,I2,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/I4_AF.txt
I4,B,5,7,S,M3,-,-,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/Albertson_Fig/neurons/I4_AF.txt
