Neuron1,Neuron2,Count,__SourceFile
PVR,PDE,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVR_WT.txt
PVR,PVC,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVR_WT.txt
PVR,DVA,2,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVR_WT.txt
PVR,PVM,2,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVR_WT.txt
PVQ,PHA,4,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVQ_WT.txt
PVQ,VC3,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVQ_WT.txt
PVQ,AVH,2,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVQ_WT.txt
PVQ,AVF,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVQ_WT.txt
PVQ,AVG,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVQ_WT.txt
PVT,PVW,2,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVT_WT.txt
AVG,PHA,6,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVG_WT.txt
AVG,AVF,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVG_WT.txt
AVG,PVN,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVG_WT.txt
AVJ,PVN,4,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVJ_WT.txt
AVJ,AVF,2,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVJ_WT.txt
AVJ,AVH,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVJ_WT.txt
AVJ,LUA,2,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVJ_WT.txt
AVJ,PVW,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVJ_WT.txt
AVJ,AVG,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVJ_WT.txt
PVP,DVB,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVP_WT.txt
PVP,VC3,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVP_WT.txt
PVP,AVG,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVP_WT.txt
PVP,VC1,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/PVP_WT.txt
AVE,AVA,3,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVE_WT.txt
AVE,PVC,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVE_WT.txt
AVE,AVJ,2,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVE_WT.txt
AVE,AVB,1,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVE_WT.txt
AVE,AVG,2,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/AVE_WT.txt
