feature,motif,beta,se,t,p,q,n
PC30,"(0, 1)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",-0.231655349404852,0.0194362114287522,-11.918750228357853,0.0,0.0,222
PC9,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",0.257370101879495,0.017947108027254,14.340477668527964,0.0,0.0,222
PC13,"(0, 0)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",-0.1971736950938738,0.0163904594590203,-12.029784496697609,0.0,0.0,222
PC36,"(0, 0)_(0, 1)_(0, 2)_nan_nan_nan_nan_nan_nan",0.2106792984258919,0.0225578084436868,9.339528658195237,0.0,0.0,222
PC33,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",0.3055861022049804,0.0168551621527001,18.13011939229704,0.0,0.0,222
PC72,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",0.2099863703944951,0.0186566332741792,11.255319612521731,0.0,0.0,222
PC18,"(0, 0)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",0.1705729367360869,0.0173253545016324,9.845278301232746,0.0,0.0,222
PC34,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",-0.1742318415157112,0.0153595197931055,-11.343573488145047,0.0,0.0,222
PC10,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",-0.2253281034564217,0.0238875634256279,-9.43286259220046,0.0,0.0,222
PC99,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",0.2110431541789538,0.0171274046045079,12.32195764928725,0.0,0.0,222
PC30,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",0.255596400240025,0.0212878210621941,12.006696199356352,0.0,0.0,222
PC31,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",0.2129276092996507,0.0198583650523459,10.722313178269246,0.0,0.0,222
PC16,"(0, 0)_(0, 1)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan",-0.2481681806658177,0.0203016623780678,-12.224032497649915,0.0,0.0,222
PC7,"(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",0.2086677588695324,0.0230380395039805,9.05753108173456,0.0,0.0,222
PC93,"(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",0.3607985242843354,0.0175295730356298,20.582276793107912,0.0,0.0,222
PC31,"(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",-0.1001094290186523,0.0090330118800367,-11.082618992220862,0.0,0.0,222
PC88,"(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",0.1112783859669978,0.0101220582096559,10.99365204804334,0.0,0.0,222
PC35,"(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",0.0863086580524323,0.0086361503866328,9.993880859928325,0.0,0.0,222
PC89,"(0, 0)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan",0.2281850359611012,0.0227591019665298,10.026100164087174,0.0,0.0,222
PC43,"(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",-0.1169729487453402,0.0118067284176443,-9.907312560059598,0.0,0.0,222
PC12,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",-0.195004149890341,0.018380979217231,-10.60901857217362,0.0,0.0,222
PC10,"(0, 0)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",-0.2032639099253933,0.0206926445503887,-9.823003020731583,0.0,0.0,222
PC75,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",-0.2115988707478251,0.0205760461952981,-10.28374784637573,0.0,0.0,222
PC78,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",0.180863797053161,0.0192418133881616,9.399519338672931,0.0,0.0,222
PC10,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan",-0.2423757844748978,0.0205397985657626,-11.800299973676882,0.0,0.0,222
PC13,"(0, 0)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",0.336649074964152,0.0179473186035038,18.757625158469565,0.0,0.0,222
PC34,"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan",0.2300179402597709,0.0129853719641928,17.713619670968683,0.0,0.0,222
PC10,"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan",-0.237763830856475,0.0185661814592725,-12.806286062540238,0.0,0.0,222
PC9,"(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",0.3213415709207456,0.0179123407830425,17.93967493209804,0.0,0.0,222
PC4,"(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",-0.3175093550856981,0.0224126742377586,-14.166509168762648,0.0,0.0,222
PC1,"(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",0.3432427998267424,0.0203041327205254,16.905070733691485,0.0,0.0,222
PC1,"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan",0.2496217524494031,0.0151216403505101,16.507584274148037,0.0,0.0,222
PC37,"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan",-0.1449719855912956,0.0129779659772872,-11.170624568211288,0.0,0.0,222
PC44,"(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",0.1474241262558173,0.0106117880560832,13.892486871833553,0.0,0.0,222
PC78,"(0, 0)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",0.2790716906254283,0.0114677755864772,24.335294017656533,0.0,0.0,222
PC79,"(0, 0)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",0.2329305303152383,0.0137942115484969,16.886106864195476,0.0,0.0,222
PC77,"(0, 0)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",0.3282923992590035,0.0154797918497635,21.2078045005507,0.0,0.0,222
PC76,"(0, 0)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",-0.1378702205595698,0.0143801013351113,-9.587569471637696,0.0,0.0,222
PC58,"(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",0.3494263760209833,0.0186493761264846,18.73662548554375,0.0,0.0,222
PC98,"(0, 0)_(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",0.2411585065492353,0.0136377940012422,17.683102305788502,0.0,0.0,222
PC29,"(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",-0.2657627740563654,0.0276588804926488,-9.608587524972307,0.0,0.0,222
PC77,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",0.2420112103852008,0.0228837232475299,10.575692065814655,0.0,0.0,222
PC72,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",0.2654832779612289,0.0219710812354931,12.08330510072278,0.0,0.0,222
PC1,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan",0.2514426123726935,0.0250861948677226,10.023146742601991,0.0,0.0,222
PC32,"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan",0.2492661804877566,0.0168847091982808,14.76283527069195,0.0,0.0,222
PC4,"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan",-0.2682413915002207,0.0198137405573425,-13.538149988585388,0.0,0.0,222
PC97,"(0, 0)_(0, 1)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",0.1099185037100881,0.0101624023084405,10.816192901435665,0.0,0.0,222
PC10,"(0, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan",-0.329857529160037,0.0264127050029872,-12.488593240364096,0.0,0.0,222
PC11,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan",0.1243545221020676,0.0137048216926289,9.073778914537112,0.0,0.0,222
PC36,"(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan_nan",0.1383688055159549,0.0117863482755669,11.739751980924645,0.0,0.0,222
PC38,"(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan_nan",0.0782350026492864,0.0081400939573418,9.611068749240102,0.0,0.0,222
PC56,"(0, 1)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan_nan",-0.3068641438073179,0.0290352799621817,-10.568664886545148,0.0,0.0,222
PC12,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan",-0.2938261693322865,0.019258343115097,-15.257084556871815,0.0,0.0,222
PC4,"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",-0.2245632075160823,0.0158040143700117,-14.209251033218058,0.0,0.0,222
PC13,"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",0.1950322773884261,0.0197356085989083,9.882253005322278,0.0,0.0,222
PC98,"(0, 1)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",-0.2894377829163136,0.0224630156929504,-12.885081276382104,0.0,0.0,222
PC87,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan",-0.2956328945390307,0.0148381667750916,-19.92381532166761,0.0,0.0,222
PC65,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan",0.1945919584348445,0.0200766269094304,9.692462748482914,0.0,0.0,222
PC67,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan",0.339758748792169,0.0201454624812899,16.865274207912552,0.0,0.0,222
PC16,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan",-0.1680332117186209,0.0185281905478965,-9.069056758901786,0.0,0.0,222
PC13,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan",0.2676259882242939,0.0185333724746037,14.44022066631536,0.0,0.0,222
PC15,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan",0.3161120586813456,0.0277822460107195,11.37820385577813,0.0,0.0,222
PC29,"(0, 1)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",-0.2052387034746403,0.0204719501849698,-10.025361610410888,0.0,0.0,222
PC4,"(0, 1)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",-0.299502300225955,0.0287129627973484,-10.430908936141297,0.0,0.0,222
PC13,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan",0.32658791694973,0.0198963407198722,16.414471462259296,0.0,0.0,222
PC10,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 2)_nan_nan_nan_nan",-0.1868165613035235,0.0188601375670707,-9.905365782151035,0.0,0.0,222
PC13,"(0, 1)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",0.2579795469440704,0.02369028723301,10.88967577331026,0.0,0.0,222
PC69,"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",-0.2739935124194625,0.0119476730577732,-22.932792945920102,0.0,0.0,222
