neuron,sig_deg_out,sig_deg_in,sig_deg_total,gold_deg_out,gold_deg_in,gold_deg_total
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)",0.0,1.0,1.0,0.0,2.0,2.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan",0.0,7.0,7.0,0.0,10.0,10.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan",0.0,1.0,1.0,0.0,2.0,2.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan",0.0,1.0,1.0,0.0,2.0,2.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan",0.0,5.0,5.0,0.0,7.0,7.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan",0.0,6.0,6.0,0.0,8.0,8.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan",0.0,4.0,4.0,0.0,6.0,6.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan",0.0,1.0,1.0,0.0,2.0,2.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan",0.0,12.0,12.0,0.0,14.0,14.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan",0.0,2.0,2.0,0.0,4.0,4.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 2)_nan_nan_nan",0.0,3.0,3.0,0.0,6.0,6.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan",0.0,2.0,2.0,0.0,4.0,4.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan",0.0,3.0,3.0,0.0,3.0,3.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan",0.0,3.0,3.0,0.0,5.0,5.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan",0.0,7.0,7.0,0.0,10.0,10.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan",0.0,1.0,1.0,0.0,2.0,2.0
