feature,seed,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan","(0, 1)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan","(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan_nan","(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan","(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan","(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan_nan","(0, 0)_(0, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan","(0, 1)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan","(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan","(0, 1)_(0, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan","(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan","(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan","(0, 1)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan","(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan","(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan","(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan","(0, 0)_(0, 1)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan","(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan","(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan","(0, 2)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan","(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan","(0, 1)_(0, 2)_nan_nan_nan_nan_nan_nan_nan","(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan","(0, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan","(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan","(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan_nan","(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan","(0, 1)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan","(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan","(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
PC23,11,0.0010241700566305618,0.0020699477043521954,0.21206939246990864,-0.0006500572385651916,0.0012473477125373935,-0.08715404761097655,0.0009205666352688581,0.0073114017001264615,-0.0008207740139452315,-0.006028983709880949,-0.0008994192965865932,0.0007125803305480628,0.0019549545673467907,0.003496128907423679,0.016143578848776756,-0.0011411131127378117,-0.001027369563589038,0.01335136008370259,-0.002787439755077999,0.027081396635481036,-0.0010759256147963017,0.0016906820228745436,-0.007005887736163209,-0.008225543678687884,0.004188386270778733,0.13546080668216726,0.0010352463284283133,0.0009542484162746824,-0.0020255085632705744,-0.0016926790919588653
25,11,-0.014683509706975857,-0.07432042168818415,8.741412089678443,0.0190343376407936,0.008531781578605787,-3.9358905371558444,-0.051971239267369046,-0.10185878245511679,0.03322181096391504,0.40764843427804953,0.03200295717458539,-0.008527381455019698,-0.14894096614137986,0.0713924872331911,-0.7024882511804376,-0.006272417030509776,0.0007178593243852144,-0.0023344929809317695,0.03420601979787679,-0.5532788127181807,0.04267725171803411,7.404524151779961,-0.06285285388522081,-0.3855807909107091,0.003965630402618357,17.19906346526591,-0.07018530780390445,0.1713870648655429,-0.044822920710614195,-0.002917045697034212
39,11,0.051930170562128036,0.1209925199857157,6.310375883807632,-0.031740892281688644,-0.03580264477778962,-22.372974210038763,-0.023143172933643756,0.9260109484945109,0.009712335500528137,-0.01077116766135957,0.00582275979884811,0.06919102458668924,0.882295029015893,0.9345784063496552,1.6341465492439504,-0.011277129615770291,0.023754665390274234,0.42298408893661793,0.029113611408053706,1.3651320897174133,-0.030963010110854065,-13.96245797471246,-0.025251216866868865,-0.23685197986026357,0.5940027832716787,-20.535030437170317,0.23319260154522417,0.9512831790779022,-0.05221672171555687,0.00720844909416464
PC159,11,-1.7295451945859704e-15,6.163119396904718e-15,2.2914923436429355e-13,-1.6889158381170462e-15,5.689621372574309e-15,1.338313947326633e-12,-7.275937752884963e-15,-7.106334617481104e-14,4.686608776543848e-15,1.1942293872948389e-13,3.7367883530553364e-15,8.469278318390872e-16,6.249127258839002e-14,4.35670036962559e-14,-1.0846986082665284e-13,-2.0191610680392977e-15,1.1502328901061805e-14,1.6969272426536793e-13,1.395519105145512e-14,-8.695616511351884e-15,-4.2909960864230834e-15,1.6627526856082447e-12,-1.9568316836822477e-15,7.0760389602006064e-15,-9.112205504720125e-15,4.910183781141712e-13,6.682773959728093e-15,1.1407903939819773e-13,-1.5126574874260812e-16,-4.063142915177963e-15
PC47,11,-0.00044577409712935243,0.0031138837801111085,0.05718525288108451,-0.00019107698807130466,0.0006477823024349219,-0.14993302019094196,0.0018756860990104191,0.015667848188959815,-0.00099878568613828,-0.007101713125437631,-0.0011819538206696287,-0.0009230723082777277,-0.0005809226646989634,-0.007329151662221005,0.03732781299239187,-0.00041713170802061116,-0.0010928708530119177,0.033125456592554385,-0.0014488502970344214,0.015541230315867521,-0.0005878621996904364,-0.1453338187162688,-0.001772886471113849,-0.008442892644253937,0.009284730088134616,-0.23251494597760997,0.00038399785521064337,0.011113845681634807,-0.0032250329876362545,-0.0010853883910761071
PC115,11,-1.7243260042909777e-14,-2.174283625707026e-16,-3.7938081278146013e-13,-5.511764970715168e-15,-4.598415193086663e-15,-2.085416266040366e-12,9.4964870035699e-16,-2.3819876732975424e-14,-5.267357962791381e-16,8.799857251604518e-14,-1.4300492806840998e-15,2.9071388896120113e-15,1.5088106139123092e-13,3.1130658163263136e-14,1.1117086168219594e-13,-3.838413186197951e-15,1.2631137244509764e-14,6.107511322926656e-14,3.891894850997825e-15,-6.110702533995464e-14,-9.639435373938627e-15,-2.653190656638008e-12,-2.557047137198609e-14,-7.713491399746707e-15,1.1566499730061173e-13,-2.1601935168202366e-13,-9.228307825172664e-15,3.5458970601930037e-14,-1.986073463079832e-14,-2.0471129975215305e-15
PC200,11,-1.127025167323599e-14,6.330704112941346e-15,2.1413126641329865e-13,-2.9749618209746915e-15,-1.9498604759172117e-15,2.5957294311428056e-13,-6.979190906355605e-16,8.285499756014384e-14,1.155857962376759e-15,-5.253762295682834e-14,-1.830026850558866e-15,2.866993959720708e-15,-5.5338910682465955e-14,9.981598562509267e-15,-3.9924512659958146e-14,-3.382060845122204e-17,-1.374063210752053e-16,2.126784614424991e-14,-8.18068526364755e-15,1.0726295715006217e-14,-6.483887017606984e-15,-2.9332869758280383e-12,-9.17183439105104e-15,1.4914023555001788e-14,-4.0773886617032914e-14,1.0728449422684467e-12,1.3770558887976306e-14,-4.485128429661368e-15,-2.474799899405256e-15,-5.2922951704394355e-15
PC36,11,1.593801852680808e-05,0.0004163553852051135,0.20574829382009016,-7.069024603276724e-05,-0.0006721867972988729,0.5378563657204757,-0.0004349299711202292,-0.019483898209654352,-3.325251836612115e-05,-0.01122832984706763,0.00013831452890667898,-0.002165256543804869,0.010059004439624444,0.015110564863054602,0.009861713677723727,0.0007381587363456101,0.002513987368428335,-0.015660615194637628,0.0005235374863922053,-0.0269823928006177,0.00039065314783494706,1.055582342764795,0.003501890174049469,-0.015737461007609255,0.008051955629021687,0.31538244069616916,-0.0037336005736906008,0.009788056277006987,-0.004898563274304541,0.0012785774891950275
PC6,11,8.819708895677372e-05,0.0011400131998097953,-0.15393709948166182,-3.714251310955675e-05,-0.00012332990229721265,-0.30898453731056347,0.0008420511324687336,0.004575116449781958,-0.00028037953317035095,-0.010338166651293598,-0.0008278633336412686,0.0014030468581513916,-0.014159048413837921,-0.006216358908261571,0.006252526893833127,-0.00011729468722919661,0.0004960653231991304,-0.004836189770638014,-0.000940465291919542,0.007997727364562056,-0.00016844589254745072,-0.19592505798072302,-0.0020744927684942507,0.0036208753867175802,-0.004731569393565985,-0.346798216913666,-2.574873548743027e-05,-0.002091431837766868,0.002355445736895745,-0.0005630139923158304
31,11,-0.01882120183349427,0.014321136458011132,5.794926322029145,0.0035583586663651664,0.007978327818259497,-3.652300174294402,-0.03342836101675213,-0.19839256789717455,0.02672948837071176,0.021132657333973643,0.009705158460139189,0.028422012062632458,0.08464781670212444,-0.4271198958885562,0.40343686426913444,-0.009687314219949793,-0.06944889868656978,0.5065837754727762,0.028339910074946736,-0.25824264351389226,-0.0038070141556007715,1.364158308395892,-0.02478381758611134,-0.2133317372511309,0.32279484767073235,17.44529483802968,-0.048098365337413254,-0.1886310390948773,-0.06812757712482935,-0.011057018810557213
