combo,novelty
ADFL+ASHL+AWCL,0.0
ASHR+AWAR+AWBL,0.0
ADFR+ASHR+AWCL,0.0
ADFR+AFDR+AWCR,0.0
ADFR+ALML+ASER,0.0
AFDR+AWAL+AWCR,0.0
ADFR+ASER+AWCL,0.0
ALML+ASHL+AWBR,0.0
ALMR+AWAR+AWCR,0.0
AFDL+ALML+AWBL,0.0
AFDL+AFDR+AWCR,0.0
ASER+AWBR+AWCR,0.0
ADFL+AFDL+AFDR,0.0
AFDR+AWCL+AWCR,0.0
ADFL+ALML+ASER,0.0
ADFR+AFDR+ALMR,0.0
AFDL+AWBR+AWCL,0.0
AFDR+AWAR+AWBR,0.0
ADFL+AFDR+AWAR,0.0
ASER+AWAR+AWBR,0.0
ADFR+AFDR+AWCL,0.0
ADFR+AFDL+AWAR,0.0
ALMR+ASEL+ASER,0.0
ALMR+AWBL+AWCR,0.0
ALMR+ASER+AWCL,0.0
ADFL+AWAL+AWBR,0.0
ADFR+ASEL+AWBL,0.0
AFDR+ALML+AWBL,0.0
AFDR+ASEL+AWCR,0.0
ADFR+ASHL+AWBR,0.0
ASEL+AWBR+AWCL,0.0
ASHL+AWAL+AWCR,0.0
ALML+ASHR+AWBL,0.0
ADFL+AWAR+AWBL,0.0
AWAR+AWBL+AWCL,0.0
ADFL+AWBR+AWCL,0.0
ALML+ALMR+ASHR,0.0
ADFR+AWBL+AWCR,0.0
AFDL+AWAR+AWBR,0.0
AFDR+ASEL+ASHL,0.0
AFDL+AWAL+AWBR,0.0
ADFR+AFDL+AWAL,0.0
ASER+AWAR+AWCL,0.0
ALML+ASHR+AWBR,0.0
ADFR+ALML+AWCL,0.0
ASER+AWBR+AWCR,0.0
ADFL+ALML+ASHR,0.0
ASHL+ASHR+AWBL,0.0
ADFL+ALML+ASER,0.0
AFDL+AWCL+AWCR,0.0
