combo,null_run,novelty
ASEL+ASER+ASHL,0,0.0
ASEL+ASER+ASHL,1,2.2170064534061028e-16
ASEL+ASER+ASHL,2,0.0
ASEL+ASER+ASHL,3,0.0
ASEL+ASER+ASHL,4,0.0
ASEL+ASER+ASHL,5,0.0
ASEL+ASER+ASHL,6,0.0
ASEL+ASER+ASHL,7,0.0
ASEL+ASER+ASHL,8,0.0
ASEL+ASER+ASHL,9,3.3445003559862807e-16
ASER+ASHL+AWCL,0,0.0
ASER+ASHL+AWCL,1,0.0
ASER+ASHL+AWCL,2,2.2173304978369629e-16
ASER+ASHL+AWCL,3,0.0
ASER+ASHL+AWCL,4,1.1333060281231173e-16
ASER+ASHL+AWCL,5,2.2166127459298088e-16
ASER+ASHL+AWCL,6,0.0
ASER+ASHL+AWCL,7,0.0
ASER+ASHL+AWCL,8,1.133309794941336e-16
ASER+ASHL+AWCL,9,0.0
AWCR+ASER+ASHL,0,0.0
AWCR+ASER+ASHL,1,2.2166960465121842e-16
AWCR+ASER+ASHL,2,0.0
AWCR+ASER+ASHL,3,1.1331164282721214e-16
AWCR+ASER+ASHL,4,0.0
AWCR+ASER+ASHL,5,2.216975581712495e-16
AWCR+ASER+ASHL,6,0.0
AWCR+ASER+ASHL,7,0.0
AWCR+ASER+ASHL,8,2.2166815222143975e-16
AWCR+ASER+ASHL,9,0.0
ALMR+ASER+ASHL,0,0.0
ALMR+ASER+ASHL,1,0.0
ALMR+ASER+ASHL,2,0.0
ALMR+ASER+ASHL,3,0.0
ALMR+ASER+ASHL,4,0.0
ALMR+ASER+ASHL,5,1.1331136521323493e-16
ALMR+ASER+ASHL,6,0.0
ALMR+ASER+ASHL,7,0.0
ALMR+ASER+ASHL,8,0.0
ALMR+ASER+ASHL,9,0.0
