neuron,basal,npr10
ADAL,0.3051624477097469,0.2693228666523865
ADAL,0.08610723540455266,0.08610723539964121
ADAL,0.12577237394204493,0.12577237392864263
ADAL,0.025712577239235142,0.025712577237392863
ADAR,0.2080924855719587,0.18998309223317167
ADAR,0.10863065577534375,0.10863065577038071
ADAR,0.03149292405870325,0.031492924058202115
ADAR,0.11162049033407136,0.11162049033286825
ADEL,0.21128164242630576,0.2112816424157863
ADEL,0.03209089097185235,0.03209089097069962
ADEL,0.00877018138315244,0.00877018138329679
ADEL,0.3711381304364403,0.2584294840320629
ADER,0.35479370144817546,0.3211788634446553
ADER,0.1688259916400837,0.16882599162846323
ADER,0.032888180188273046,0.03288818018736297
ADER,0.06338449272649739,0.0633844927247359
ADFL,0.18457245368133154,0.1602490020764523
ADFL,0.13733306757434846,0.13733306757026112
ADFL,0.0476380306963558,0.04763803069563484
ADFL,0.03807056009570369,0.03807056009567471
ADFR,0.13434323302267656,0.10652551911374275
ADFR,0.14112019135852322,0.141120191349412
ADFR,0.11022523420672252,0.11022523420370739
ADFR,0.04504684074210082,0.04504684074147897
ADLL,0.18915686667358422,0.15916483651820904
ADLL,0.053817022126834924,0.053817022124775765
ADLL,0.13215068767118449,0.13215068766194937
ADLL,0.03488140322996094,0.03488140322902133
ADLR,0.15028901735491543,0.1397162005021578
ADLR,0.14251544748791234,0.14251544747857287
ADLR,0.13195136536030738,0.13195136535778354
ADLR,0.01156069364221382,0.011560693641618497
AFDL,0.05262108830662745,0.043298917275804975
AFDL,0.0334861471008661,0.033486147099860475
AFDL,0.03109427945126391,0.031094279449870442
AFDL,0.045844129959262875,0.04584412995814231
AFDR,0.05501295595613075,0.04813704744656931
AFDR,0.024117998805236025,0.024117998804066176
AFDR,0.0446481961345906,0.0446481961331473
AFDR,0.044050229222314774,0.04405022922064979
AIAL,0.14929240582665815,0.14929240582021128
AIAL,0.10444488738394747,0.10444488738289814
AIAL,0.03229021327551661,0.032290213274865455
AIAL,0.15467410806828552,0.11563595435838009
AIAR,0.06936416185355873,0.06936416184971098
AIAR,0.06976280646192992,0.06976280645804266
AIAR,0.041658361571298645,0.041658361570659753
AIAR,0.1433127367254253,0.12682622226567636
AIBL,0.4205700618408323,0.3786925278916905
AIBL,0.21845724537165703,0.21845724536575642
