neuron_id,type,totalstrength,avgrelatedness,strengthimbalance,richclubscore,total_3node_motifs,as_source,as_target,kmeanscluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,leiden,hdbscan_cluster,leidenrole,symbolicrole,latentarchetype,multifunctionality_score,functional_types,PCA1,PCA2,pca_distance,is_novel_candidate,composite_score
RIML,Unknown,563.0,14.114843991350014,55.0,0.2166666666666666,2926,532,479,3,0.22582008,0.19499822,-0.34553328,-0.12559633,-0.1235055,-0.81041825,0.06040206,0.40481085,-0.24603827,0.50205266,0.37044302,0.14146855,-0.494614,-0.7500173,0.23168892,-0.29834515,-0.56896824,-0.11631173,-0.142935,0.004682942,0.5317907,0.11012094,-0.896697,-0.76527506,0.59931666,0.096426085,-0.14112312,-0.31645724,-0.073392875,-0.61038357,0.24949586,0.45910048,-0.13340057,-0.8851482,0.032746,0.30710602,-0.17822962,-0.03808787,0.35680175,0.22216696,-0.600569,-0.5011172,-0.3885678,-0.062052496,0.7856278,-0.53704685,0.50400054,-0.46786267,-0.8301291,0.13236094,0.6315114,0.48654714,-0.78933185,-0.0010301912,0.0025434315,0.12774009,0.029446604,0.1572852,0.398849,-0.42462584,-0.25401708,0.19550088,-0.20614854,0.010577924,3,6,🧩 Integrative Hub,Relay 🧠,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",8.779149811857147,11.446321609850505,14.42538560369053,True,0.85
AIBR,Unknown,602.0,14.326169590643277,190.0,0.3,2628,287,265,3,0.55392224,0.050364662,-0.26898193,-0.34560484,-0.27948293,-0.7897833,0.2561746,0.47833598,-0.004814082,0.7175532,0.3375911,-0.20690185,-0.74225384,-1.0395153,0.08834467,-0.33599052,-0.70818263,0.055863794,-0.27725065,-0.059243005,0.121569544,-0.03602222,-0.767426,-0.32847288,0.64446783,0.25878128,-0.35181978,-0.18367542,-0.11446804,-0.45334402,0.2771859,0.42964622,-0.29152018,-0.60195947,0.28575402,0.2729192,-0.27126005,-0.041618243,0.12219245,0.41028902,-0.1331842,-0.52875984,-0.41886762,-0.27961883,0.90604633,-0.41342497,0.34460434,-0.3730591,-0.80453,0.05812969,0.55689675,0.13737386,-0.7015807,0.24025431,-0.065962985,-0.04561716,-0.45706743,-0.1448984,-0.20393239,0.15491156,-0.14924432,0.11319745,0.005303961,0.27324256,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",7.080698574725498,9.5419450106405,11.882129728807325,True,0.779478325370171
RIGL,Unknown,333.0,14.579307568438004,39.0,0.1764705882352941,1830,387,325,3,0.6697805,-0.20915477,-0.32409394,0.0896884,-0.32244307,-0.83052295,0.013799861,0.2983945,0.060164582,0.6603856,-0.2149436,-0.024228683,-0.70178986,-0.8912605,0.098581515,-0.5259024,-0.7284051,-0.39025795,-0.27545357,0.3181431,0.6630697,-0.07214988,-1.2258102,-0.4904625,0.6053816,0.011499426,-0.2759139,-0.31900075,-0.15938918,-0.34627134,0.4678882,0.392058,-0.14886726,-0.47055346,-0.06780419,0.047779262,-0.40564123,-0.059867334,0.09352791,0.32528037,-0.2314573,-0.5178321,-0.5058459,-0.6451928,0.81354487,-0.22573906,0.34691602,-0.49127525,-0.526405,0.26586345,0.55397767,0.013985515,-0.50879854,0.08406801,-0.050373778,-0.053772096,0.1692733,0.08145584,-0.032821506,-0.28122225,-0.17810012,0.34484705,0.13647681,0.2451249,3,6,🧩 Integrative Hub,Glia ⚙️,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",7.512251965690035,9.08215060496922,11.78640696766222,True,0.7768240389954453
RIBL,Interneuron,477.0,14.218245614035087,143.0,0.1761363636363636,1953,375,324,3,0.47444803,-0.09487592,-0.13131328,0.10365699,-0.32783815,-1.0186858,-0.015571279,0.4845165,0.14855689,0.8626042,0.49032623,-0.080579676,-0.48890585,-1.0138468,0.10315739,-0.45836285,-0.50965554,-0.11337147,-0.26980487,0.14367996,0.29561254,0.025009966,-0.8749417,-0.6858804,0.43246514,-0.31648827,-0.24878839,-0.008464926,-0.12800096,-0.48093382,0.15064709,0.57313734,0.14581275,-0.40744582,0.48548,0.4176197,-0.14530471,0.2012939,0.15637803,0.30177552,-0.40898344,-0.20099974,-0.36979195,-0.17481557,0.8168832,-0.16110875,0.15763234,-0.14560896,-0.61918986,0.5983234,0.6055848,0.33885288,-0.9588426,0.008010067,-0.21038313,-0.056185436,0.016863413,-0.07077888,0.15954567,-0.054754958,-0.382564,-0.032938022,0.14169516,0.36841252,3,6,🧩 Integrative Hub,Relay 🧠,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",7.321836203123858,9.0375932679083,11.631310221188178,True,0.7725233776270763
AIBL,Unknown,607.0,14.530332167832167,199.0,0.1428571428571428,2485,310,317,3,0.28922784,0.15480602,-0.5418131,-0.17181325,-0.084437974,-0.6686622,-0.08095542,0.26853713,-0.14328158,0.73772794,0.50815153,-0.3131131,-0.595579,-0.7082817,0.1461305,-0.5742728,-0.9647723,-0.21701205,-0.39041942,-0.054750778,0.2935615,0.2409795,-0.7648934,-0.4189502,0.4929569,-0.17982058,-0.21116865,-0.25329536,-0.08761085,-0.36800775,0.18687744,0.44410846,0.17797641,-0.55939984,0.124200694,0.32073322,-0.6202572,0.1766829,0.19532034,0.42182034,-0.3573971,-0.17262183,-0.5916641,-0.42939568,0.8635912,-0.47326994,0.5677463,-0.32798705,-0.83117735,0.009050167,0.5918304,0.30445573,-0.59007555,0.22523423,-0.22931737,-0.2494951,-0.43343702,0.02161738,0.07649972,0.05658238,-0.22927603,0.23294061,0.23576167,0.27380133,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",7.271687073509572,8.934681478093436,11.519807550911262,True,0.7694315318119214
RIMR,Unknown,585.0,14.190727699530516,57.0,0.1761363636363636,1953,357,275,3,0.6740939,0.099683724,-0.4702041,-0.1272507,-0.043802097,-0.6973429,-0.060482137,0.35542637,0.19860029,0.9095378,0.13116351,-0.13629107,-0.3135558,-0.5205148,-0.026982937,-0.41638502,-0.6556346,-0.23715967,-0.49611276,-0.040851068,0.41052422,0.0073443465,-0.9275617,-0.4482244,0.9523567,-0.046172906,-0.13920741,-0.39161432,-0.20464315,-0.5689578,0.28900963,0.5727761,-0.39538103,-0.60812294,0.15538996,0.5904305,-0.30020657,-0.18172693,0.20717072,0.17516458,-0.52920437,-0.12895556,-0.30558845,-0.40798423,0.536195,-0.56243736,0.08323766,-0.56357867,-0.9547191,0.12416756,0.5813942,0.5630223,-0.7033652,0.2520385,-0.23725498,0.07071461,0.20693702,0.18429852,0.19254164,-0.107608765,-0.1631477,-0.4224024,0.21601509,0.3031999,3,6,🧩 Integrative Hub,Relay 🧠,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",7.347226412478259,8.819396536896763,11.478827955468484,True,0.7682952129205278
RIH,Unknown,440.0,15.370728562217923,218.0,0.3,2850,242,129,3,0.4294282,-0.38312566,-0.36720797,0.18432917,-0.31229365,-0.65993387,-0.19778773,0.48559478,-0.03731151,1.0584702,-0.09806075,0.016767554,-0.4265435,-0.961124,0.08545665,-0.27275896,-0.8101793,-0.16453171,-0.38043228,-0.10858887,0.59164304,-0.2436055,-0.55415285,-0.5495118,0.8473802,-0.4390988,-0.37303585,0.31030485,-0.38412312,-0.38109332,0.18178351,0.19718753,-0.33442125,-0.4884392,0.13050035,0.17143196,-0.016860958,0.060077943,0.3542746,0.5639375,-0.236992,-0.10672305,-0.46635786,-0.31301403,1.1408036,-0.079622515,0.18508309,-0.21959217,-0.2550279,0.0897172,0.5796702,0.36611953,-0.790536,0.43249893,0.3825279,-0.25150025,-0.067352876,0.22428527,-0.028531604,0.012962562,-0.37254173,0.06180334,0.120901324,0.20163062,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",6.292307257054252,9.039505545101939,11.013890825548723,True,0.7554030201516686
AIZL,Unknown,532.0,16.095897435897434,104.0,0.1744186046511628,1653,346,255,3,0.55145913,0.06746812,-0.19186485,0.17520083,-0.26673585,-0.69038117,-0.2700932,0.66978174,-0.05676156,0.9084128,0.21758041,-0.15354511,-0.44585934,-0.7607923,-0.29965296,-0.3798178,-0.88219047,-0.10756943,-0.28010136,-0.26379588,0.7344893,-0.22603653,-0.8594446,-0.35868576,0.4510901,-0.21927403,-0.08469571,-0.09822483,0.17985061,-0.22389787,0.053330265,0.47334892,-0.118082464,-0.70229864,-0.10654725,0.27737007,-0.502852,0.27638492,-0.03445223,0.46171468,-0.1620146,-0.22169204,-0.6051092,-0.6654776,0.75339264,-0.5273947,0.31170586,-0.43715063,-0.6249691,0.23253915,0.6956859,-0.0109916795,-0.52756,0.19488539,-0.25733137,-0.407766,-0.2214703,-0.21092351,-0.1326087,-0.26886067,-0.3258678,0.09799011,0.11386418,0.12359594,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",7.138947730449316,8.317445175067672,10.961043241331726,True,0.7539376150479471
RIGR,Unknown,335.0,13.999567099567098,3.0,0.1560021152829191,1596,300,283,3,0.6361317,-0.17777373,-0.45043677,0.08630354,-0.23590761,-0.832215,-0.07475518,0.2805065,-0.38999376,0.58211,0.06772591,-0.19955489,-0.34818804,-0.7070373,-0.070155345,-0.25901404,-0.8483554,-0.4104534,-0.41551593,-0.24670443,0.6969416,-0.24569803,-0.803899,-0.14526907,0.7775601,-0.13865834,-0.11395657,0.123245254,-0.11668509,-0.6235816,0.5710113,0.7212022,0.011476184,-0.59724736,-0.062047716,0.5872051,-0.37040254,0.060690124,0.021829532,0.49537295,-0.014855512,-0.49623257,-0.28547123,-0.20684928,1.086719,-0.44881925,0.43659958,-0.2485784,-0.785357,0.47236785,0.2323634,0.5785221,-0.35949796,0.21948162,0.17866579,0.09629022,-0.13478947,-0.0336384,-0.035675608,0.053446084,-0.48598343,0.33587012,-0.14079328,0.031173043,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Interneuron', 'Sensory']",7.349913004910236,8.067863630506313,10.913828143240808,True,0.752628392559535
RIAL,Unknown,1166.0,15.441139593201449,86.0,0.1818181818181818,1830,203,277,3,0.5171752,-0.018361725,-0.26805556,-0.11712709,0.10034689,-0.847563,-0.11318846,0.50527316,0.08651774,0.8115927,0.49523845,-0.37854344,-0.5830338,-1.1439927,-0.17127623,-0.18664776,-0.7220057,0.06887367,-0.18606195,-0.0992547,0.65542096,0.16667904,-0.6847836,-0.39561385,0.637036,0.10966925,-0.38839066,0.25051504,0.0014223547,-0.4424702,-0.21464658,0.5479803,-0.050199676,-0.39172056,0.14433925,0.14479892,-0.14386466,0.1652429,0.050792925,0.5352259,-0.4135381,-0.28181756,-0.46425378,-0.50886065,0.8208008,-0.30515903,0.5164795,-0.45739275,-0.7320395,0.19632897,0.35240293,-0.07157036,-0.6736223,-0.06945912,-0.053493023,-0.33073613,0.2575149,0.04860516,0.25238773,-0.20710278,-0.36433932,0.56947106,0.119060956,0.14371365,3,6,🧩 Integrative Hub,Unknown ❓,-1,0.75,"['Unknown', 'Sensory', 'Interneuron']",6.645531566781131,8.609636748971496,10.876071660039987,True,0.7515814470084599
