neuron,count_021U,in_degree,score_norm
"(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",780,40,19.024390243902438
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",780,40,19.024390243902438
"(0, 1)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",630,36,17.027027027027028
PC9,551,0,551.0
PC10,511,0,511.0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",496,32,15.030303030303031
"(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan_nan",465,31,14.53125
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan",406,29,13.533333333333333
as_target,373,0,373.0
PC4,358,0,358.0
PC13,351,0,351.0
as_source,327,0,327.0
"(0, 1)_(0, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",300,25,11.538461538461538
PC1,298,0,298.0
KMeansCluster,280,0,280.0
"(0, 0)_(0, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",276,24,11.04
PC12,273,0,273.0
PC29,255,0,255.0
"(0, 1)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",253,23,10.541666666666666
PC33,246,0,246.0
PC24,242,0,242.0
total_3node_motifs,241,0,241.0
PC31,237,0,237.0
"(0, 0)_(0, 1)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",231,22,10.043478260869565
"(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",210,21,9.545454545454545
PC16,196,0,196.0
PC32,193,0,193.0
PC72,190,0,190.0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan",190,20,9.047619047619047
PC70,183,0,183.0
PC7,181,0,181.0
PC49,180,0,180.0
PC93,178,0,178.0
PC22,178,0,178.0
"(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan",171,19,8.55
PC50,170,0,170.0
