triad,deg_mean,deg_std,deg_min,deg_max,shuf_mean,shuf_std,shuf_min,shuf_max
003,21157301.0,0.0,21157301,21157301,21141170.255,966.5479006215779,21139170,21144296
012,666154.0,0.0,666154,666154,698485.4,1912.7162143357587,692303,702443
102,0.0,0.0,0,0,1912.385,961.0315525517358,0,4960
021D,17337.0,0.0,17337,17337,1923.67,45.777604188359746,1801,2061
021U,8542.0,0.0,8542,8542,1922.095,46.71140924623066,1792,2078
021C,0.0,0.0,0,0,3850.58,63.58852966949022,3683,3981
111D,0.0,0.0,0,0,20.715,11.295651095370363,0,54
111U,0.0,0.0,0,0,21.01,11.80111143730873,0,59
030T,0.0,0.0,0,0,20.59,4.44869129872559,9,35
030C,0.0,0.0,0,0,7.005,2.576463822595951,1,16
201,0.0,0.0,0,0,0.08,0.28986220951085057,0,2
120D,0.0,0.0,0,0,0.045,0.20782433633689096,0,1
120U,0.0,0.0,0,0,0.055,0.22855235921889394,0,1
120C,0.0,0.0,0,0,0.115,0.3639192024744607,0,2
210,0.0,0.0,0,0,0.0,0.0,0,0
300,0.0,0.0,0,0,0.0,0.0,0,0
