neuron,count_021D,out_degree,score_norm
as_source,4851,99,48.51
as_target,4095,91,44.51086956521739
PC9,1431,54,26.01818181818182
PC10,861,42,20.023255813953487
total_3node_motifs,741,39,18.525
PC4,561,34,16.02857142857143
PC13,528,33,15.529411764705882
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan",476,0,476.0
"(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",448,0,448.0
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan",448,0,448.0
"(0, 0)_(0, 1)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",417,0,417.0
"(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",406,0,406.0
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan",382,0,382.0
"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",382,0,382.0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",377,0,377.0
"(0, 1)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",361,0,361.0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan",349,0,349.0
"(0, 1)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",345,0,345.0
KMeansCluster,325,26,12.037037037037036
"(0, 2)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan",315,0,315.0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan",310,0,310.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan",308,0,308.0
PC1,300,25,11.538461538461538
"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",299,0,299.0
"(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan_nan",295,0,295.0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",291,0,291.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan",290,0,290.0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan",286,0,286.0
"(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",283,0,283.0
"(0, 0)_(0, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",276,0,276.0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan",272,0,272.0
"(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan",266,0,266.0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",252,0,252.0
"(0, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",250,0,250.0
"(0, 0)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",249,0,249.0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",245,0,245.0
"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan",239,0,239.0
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",239,0,239.0
"(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan",233,0,233.0
PC29,231,22,10.043478260869565
PC24,231,22,10.043478260869565
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan",230,0,230.0
"(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",228,0,228.0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",226,0,226.0
"(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan_nan",224,0,224.0
"(0, 1)_(0, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",223,0,223.0
"(0, 1)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",223,0,223.0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan",220,0,220.0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",214,0,214.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan",212,0,212.0
"(0, 1)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan",211,0,211.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan",208,0,208.0
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",204,0,204.0
"(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",200,0,200.0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",197,0,197.0
"(0, 0)_(0, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",193,0,193.0
"(0, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",191,0,191.0
"(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan",188,0,188.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 2)_nan_nan_nan",188,0,188.0
"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan",188,0,188.0
"(0, 0)_(0, 1)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",188,0,188.0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan",188,0,188.0
"(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan",188,0,188.0
"(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan",188,0,188.0
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan",188,0,188.0
"(0, 0)_(0, 2)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan",188,0,188.0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",186,0,186.0
"(0, 1)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",182,0,182.0
"(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",182,0,182.0
"(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",178,0,178.0
"(0, 0)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan",178,0,178.0
"(0, 1)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",167,0,167.0
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",167,0,167.0
"(0, 1)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",164,0,164.0
"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",163,0,163.0
"(0, 0)_(0, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",161,0,161.0
"(0, 1)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",160,0,160.0
"(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",159,0,159.0
"(0, 1)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",158,0,158.0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",158,0,158.0
"(0, 1)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",157,0,157.0
"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 2)_nan_nan_nan_nan",156,0,156.0
"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",155,0,155.0
"(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",154,0,154.0
"(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",152,0,152.0
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",150,0,150.0
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",149,0,149.0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan",149,0,149.0
"(0, 2)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",149,0,149.0
"(0, 1)_(0, 2)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan",148,0,148.0
"(0, 1)_(0, 2)_nan_nan_nan_nan_nan_nan_nan",147,0,147.0
"(0, 1)_(0, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",144,0,144.0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",143,0,143.0
"(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan",143,0,143.0
"(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",142,0,142.0
"(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",141,0,141.0
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",140,0,140.0
"(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",136,0,136.0
PC69,136,17,7.555555555555555
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 2)_nan_nan_nan_nan",133,0,133.0
"(0, 0)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",132,0,132.0
"(0, 1)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",132,0,132.0
"(0, 1)_(0, 2)_(2, 2)_nan_nan_nan_nan_nan_nan",132,0,132.0
"(0, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",131,0,131.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan",131,0,131.0
"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan",131,0,131.0
"(0, 0)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",130,0,130.0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",130,0,130.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan",130,0,130.0
"(0, 1)_(0, 2)_(1, 1)_(2, 2)_nan_nan_nan_nan_nan",128,0,128.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan",127,0,127.0
"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan",127,0,127.0
"(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",123,0,123.0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan",122,0,122.0
"(0, 0)_(0, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",121,0,121.0
"(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan_nan",120,0,120.0
PC58,120,16,7.0588235294117645
Type_Interneuron,120,16,7.0588235294117645
"(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",118,0,118.0
"(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",118,0,118.0
"(0, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",117,0,117.0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan",116,0,116.0
"(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",114,0,114.0
"(0, 1)_(0, 2)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan",114,0,114.0
"(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",114,0,114.0
"(0, 1)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan",112,0,112.0
"(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan_nan_nan",112,0,112.0
"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",112,0,112.0
"(0, 0)_(0, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",111,0,111.0
"(0, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan",110,0,110.0
"(0, 1)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan_nan",110,0,110.0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",108,0,108.0
"(0, 2)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",107,0,107.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan",106,0,106.0
"(0, 0)_(0, 2)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",106,0,106.0
"(0, 1)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan_nan",105,0,105.0
PC33,105,15,6.5625
PC133,105,15,6.5625
"(0, 2)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",104,0,104.0
"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",102,0,102.0
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",99,0,99.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan",99,0,99.0
"(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",98,0,98.0
"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan",98,0,98.0
"(0, 0)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan",98,0,98.0
"(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan",98,0,98.0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan",98,0,98.0
"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan",98,0,98.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan",98,0,98.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan",98,0,98.0
"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan",98,0,98.0
"(0, 0)_(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan",98,0,98.0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan",98,0,98.0
"(0, 0)_(0, 1)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan",98,0,98.0
"(0, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",98,0,98.0
"(0, 0)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",98,0,98.0
"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",98,0,98.0
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan",98,0,98.0
"(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",98,0,98.0
"(0, 1)_(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan",98,0,98.0
