cycle_id,size
0,39
1,13
2,89
3,1094
4,185
5,63
6,53
7,64
8,14
9,108
10,25
11,118
12,35
13,49
14,102
15,133
16,43
17,51
18,65
19,22
20,155
21,40
22,13
23,15
24,46
25,95
26,9
27,21
28,22
29,44
30,3
31,78
32,9
33,25
34,146
35,104
36,6
37,40
38,23
39,55
40,46
41,4
42,68
43,92
44,59
45,22
46,20
47,28
48,74
49,123
50,21
51,6
52,56
53,79
54,105
55,9
56,26
57,33
58,24
59,8
60,30
61,43
62,24
63,27
64,29
65,109
66,13
67,87
68,6
69,6
70,25
71,39
72,100
73,98
74,146
75,28
76,124
77,38
78,16
79,161
80,18
81,54
82,1343
83,28
84,30
85,33
86,181
87,127
88,144
89,27
90,129
91,1286
92,163
93,188
94,24
95,13
96,100
97,3
98,42
99,92
100,116
101,102
102,67
103,14
104,80
105,19
106,31
107,9
108,119
109,188
110,88
111,65
112,117
113,160
114,3
115,38
116,3
117,12
118,113
119,132
120,1151
121,11
122,153
123,16
124,32
125,17
126,53
127,74
128,29
129,115
130,165
131,59
132,182
133,25
134,16
135,47
136,170
137,58
138,111
139,32
140,13
141,28
142,11
143,94
144,28
145,116
146,106
147,22
148,46
149,156
150,73
151,58
152,115
153,37
154,155
155,116
156,7
157,40
158,33
159,9
160,23
161,10
162,15
163,6
164,96
165,79
166,42
167,36
168,20
169,20
170,181
171,46
172,78
173,109
174,126
175,60
176,45
177,13
178,31
179,11
180,3
181,37
182,181
183,15
184,14
185,131
186,138
187,17
188,12
189,3
190,9
191,150
192,28
193,76
194,43
195,3
196,25
197,142
198,80
199,22
200,149
201,7
202,29
203,22
204,37
205,161
206,11
207,31
208,143
209,145
210,56
211,13
212,10
213,3
214,19
215,35
216,13
217,89
218,41
219,86
220,3
221,47
222,30
223,33
224,19
225,56
226,152
227,93
228,38
229,3
230,86
231,6
232,149
233,7
234,51
235,114
236,16
237,11
238,88
239,56
240,61
241,185
242,45
243,31
244,72
245,17
246,47
247,60
248,182
249,103
250,124
251,16
252,3
253,91
254,13
255,143
256,65
257,90
258,33
259,14
260,105
261,32
262,42
263,20
264,37
265,50
266,188
267,6
268,25
269,40
270,6
271,45
272,5
273,8
274,167
275,158
276,8
277,28
278,47
279,178
280,142
281,143
282,23
283,148
284,152
285,71
286,109
287,131
288,101
289,128
290,14
291,8
292,9
293,32
294,185
295,147
296,71
297,44
298,24
299,73
300,65
301,8
302,11
303,3
304,63
305,12
306,76
307,37
308,3
309,73
310,43
311,40
312,18
313,26
314,6
315,11
316,11
317,8
318,56
319,47
320,30
321,119
322,116
323,54
324,13
325,3
326,6
327,32
328,28
329,14
330,56
331,31
332,161
333,3
334,50
335,18
336,5
337,134
338,3
339,129
340,44
341,104
342,45
343,48
344,50
345,62
346,99
347,4
348,31
349,98
350,39
351,35
352,81
353,161
354,40
355,3
356,44
357,122
358,36
359,1252
360,14
361,83
362,45
363,144
364,113
365,3
366,19
367,34
368,59
369,16
370,74
371,33
372,6
373,7
374,186
375,125
376,39
377,121
378,145
379,13
380,1141
381,55
382,103
383,83
384,149
385,23
386,32
387,3
388,3
389,51
390,104
391,150
392,115
393,93
394,138
395,144
396,56
397,62
398,156
399,97
400,40
401,106
402,153
403,71
404,48
405,80
406,22
407,58
408,43
409,53
410,107
411,5
412,104
413,150
414,48
415,8
416,17
417,16
