cycle_id,cycle_label,n_neurons,neurons
15,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_nan_nan_nan_nan_nan",133,CEPshVR;CEPshDL;ASJR;RIH;RIMR;SMBVR;ADER;DVC;AVFR;URYVR;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RID;RIML;AVHR;CEPVL;AWCR;ASGR;BAGR;ASJL;PVQL;AWCL;RIS;RIFL;ASGL;SMBDL;IL1R;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;CEPDL;ASHR;AIYL;AWBR;SIADL;SIBDL;DVA;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLLR;OLQVR;RICL;BWM-VL06;SAADR;AVKL;SAADL;HSNL;HSNR;URAVR;AWAR;RMGR;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;FLPL;AVJR;IL1L;GLRDR;GLRVR;IL2L;OLQVL;IL1DL;BWM-DR03;ASKL;AFDL;AUAL;AIML;ALML;ADLL;BWM-VR02;RIAL;SIADR;SIBVR;OLQDL;BWM-VL04;RIFR;PVR;ALMR;AWBL;BWM-DL05;BWM-DR05;PLNR;ALNL;RIBL;RIBR;RIGR;ASER;RIGL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;SDQR;RIR;ADEL;AIAL;AIMR;RMEL;IL1DR
17,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan",51,DVC;URYVR;RMFL;AIBR;AIBL;URXR;RID;PVQL;RIS;RIFL;SMBDL;RMDL;RMDR;RMDVR;SMBVL;SMDDR;SMDVL;SMDVR;RIVL;RICR;AIYL;SIBDL;DVA;SIAVL;URYDL;AVBR;AVAL;AVEL;RICL;ADAR;RMGR;RMHR;URXL;AVJL;AVJR;IL1L;ASKL;ALML;RIAL;PLNR;RIBL;RIBR;RIGR;RMGL;AIZL;AIZR;ASHL;SDQR;RIR;ADEL;AIMR
20,"(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",155,CEPshVR;CEPshVL;CEPshDR;ASJR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;BDUR;DVC;AVFR;CEPVR;URYVR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;BAGL;ASEL;RIML;AVHR;CEPVL;BAGR;ASJL;URBL;BDUL;IL2DL;PVQL;AWCL;RIS;RIVR;URYVL;RIFL;IL2DR;SMBDL;IL1R;IL2VR;GLRVL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIADL;DVA;SAAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLLR;OLQVR;OLQDR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;HSNL;HSNR;URAVR;AVHL;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;PLNL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;RMEV;URAVL;IL2L;OLQVL;URADR;IL1DL;BWM-DL02;BWM-DL03;SMBDR;URADL;BWM-DL01;BWM-DR01;ALA;AUAL;AIML;ALML;ADLL;BWM-DR02;BWM-VR02;ADFR;RIAL;IL2VL;SIBVR;OLQDL;BWM-DL04;BWM-DL06;RIFR;BWM-DR04;BWM-DR06;PVR;ALMR;PVNR;AWBL;IL2R;GLRDL;AVM;BWM-DR08;BWM-VL05;BWM-VL02;BWM-VL03;BWM-VL08;BWM-DR05;BWM-VL01;ALNL;BWM-DR07;BWM-VR03
34,"(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan",146,AINL;AINR;CEPshVR;ASIR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;BDUR;DVC;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RID;RIML;AVHR;CEPVL;ASKR;AWCR;ASGR;BAGR;BDUL;PVQL;AWCL;RIS;RIVR;URYVL;ASGL;SMBDL;IL1R;IL2VR;GLRVL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIADL;SIBDL;DVA;SAAVL;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;URYDR;AVBL;AVDL;OLLR;OLQVR;OLQDR;SIBDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;HSNR;URAVR;URBR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;GLRVR;URAVL;IL2L;OLQVL;URADR;IL1DL;BWM-DL02;SMBDR;URADL;ASKL;AFDL;AUAL;ADLL;ADFR;RIAL;SIADR;SIBVR;BWM-VL04;RIFR;PVR;ALMR;SIAVR;PVNR;AWBL;IL2R;GLRR;BWM-VL05;BWM-VL02;BWM-DL05;ALNL
53,"(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",79,RIAR;RIH;RIMR;SMBVR;AVFR;CEPVR;RMFL;AIBR;AVAR;AIBL;AUAR;URXR;BAGL;RIML;CEPVL;BAGR;URBL;BDUL;PVQL;RIS;RIVR;URYVL;SMBDL;IL1R;RMDL;RMDR;RMDVR;SMDDL;SMDDR;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;SIBDL;DVA;SAAVL;PVPR;AVBR;OLLL;AVEL;AVER;SIBVL;URYDR;OLLR;OLQVR;OLQDR;RICL;ADAR;AVKR;SAADR;AVKL;SAAVR;HSNL;AWAR;RMGR;RMHL;RMHR;ADAL;URXL;AVFL;PVPL;FLPR;PVCR;PVCL;IL1L;RMEV;IL2L;OLQVL;IL1DL;SMBDR;ALA;PVQR;ALMR;PVNR;AWBL;BWM-VL05
63,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan",27,RIH;RIMR;AVFR;URYVR;AIBR;AVAR;AIBL;CEPVL;RIFL;SMBDL;RMDR;RIVL;PVPR;AVER;URYDR;OLQVR;RICL;ADAL;IL1L;IL2L;RIBL;RIBR;AIZL;ASHL;RIR;ADEL;AIAL
65,"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",109,CEPshVR;CEPshDL;ASJR;RIH;BWM-VR04;RIMR;SMBVR;ADER;DVC;AVFR;URYVR;PVNL;RMFL;AIBR;AIBL;AUAR;URXR;BAGL;RID;RIML;AWCR;ASGR;BAGR;RIS;URYVL;RIFL;SMBDL;IL1R;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;RIVL;RMFR;CEPDL;AIYL;AWBR;SIADL;SIBDL;DVA;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;SIBVL;AVBL;AVDL;OLLR;OLQVR;SIBDR;SAADR;AVKL;SAADL;HSNL;HSNR;URAVR;AVHL;RMGR;ADFL;URXL;AWAL;AVFL;PVPL;FLPL;AVJL;AVJR;IL1DL;BWM-DL01;BWM-DR01;ASKL;AUAL;AIML;ADLL;BWM-DR02;ADFR;RIAL;SIADR;SIBVR;BWM-VL04;BWM-DR04;ALMR;AWBL;GLRR;BWM-DL08;RIBL;RIBR;RIGR;RIGL;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;ASHL;RIR;ADEL;AIMR;RMEL;IL1DR
67,"(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",87,CEPshVR;CEPshVL;CEPshDR;RIAR;RIH;AVFR;URYVR;AIBR;AIBL;AUAR;BAGL;RIML;CEPVL;ASGR;BAGR;ASJL;PVQL;AWCL;RIVR;URYVL;RIFL;SMBDL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;RIVL;RMFR;DVA;SAAVL;URYDL;AVBR;AVAL;AVEL;AVER;AVBL;AVDL;SIBDR;RICL;AVKR;SAADR;AVKL;SAAVR;RMGR;RMHR;ADAL;PVPL;FLPL;PVCL;AVJR;IL1L;BWM-DL02;BWM-DL03;SMBDR;BWM-DL01;BWM-DR01;AUAL;ALML;RIAL;SIBVR;BWM-DL04;BWM-DR04;AWBL;BWM-VL02;BWM-VL08;BWM-DR05;ALNL;BWM-DR07;RIGR;ASER;RIGL;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;SDQR;SDQL;RMER;RIR;ADEL;AIMR
73,"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan",98,AINL;PVT;RIAR;RIMR;SMBVR;ADER;BDUR;DVC;AVFR;CEPVR;ADLR;PVNL;RMFL;AIBR;AVAR;AIBL;AUAR;URXR;BAGL;ASEL;RIML;AVHR;CEPVL;ASKR;AWCR;BAGR;URBL;BDUL;PVQL;RIS;RIVR;RIFL;RMDL;RMDR;RMDVL;SMDDL;SMDDR;SMDVL;SMDVR;RICR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;DVA;SAAVL;SIAVL;URYDL;AVBR;OLLL;AVAL;AVEL;AVER;URYDR;OLQVR;OLQDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;HSNR;URBR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;AVJL;PVCR;PVCL;AVJR;IL1L;IL2L;OLQVL;AVL;AUAL;AIML;ADFR;RIAL;OLQDL;RIFR;PVR;ALMR;PVNR;AWBL;BWM-VR05;AVM
79,"(0, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",161,AINR;CEPshVR;CEPshDL;ASIR;CEPshDR;ASJR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;DVC;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;BAGL;ASEL;RID;RIML;AVHR;CEPVL;ASKR;AWCR;ASGR;BAGR;ASJL;URBL;BDUL;IL2DL;RIS;RIVR;URYVL;RIFL;ASGL;IL2DR;SMBDL;IL1R;BWM-VR01;IL2VR;GLRVL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIADL;DVA;SAAVL;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;URYDR;AVBL;AVDL;OLLR;OLQVR;OLQDR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;HSNR;URAVR;URBR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;RMEV;OLQVL;IL1DL;BWM-DL03;SMBDR;BWM-DL01;BWM-DR01;ALA;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;BWM-DR02;ADFR;RIAL;SIADR;IL2VL;SIBVR;OLQDL;BWM-VL04;BWM-DL04;BWM-DL06;RIFR;BWM-DR04;PVR;ALMR;SIAVR;PVNR;AWBL;IL2R;GLRR;BWM-VR05;AVM;BWM-VL05;BWM-VL02;BWM-VL03;BWM-VL07;BWM-DL05;BWM-DR05;BWM-VL01
