cycle_id,cycle_size,active_size,overlap,frac_cycle,frac_of_active,p_hypergeom,q_hypergeom,label
5,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
6,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
44,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
45,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
46,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
48,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
98,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
164,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
179,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
198,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
283,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
327,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
335,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
339,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
351,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
355,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
394,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
407,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
460,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
465,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
540,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
551,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
570,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
571,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
584,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
588,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
607,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
656,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
696,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
728,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
790,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
822,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
842,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
853,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
854,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
855,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
858,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,basal
159,1,3,0,0.0,0.0,1.0,1.0,basal
232,1,3,0,0.0,0.0,1.0,1.0,basal
235,1,3,0,0.0,0.0,1.0,1.0,basal
262,1,3,0,0.0,0.0,1.0,1.0,basal
384,1,3,0,0.0,0.0,1.0,1.0,basal
471,1,3,0,0.0,0.0,1.0,1.0,basal
536,1,3,0,0.0,0.0,1.0,1.0,basal
575,1,3,0,0.0,0.0,1.0,1.0,basal
581,1,3,0,0.0,0.0,1.0,1.0,basal
637,1,3,0,0.0,0.0,1.0,1.0,basal
681,1,3,0,0.0,0.0,1.0,1.0,basal
841,1,3,0,0.0,0.0,1.0,1.0,basal
