cycle_id,cycle_size,active_size,overlap,frac_cycle,frac_of_active,p_hypergeom,q_hypergeom,label
5,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
6,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
44,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
45,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
46,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
48,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
98,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
164,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
179,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
198,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
283,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
327,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
335,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
339,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
351,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
355,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
394,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
407,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
460,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
465,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
540,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
551,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
570,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
571,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
584,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
588,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
607,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
656,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
696,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
728,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
790,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
822,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
842,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
853,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
854,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
855,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
858,1,3,1,1.0,0.3333333333333333,0.75,0.9932432432432432,npr10
159,1,3,0,0.0,0.0,1.0,1.0,npr10
232,1,3,0,0.0,0.0,1.0,1.0,npr10
235,1,3,0,0.0,0.0,1.0,1.0,npr10
262,1,3,0,0.0,0.0,1.0,1.0,npr10
384,1,3,0,0.0,0.0,1.0,1.0,npr10
471,1,3,0,0.0,0.0,1.0,1.0,npr10
536,1,3,0,0.0,0.0,1.0,1.0,npr10
575,1,3,0,0.0,0.0,1.0,1.0,npr10
581,1,3,0,0.0,0.0,1.0,1.0,npr10
637,1,3,0,0.0,0.0,1.0,1.0,npr10
681,1,3,0,0.0,0.0,1.0,1.0,npr10
841,1,3,0,0.0,0.0,1.0,1.0,npr10
